Name,Party,Vote,Mtg n.,Proposal n.
Věra Adámková,ANO,A,18,176
Andrej Babiš,ANO,A,18,176
Andrea Babišová,ANO,A,18,176
Margita Balaštíková,ANO,A,18,176
Josef Bělica,ANO,A,18,176
Stanislav Berkovec,ANO,A,18,176
Jiří Bláha,ANO,A,18,176
Richard Brabec,ANO,A,18,176
Milan Brázdil,ANO,M,18,176
Andrea Brzobohatá,ANO,A,18,176
Jaroslav Bžoch,ANO,A,18,176
Monika Červíčková,ANO,A,18,176
Klára Dostálová,ANO,A,18,176
Lenka Dražilová,ANO,A,18,176
Jaroslav Faltýnek,ANO,A,18,176
Kamal Farhan,ANO,A,18,176
Milan Feranec,ANO,A,18,176
Eva Fialová,ANO,A,18,176
Stanislav Fridrich,ANO,A,18,176
Josef Hájek,ANO,M,18,176
Milan Hnilička,ANO,A,18,176
Ivan Jáč,ANO,A,18,176
Miloslav Janulík,ANO,A,18,176
Aleš Juchelka,ANO,A,18,176
Pavel Juříček,ANO,M,18,176
Adam Kalous,ANO,A,18,176
David Kasal,ANO,A,18,176
Tomáš Kohoutek,ANO,A,18,176
Martin Kolovratník,ANO,A,18,176
Barbora Kořanová,ANO,A,18,176
Josef Kott,ANO,A,18,176
Robert Králíček,ANO,A,18,176
Roman Kubíček,ANO,A,18,176
Jan Kubík,ANO,A,18,176
Jaroslav Kytýr,ANO,A,18,176
Taťána Malá,ANO,A,18,176
Přemysl Mališ,ANO,A,18,176
Jiří Mašek,ANO,A,18,176
Eva Matyášová,ANO,A,18,176
Radka Maxová,ANO,M,18,176
Marcela Melková,ANO,A,18,176
Jana Mračková Vildumetzová,ANO,A,18,176
Patrik Nacher,ANO,A,18,176
Marek Novák,ANO,A,18,176
Monika Oborná,ANO,A,18,176
Ladislav Okleštěk,ANO,A,18,176
Zuzana Ožanová,ANO,A,18,176
Jana Pastuchová,ANO,A,18,176
František Petrtýl,ANO,A,18,176
Pavel Plzák,ANO,M,18,176
Milan Pour,ANO,A,18,176
David Pražák,ANO,A,18,176
Věra Procházková,ANO,A,18,176
Pavel Pustějovský,ANO,A,18,176
Karel Rais,ANO,A,18,176
Michal Ratiborský,ANO,A,18,176
Jan Richter,ANO,A,18,176
Miloslava Rutová,ANO,A,18,176
Pavel Růžička,ANO,A,18,176
Jan Řehounek,ANO,A,18,176
Petr Sadovský,ANO,A,18,176
Jan Schiller,ANO,A,18,176
Pavel Staněk,ANO,A,18,176
Jiří Strýček,ANO,A,18,176
Karla Šlechtová,ANO,A,18,176
Julius Špičák,ANO,A,18,176
David Štolpa,ANO,A,18,176
Dan Ťok,ANO,M,18,176
Karel Tureček,ANO,A,18,176
Helena Válková,ANO,A,18,176
Petr Venhoda,ANO,A,18,176
Adam Vojtěch,ANO,0,18,176
Jan Volný,ANO,A,18,176
Radek Vondráček,ANO,A,18,176
Ivo Vondrák,ANO,A,18,176
Petr Vrána,ANO,A,18,176
Rostislav Vyzula,ANO,A,18,176
Radek Zlesák,ANO,A,18,176
Ivan Adamec,ODS,M,18,176
Jan Bauer,ODS,Z,18,176
Martin Baxa,ODS,M,18,176
Petr Beitl,ODS,Z,18,176
Marek Benda,ODS,Z,18,176
Stanislav Blaha,ODS,M,18,176
Pavel Blažek,ODS,Z,18,176
Jana Černochová,ODS,M,18,176
Petr Fiala,ODS,M,18,176
Jakub Janda,ODS,Z,18,176
Václav Klaus,ODS,Z,18,176
Karel Krejza,ODS,Z,18,176
Martin Kupka,ODS,Z,18,176
Zuzana Majerová Zahradníková,ODS,M,18,176
Jaroslav Martinů,ODS,Z,18,176
Ilona Mauritzová,ODS,Z,18,176
Vojtěch Munzar,ODS,Z,18,176
Miroslava Němcová,ODS,Z,18,176
Jan Skopeček,ODS,Z,18,176
Zbyněk Stanjura,ODS,Z,18,176
Bohuslav Svoboda,ODS,Z,18,176
Jiří Ventruba,ODS,Z,18,176
Veronika Vrecionová,ODS,N,18,176
Jan Zahradník,ODS,M,18,176
Pavel Žáček,ODS,M,18,176
Dana Balcarová,Piráti,N,18,176
Lukáš Bartoň,Piráti,Z,18,176
Ivan Bartoš,Piráti,N,18,176
Lukáš Černohorský,Piráti,N,18,176
František Elfmark,Piráti,N,18,176
Mikuláš Ferjenčík,Piráti,N,18,176
Radek Holomčík,Piráti,M,18,176
Martin Jiránek,Piráti,N,18,176
Lukáš Kolářík,Piráti,N,18,176
František Kopřiva,Piráti,N,18,176
Lenka Kozlová,Piráti,N,18,176
Jan Lipavský,Piráti,N,18,176
Tomáš Martínek,Piráti,N,18,176
Jakub Michálek,Piráti,N,18,176
Mikuláš Peksa,Piráti,N,18,176
Vojtěch Pikal,Piráti,N,18,176
Ondřej Polanský,Piráti,M,18,176
Jan Pošvář,Piráti,N,18,176
Ondřej Profant,Piráti,N,18,176
Olga Richterová,Piráti,N,18,176
Petr Třešňák,Piráti,N,18,176
Tomáš Vymazal,Piráti,N,18,176
Marian Bojko,SPD,A,18,176
Jaroslav Dvořák,SPD,M,18,176
Radim Fiala,SPD,A,18,176
Jaroslav Holík,SPD,A,18,176
Jan Hrnčíř,SPD,A,18,176
Tereza Hyťhová,SPD,A,18,176
Monika Jarošová,SPD,A,18,176
Pavel Jelínek,SPD,A,18,176
Jiří Kobza,SPD,A,18,176
Jiří Kohoutek,SPD,A,18,176
Radek Koten,SPD,A,18,176
Jana Levová,SPD,M,18,176
Karla Maříková,SPD,M,18,176
Ivana Nevludová,SPD,A,18,176
Tomio Okamura,SPD,A,18,176
Zdeněk Podal,SPD,A,18,176
Miloslav Rozner,SPD,A,18,176
Radek Rozvoral,SPD,A,18,176
Lucie Šafránková,SPD,A,18,176
Lubomír Španěl,SPD,A,18,176
Radovan Vích,SPD,A,18,176
Lubomír Volný,SPD,A,18,176
Jiří Běhounek,ČSSD,A,18,176
Jan Birke,ČSSD,0,18,176
Petr Dolínek,ČSSD,A,18,176
Jaroslav Foldyna,ČSSD,A,18,176
Alena Gajdůšková,ČSSD,A,18,176
Jan Hamáček,ČSSD,A,18,176
Tomáš Hanzel,ČSSD,M,18,176
Milan Chovanec,ČSSD,M,18,176
Jan Chvojka,ČSSD,A,18,176
Roman Onderka,ČSSD,A,18,176
Roman Sklenák,ČSSD,A,18,176
Antonín Staněk,ČSSD,M,18,176
Kateřina Valachová,ČSSD,A,18,176
Ondřej Veselý,ČSSD,A,18,176
Lubomír Zaorálek,ČSSD,A,18,176
Hana Aulická Jírovcová,KSČM,A,18,176
Alexander Černý,KSČM,A,18,176
Jiří Dolejš,KSČM,A,18,176
Vojtěch Filip,KSČM,A,18,176
Miroslav Grebeníček,KSČM,A,18,176
Stanislav Grospič,KSČM,A,18,176
Vladimír Koníček,KSČM,A,18,176
