Name,Party,Vote,Mtg n.,Proposal n.
Věra Adámková,ANO,N,4,68
Andrej Babiš,ANO,N,4,68
Andrea Babišová,ANO,N,4,68
Margita Balaštíková,ANO,N,4,68
Josef Bělica,ANO,N,4,68
Stanislav Berkovec,ANO,N,4,68
Jiří Bláha,ANO,N,4,68
Richard Brabec,ANO,N,4,68
Milan Brázdil,ANO,N,4,68
Andrea Brzobohatá,ANO,N,4,68
Jaroslav Bžoch,ANO,N,4,68
Klára Dostálová,ANO,N,4,68
Lenka Dražilová,ANO,N,4,68
Jaroslav Faltýnek,ANO,N,4,68
Kamal Farhan,ANO,N,4,68
Milan Feranec,ANO,N,4,68
Eva Fialová,ANO,N,4,68
Stanislav Fridrich,ANO,N,4,68
Josef Hájek,ANO,N,4,68
Milan Hnilička,ANO,N,4,68
Ivan Jáč,ANO,N,4,68
Miloslav Janulík,ANO,N,4,68
Aleš Juchelka,ANO,N,4,68
Pavel Juříček,ANO,N,4,68
Adam Kalous,ANO,N,4,68
David Kasal,ANO,N,4,68
Tomáš Kohoutek,ANO,N,4,68
Martin Kolovratník,ANO,N,4,68
Barbora Kořanová,ANO,N,4,68
Josef Kott,ANO,N,4,68
Robert Králíček,ANO,N,4,68
Roman Kubíček,ANO,N,4,68
Jan Kubík,ANO,N,4,68
Jaroslav Kytýr,ANO,N,4,68
Taťána Malá,ANO,N,4,68
Přemysl Mališ,ANO,N,4,68
Jiří Mašek,ANO,N,4,68
Eva Matyášová,ANO,N,4,68
Radka Maxová,ANO,N,4,68
Marcela Melková,ANO,N,4,68
Jana Mračková Vildumetzová,ANO,N,4,68
Patrik Nacher,ANO,N,4,68
Marek Novák,ANO,N,4,68
Monika Oborná,ANO,N,4,68
Ladislav Okleštěk,ANO,N,4,68
Zuzana Ožanová,ANO,N,4,68
Jana Pastuchová,ANO,N,4,68
Robert Pelikán,ANO,N,4,68
František Petrtýl,ANO,N,4,68
Pavel Plzák,ANO,N,4,68
Milan Pour,ANO,N,4,68
David Pražák,ANO,N,4,68
Věra Procházková,ANO,N,4,68
Pavel Pustějovský,ANO,N,4,68
Karel Rais,ANO,N,4,68
Michal Ratiborský,ANO,N,4,68
Jan Richter,ANO,N,4,68
Miloslava Rutová,ANO,N,4,68
Pavel Růžička,ANO,N,4,68
Jan Řehounek,ANO,N,4,68
Petr Sadovský,ANO,N,4,68
Jan Schiller,ANO,N,4,68
Pavel Staněk,ANO,Z,4,68
Martin Stropnický,ANO,N,4,68
Jiří Strýček,ANO,N,4,68
Karla Šlechtová,ANO,N,4,68
Julius Špičák,ANO,N,4,68
David Štolpa,ANO,N,4,68
Dan Ťok,ANO,N,4,68
Karel Tureček,ANO,N,4,68
Helena Válková,ANO,N,4,68
Adam Vojtěch,ANO,Z,4,68
Jan Volný,ANO,N,4,68
Radek Vondráček,ANO,N,4,68
Ivo Vondrák,ANO,N,4,68
Petr Vrána,ANO,N,4,68
Rostislav Vyzula,ANO,N,4,68
Radek Zlesák,ANO,N,4,68
Ivan Adamec,ODS,A,4,68
Jan Bauer,ODS,A,4,68
Martin Baxa,ODS,A,4,68
