Name,Party,Vote,Mtg n.,Proposal n.
Věra Adámková,ANO,A,22,44
Andrej Babiš,ANO,M,22,44
Andrea Babišová,ANO,A,22,44
Margita Balaštíková,ANO,Z,22,44
Josef Bělica,ANO,A,22,44
Stanislav Berkovec,ANO,A,22,44
Jiří Bláha,ANO,A,22,44
Richard Brabec,ANO,A,22,44
Milan Brázdil,ANO,A,22,44
Andrea Brzobohatá,ANO,A,22,44
Jaroslav Bžoch,ANO,A,22,44
Monika Červíčková,ANO,A,22,44
Klára Dostálová,ANO,A,22,44
Lenka Dražilová,ANO,A,22,44
Jaroslav Faltýnek,ANO,A,22,44
Kamal Farhan,ANO,A,22,44
Milan Feranec,ANO,A,22,44
Eva Fialová,ANO,A,22,44
Stanislav Fridrich,ANO,A,22,44
Josef Hájek,ANO,A,22,44
Milan Hnilička,ANO,A,22,44
Ivan Jáč,ANO,A,22,44
Miloslav Janulík,ANO,A,22,44
Aleš Juchelka,ANO,A,22,44
Pavel Juříček,ANO,M,22,44
Adam Kalous,ANO,A,22,44
David Kasal,ANO,A,22,44
Tomáš Kohoutek,ANO,A,22,44
Martin Kolovratník,ANO,A,22,44
Barbora Kořanová,ANO,A,22,44
Josef Kott,ANO,A,22,44
Robert Králíček,ANO,A,22,44
Roman Kubíček,ANO,A,22,44
Jan Kubík,ANO,A,22,44
Jaroslav Kytýr,ANO,A,22,44
Taťána Malá,ANO,A,22,44
Přemysl Mališ,ANO,A,22,44
Jiří Mašek,ANO,A,22,44
Eva Matyášová,ANO,A,22,44
Radka Maxová,ANO,A,22,44
Marcela Melková,ANO,A,22,44
Jana Mračková Vildumetzová,ANO,A,22,44
Patrik Nacher,ANO,A,22,44
Marek Novák,ANO,A,22,44
Monika Oborná,ANO,A,22,44
Ladislav Okleštěk,ANO,A,22,44
Zuzana Ožanová,ANO,A,22,44
Jana Pastuchová,ANO,A,22,44
František Petrtýl,ANO,A,22,44
Pavel Plzák,ANO,A,22,44
Milan Pour,ANO,A,22,44
David Pražák,ANO,A,22,44
Věra Procházková,ANO,A,22,44
Pavel Pustějovský,ANO,A,22,44
Karel Rais,ANO,A,22,44
Michal Ratiborský,ANO,M,22,44
Jan Richter,ANO,A,22,44
Miloslava Rutová,ANO,A,22,44
Pavel Růžička,ANO,A,22,44
Jan Řehounek,ANO,A,22,44
Petr Sadovský,ANO,A,22,44
Jan Schiller,ANO,A,22,44
Pavel Staněk,ANO,Z,22,44
Jiří Strýček,ANO,A,22,44
Karla Šlechtová,ANO,A,22,44
Julius Špičák,ANO,M,22,44
David Štolpa,ANO,A,22,44
Dan Ťok,ANO,A,22,44
Karel Tureček,ANO,A,22,44
Helena Válková,ANO,A,22,44
Petr Venhoda,ANO,A,22,44
Adam Vojtěch,ANO,A,22,44
Jan Volný,ANO,A,22,44
Radek Vondráček,ANO,M,22,44
Ivo Vondrák,ANO,A,22,44
Petr Vrána,ANO,A,22,44
Rostislav Vyzula,ANO,A,22,44
Radek Zlesák,ANO,A,22,44
Ivan Adamec,ODS,Z,22,44
Jan Bauer,ODS,Z,22,44
Martin Baxa,ODS,Z,22,44
Petr Beitl,ODS,Z,22,44
Marek Benda,ODS,Z,22,44
Stanislav Blaha,ODS,Z,22,44
Pavel Blažek,ODS,Z,22,44
Jana Černochová,ODS,M,22,44
Petr Fiala,ODS,Z,22,44
Jakub Janda,ODS,Z,22,44
Václav Klaus,ODS,Z,22,44
