Name,Party,Vote,Mtg n.,Proposal n.
Věra Adámková,ANO,Z,25,132
Andrej Babiš,ANO,M,25,132
Andrea Babišová,ANO,0,25,132
Margita Balaštíková,ANO,0,25,132
Josef Bělica,ANO,N,25,132
Stanislav Berkovec,ANO,N,25,132
Jiří Bláha,ANO,N,25,132
Richard Brabec,ANO,N,25,132
Milan Brázdil,ANO,M,25,132
Andrea Brzobohatá,ANO,0,25,132
Jaroslav Bžoch,ANO,N,25,132
Monika Červíčková,ANO,Z,25,132
Klára Dostálová,ANO,0,25,132
Lenka Dražilová,ANO,M,25,132
Jaroslav Faltýnek,ANO,M,25,132
Kamal Farhan,ANO,M,25,132
Milan Feranec,ANO,0,25,132
Eva Fialová,ANO,M,25,132
Stanislav Fridrich,ANO,N,25,132
Josef Hájek,ANO,M,25,132
Milan Hnilička,ANO,N,25,132
Ivan Jáč,ANO,Z,25,132
Miloslav Janulík,ANO,N,25,132
Aleš Juchelka,ANO,A,25,132
Pavel Juříček,ANO,M,25,132
Adam Kalous,ANO,A,25,132
David Kasal,ANO,N,25,132
Tomáš Kohoutek,ANO,Z,25,132
Martin Kolovratník,ANO,N,25,132
Barbora Kořanová,ANO,Z,25,132
Josef Kott,ANO,0,25,132
Robert Králíček,ANO,Z,25,132
Roman Kubíček,ANO,N,25,132
Jan Kubík,ANO,Z,25,132
Jaroslav Kytýr,ANO,Z,25,132
Taťána Malá,ANO,M,25,132
Přemysl Mališ,ANO,N,25,132
Jiří Mašek,ANO,0,25,132
Eva Matyášová,ANO,M,25,132
Radka Maxová,ANO,M,25,132
Marcela Melková,ANO,N,25,132
Jana Mračková Vildumetzová,ANO,0,25,132
Patrik Nacher,ANO,0,25,132
Marek Novák,ANO,Z,25,132
Monika Oborná,ANO,M,25,132
Ladislav Okleštěk,ANO,M,25,132
Zuzana Ožanová,ANO,Z,25,132
Jana Pastuchová,ANO,Z,25,132
František Petrtýl,ANO,M,25,132
Pavel Plzák,ANO,0,25,132
Milan Pour,ANO,N,25,132
David Pražák,ANO,M,25,132
Věra Procházková,ANO,N,25,132
Pavel Pustějovský,ANO,N,25,132
Karel Rais,ANO,N,25,132
Michal Ratiborský,ANO,Z,25,132
Jan Richter,ANO,Z,25,132
Miloslava Rutová,ANO,N,25,132
Pavel Růžička,ANO,N,25,132
Jan Řehounek,ANO,N,25,132
Petr Sadovský,ANO,Z,25,132
Jan Schiller,ANO,0,25,132
