Name,Party,Vote,Mtg n.,Proposal n.
Věra Adámková,ANO,A,22,127
Andrej Babiš,ANO,A,22,127
Andrea Babišová,ANO,A,22,127
Margita Balaštíková,ANO,0,22,127
Josef Bělica,ANO,A,22,127
Stanislav Berkovec,ANO,A,22,127
Jiří Bláha,ANO,A,22,127
Richard Brabec,ANO,A,22,127
Milan Brázdil,ANO,A,22,127
Andrea Brzobohatá,ANO,A,22,127
Jaroslav Bžoch,ANO,A,22,127
Monika Červíčková,ANO,A,22,127
Klára Dostálová,ANO,A,22,127
Lenka Dražilová,ANO,A,22,127
Jaroslav Faltýnek,ANO,A,22,127
Kamal Farhan,ANO,A,22,127
Milan Feranec,ANO,A,22,127
Eva Fialová,ANO,A,22,127
Stanislav Fridrich,ANO,A,22,127
Josef Hájek,ANO,Z,22,127
Milan Hnilička,ANO,A,22,127
Ivan Jáč,ANO,A,22,127
Miloslav Janulík,ANO,A,22,127
Aleš Juchelka,ANO,Z,22,127
Pavel Juříček,ANO,Z,22,127
Adam Kalous,ANO,A,22,127
David Kasal,ANO,Z,22,127
Tomáš Kohoutek,ANO,A,22,127
Martin Kolovratník,ANO,A,22,127
Barbora Kořanová,ANO,A,22,127
Josef Kott,ANO,A,22,127
Robert Králíček,ANO,A,22,127
Roman Kubíček,ANO,A,22,127
Jan Kubík,ANO,A,22,127
Jaroslav Kytýr,ANO,A,22,127
Taťána Malá,ANO,A,22,127
Přemysl Mališ,ANO,Z,22,127
Jiří Mašek,ANO,Z,22,127
Eva Matyášová,ANO,A,22,127
Radka Maxová,ANO,0,22,127
Marcela Melková,ANO,A,22,127
Jana Mračková Vildumetzová,ANO,A,22,127
Patrik Nacher,ANO,A,22,127
Marek Novák,ANO,Z,22,127
Monika Oborná,ANO,A,22,127
Ladislav Okleštěk,ANO,A,22,127
Zuzana Ožanová,ANO,A,22,127
Jana Pastuchová,ANO,A,22,127
František Petrtýl,ANO,A,22,127
Pavel Plzák,ANO,A,22,127
Milan Pour,ANO,A,22,127
David Pražák,ANO,A,22,127
Věra Procházková,ANO,A,22,127
Pavel Pustějovský,ANO,A,22,127
Karel Rais,ANO,A,22,127
Michal Ratiborský,ANO,Z,22,127
Jan Richter,ANO,Z,22,127
Miloslava Rutová,ANO,A,22,127
Pavel Růžička,ANO,A,22,127
Jan Řehounek,ANO,A,22,127
Petr Sadovský,ANO,Z,22,127
Jan Schiller,ANO,A,22,127
Pavel Staněk,ANO,A,22,127
Jiří Strýček,ANO,Z,22,127
Karla Šlechtová,ANO,A,22,127
Julius Špičák,ANO,A,22,127
David Štolpa,ANO,A,22,127
Dan Ťok,ANO,A,22,127
Karel Tureček,ANO,A,22,127
Helena Válková,ANO,Z,22,127
Petr Venhoda,ANO,A,22,127
Adam Vojtěch,ANO,A,22,127
Jan Volný,ANO,A,22,127
Radek Vondráček,ANO,Z,22,127
Ivo Vondrák,ANO,A,22,127
Petr Vrána,ANO,A,22,127
Rostislav Vyzula,ANO,A,22,127
Radek Zlesák,ANO,A,22,127
Ivan Adamec,ODS,A,22,127
Jan Bauer,ODS,Z,22,127
Martin Baxa,ODS,A,22,127
Petr Beitl,ODS,A,22,127
Marek Benda,ODS,A,22,127
Stanislav Blaha,ODS,A,22,127
Pavel Blažek,ODS,A,22,127
Jana Černochová,ODS,A,22,127
Petr Fiala,ODS,A,22,127
Jakub Janda,ODS,A,22,127
Václav Klaus,ODS,Z,22,127
Karel Krejza,ODS,A,22,127
Martin Kupka,ODS,A,22,127
Zuzana Majerová Zahradníková,ODS,Z,22,127
Jaroslav Martinů,ODS,A,22,127
Ilona Mauritzová,ODS,M,22,127
Vojtěch Munzar,ODS,A,22,127
Miroslava Němcová,ODS,Z,22,127
Jan Skopeček,ODS,A,22,127
Zbyněk Stanjura,ODS,A,22,127
Bohuslav Svoboda,ODS,A,22,127
Jiří Ventruba,ODS,A,22,127
Veronika Vrecionová,ODS,M,22,127
Jan Zahradník,ODS,A,22,127
Pavel Žáček,ODS,A,22,127
Dana Balcarová,Piráti,N,22,127
Lukáš Bartoň,Piráti,N,22,127
Ivan Bartoš,Piráti,N,22,127
Lukáš Černohorský,Piráti,N,22,127
František Elfmark,Piráti,N,22,127
Mikuláš Ferjenčík,Piráti,N,22,127
Radek Holomčík,Piráti,N,22,127
Martin Jiránek,Piráti,N,22,127
Lukáš Kolářík,Piráti,N,22,127
František Kopřiva,Piráti,N,22,127
Lenka Kozlová,Piráti,Z,22,127
Jan Lipavský,Piráti,N,22,127
Tomáš Martínek,Piráti,Z,22,127
Jakub Michálek,Piráti,N,22,127
Mikuláš Peksa,Piráti,N,22,127
Vojtěch Pikal,Piráti,N,22,127
Ondřej Polanský,Piráti,N,22,127
Jan Pošvář,Piráti,N,22,127
Ondřej Profant,Piráti,N,22,127
Olga Richterová,Piráti,N,22,127
Petr Třešňák,Piráti,N,22,127
Tomáš Vymazal,Piráti,N,22,127
Marian Bojko,SPD,A,22,127
Jaroslav Dvořák,SPD,A,22,127
Radim Fiala,SPD,Z,22,127
Jaroslav Holík,SPD,A,22,127
Jan Hrnčíř,SPD,A,22,127
Tereza Hyťhová,SPD,M,22,127
Monika Jarošová,SPD,A,22,127
Pavel Jelínek,SPD,M,22,127
Jiří Kobza,SPD,0,22,127
Jiří Kohoutek,SPD,A,22,127
Radek Koten,SPD,Z,22,127
Jana Levová,SPD,M,22,127
Karla Maříková,SPD,A,22,127
Ivana Nevludová,SPD,A,22,127
Tomio Okamura,SPD,Z,22,127
Zdeněk Podal,SPD,A,22,127
Miloslav Rozner,SPD,A,22,127
Radek Rozvoral,SPD,A,22,127
Lucie Šafránková,SPD,A,22,127
Lubomír Španěl,SPD,A,22,127
Radovan Vích,SPD,0,22,127
Lubomír Volný,SPD,Z,22,127
Jiří Běhounek,ČSSD,A,22,127
Jan Birke,ČSSD,A,22,127
Petr Dolínek,ČSSD,A,22,127
