Name,Party,Vote,Mtg n.,Proposal n.
Věra Adámková,ANO,A,2,49
Andrej Babiš,ANO,A,2,49
Andrea Babišová,ANO,N,2,49
Margita Balaštíková,ANO,N,2,49
Josef Bělica,ANO,A,2,49
Stanislav Berkovec,ANO,A,2,49
Jiří Bláha,ANO,N,2,49
Richard Brabec,ANO,A,2,49
Milan Brázdil,ANO,0,2,49
Andrea Brzobohatá,ANO,A,2,49
Jaroslav Bžoch,ANO,A,2,49
Klára Dostálová,ANO,A,2,49
Lenka Dražilová,ANO,Z,2,49
Jaroslav Faltýnek,ANO,Z,2,49
Kamal Farhan,ANO,A,2,49
Milan Feranec,ANO,A,2,49
Eva Fialová,ANO,A,2,49
Stanislav Fridrich,ANO,A,2,49
Josef Hájek,ANO,A,2,49
Milan Hnilička,ANO,A,2,49
Ivan Jáč,ANO,A,2,49
Miloslav Janulík,ANO,A,2,49
Aleš Juchelka,ANO,A,2,49
Pavel Juříček,ANO,A,2,49
Adam Kalous,ANO,A,2,49
David Kasal,ANO,A,2,49
Tomáš Kohoutek,ANO,A,2,49
Martin Kolovratník,ANO,A,2,49
Barbora Kořanová,ANO,A,2,49
Josef Kott,ANO,A,2,49
Robert Králíček,ANO,A,2,49
Roman Kubíček,ANO,A,2,49
Jan Kubík,ANO,A,2,49
Jaroslav Kytýr,ANO,A,2,49
Taťána Malá,ANO,A,2,49
Přemysl Mališ,ANO,0,2,49
Jiří Mašek,ANO,Z,2,49
Eva Matyášová,ANO,A,2,49
Radka Maxová,ANO,0,2,49
Marcela Melková,ANO,Z,2,49
Jana Mračková Vildumetzová,ANO,A,2,49
Patrik Nacher,ANO,A,2,49
Marek Novák,ANO,A,2,49
Monika Oborná,ANO,A,2,49
Ladislav Okleštěk,ANO,A,2,49
Zuzana Ožanová,ANO,A,2,49
Jana Pastuchová,ANO,A,2,49
Robert Pelikán,ANO,0,2,49
František Petrtýl,ANO,Z,2,49
Pavel Plzák,ANO,A,2,49
Milan Pour,ANO,A,2,49
David Pražák,ANO,A,2,49
Věra Procházková,ANO,A,2,49
Pavel Pustějovský,ANO,A,2,49
Karel Rais,ANO,A,2,49
Michal Ratiborský,ANO,A,2,49
Jan Richter,ANO,A,2,49
Miloslava Rutová,ANO,A,2,49
Pavel Růžička,ANO,A,2,49
Jan Řehounek,ANO,Z,2,49
Petr Sadovský,ANO,Z,2,49
Jan Schiller,ANO,A,2,49
Pavel Staněk,ANO,A,2,49
Martin Stropnický,ANO,A,2,49
Jiří Strýček,ANO,A,2,49
Karla Šlechtová,ANO,M,2,49
Julius Špičák,ANO,A,2,49
David Štolpa,ANO,A,2,49
Dan Ťok,ANO,A,2,49
Karel Tureček,ANO,A,2,49
Helena Válková,ANO,A,2,49
Adam Vojtěch,ANO,A,2,49
Jan Volný,ANO,0,2,49
Radek Vondráček,ANO,A,2,49
Ivo Vondrák,ANO,A,2,49
Petr Vrána,ANO,A,2,49
Rostislav Vyzula,ANO,Z,2,49
Radek Zlesák,ANO,A,2,49
Ivan Adamec,ODS,A,2,49
Jan Bauer,ODS,A,2,49
Martin Baxa,ODS,A,2,49
Petr Beitl,ODS,A,2,49
Marek Benda,ODS,0,2,49
Stanislav Blaha,ODS,A,2,49
Pavel Blažek,ODS,Z,2,49
