Name,Party,Vote,Mtg n.,Proposal n.
Věra Adámková,ANO,A,19,175
Andrej Babiš,ANO,M,19,175
Andrea Babišová,ANO,A,19,175
Margita Balaštíková,ANO,A,19,175
Josef Bělica,ANO,A,19,175
Stanislav Berkovec,ANO,A,19,175
Jiří Bláha,ANO,M,19,175
Richard Brabec,ANO,A,19,175
Milan Brázdil,ANO,A,19,175
Andrea Brzobohatá,ANO,A,19,175
Jaroslav Bžoch,ANO,A,19,175
Monika Červíčková,ANO,A,19,175
Klára Dostálová,ANO,0,19,175
Lenka Dražilová,ANO,A,19,175
Jaroslav Faltýnek,ANO,A,19,175
Kamal Farhan,ANO,A,19,175
Milan Feranec,ANO,A,19,175
Eva Fialová,ANO,A,19,175
Stanislav Fridrich,ANO,A,19,175
Josef Hájek,ANO,A,19,175
Milan Hnilička,ANO,A,19,175
Ivan Jáč,ANO,N,19,175
Miloslav Janulík,ANO,Z,19,175
Aleš Juchelka,ANO,N,19,175
Pavel Juříček,ANO,A,19,175
Adam Kalous,ANO,A,19,175
David Kasal,ANO,M,19,175
Tomáš Kohoutek,ANO,A,19,175
Martin Kolovratník,ANO,0,19,175
Barbora Kořanová,ANO,A,19,175
Josef Kott,ANO,A,19,175
Robert Králíček,ANO,A,19,175
Roman Kubíček,ANO,A,19,175
Jan Kubík,ANO,A,19,175
Jaroslav Kytýr,ANO,M,19,175
Taťána Malá,ANO,A,19,175
Přemysl Mališ,ANO,A,19,175
Jiří Mašek,ANO,A,19,175
Eva Matyášová,ANO,0,19,175
Radka Maxová,ANO,A,19,175
Marcela Melková,ANO,A,19,175
Jana Mračková Vildumetzová,ANO,A,19,175
Patrik Nacher,ANO,Z,19,175
Marek Novák,ANO,A,19,175
Monika Oborná,ANO,A,19,175
Ladislav Okleštěk,ANO,A,19,175
Zuzana Ožanová,ANO,M,19,175
Jana Pastuchová,ANO,A,19,175
František Petrtýl,ANO,A,19,175
Pavel Plzák,ANO,0,19,175
Milan Pour,ANO,M,19,175
David Pražák,ANO,A,19,175
Věra Procházková,ANO,A,19,175
Pavel Pustějovský,ANO,A,19,175
Karel Rais,ANO,A,19,175
Michal Ratiborský,ANO,A,19,175
Jan Richter,ANO,M,19,175
Miloslava Rutová,ANO,Z,19,175
Pavel Růžička,ANO,A,19,175
Jan Řehounek,ANO,A,19,175
