Name,Party,Vote,Mtg n.,Proposal n.
Věra Adámková,ANO,A,24,75
Andrej Babiš,ANO,M,24,75
Andrea Babišová,ANO,M,24,75
Margita Balaštíková,ANO,A,24,75
Josef Bělica,ANO,A,24,75
Stanislav Berkovec,ANO,A,24,75
Jiří Bláha,ANO,A,24,75
Richard Brabec,ANO,M,24,75
Milan Brázdil,ANO,A,24,75
Andrea Brzobohatá,ANO,A,24,75
Jaroslav Bžoch,ANO,A,24,75
Monika Červíčková,ANO,A,24,75
Klára Dostálová,ANO,A,24,75
Lenka Dražilová,ANO,A,24,75
Jaroslav Faltýnek,ANO,A,24,75
Kamal Farhan,ANO,A,24,75
Milan Feranec,ANO,A,24,75
Eva Fialová,ANO,A,24,75
Stanislav Fridrich,ANO,A,24,75
Josef Hájek,ANO,A,24,75
Milan Hnilička,ANO,A,24,75
Ivan Jáč,ANO,M,24,75
Miloslav Janulík,ANO,M,24,75
Aleš Juchelka,ANO,A,24,75
Pavel Juříček,ANO,A,24,75
Adam Kalous,ANO,A,24,75
David Kasal,ANO,A,24,75
Tomáš Kohoutek,ANO,A,24,75
Martin Kolovratník,ANO,M,24,75
Barbora Kořanová,ANO,A,24,75
Josef Kott,ANO,A,24,75
Robert Králíček,ANO,A,24,75
Roman Kubíček,ANO,A,24,75
Jan Kubík,ANO,A,24,75
Jaroslav Kytýr,ANO,M,24,75
Taťána Malá,ANO,A,24,75
Přemysl Mališ,ANO,A,24,75
Jiří Mašek,ANO,A,24,75
Eva Matyášová,ANO,A,24,75
Radka Maxová,ANO,A,24,75
Marcela Melková,ANO,A,24,75
Jana Mračková Vildumetzová,ANO,A,24,75
Patrik Nacher,ANO,A,24,75
Marek Novák,ANO,A,24,75
Monika Oborná,ANO,A,24,75
Ladislav Okleštěk,ANO,0,24,75
Zuzana Ožanová,ANO,A,24,75
Jana Pastuchová,ANO,A,24,75
František Petrtýl,ANO,A,24,75
Pavel Plzák,ANO,A,24,75
Milan Pour,ANO,A,24,75
David Pražák,ANO,A,24,75
Věra Procházková,ANO,A,24,75
Pavel Pustějovský,ANO,A,24,75
Karel Rais,ANO,A,24,75
Michal Ratiborský,ANO,A,24,75
Jan Richter,ANO,A,24,75
Miloslava Rutová,ANO,A,24,75
Pavel Růžička,ANO,A,24,75
Jan Řehounek,ANO,M,24,75
Petr Sadovský,ANO,A,24,75
Jan Schiller,ANO,0,24,75
Pavel Staněk,ANO,A,24,75
Jiří Strýček,ANO,A,24,75
Karla Šlechtová,ANO,A,24,75
Julius Špičák,ANO,A,24,75
David Štolpa,ANO,A,24,75
Dan Ťok,ANO,M,24,75
Karel Tureček,ANO,A,24,75
Helena Válková,ANO,A,24,75
Petr Venhoda,ANO,A,24,75
Adam Vojtěch,ANO,0,24,75
Jan Volný,ANO,A,24,75
Radek Vondráček,ANO,A,24,75
Ivo Vondrák,ANO,A,24,75
Petr Vrána,ANO,M,24,75
Rostislav Vyzula,ANO,A,24,75
Radek Zlesák,ANO,A,24,75
Ivan Adamec,ODS,Z,24,75
Jan Bauer,ODS,Z,24,75
Martin Baxa,ODS,Z,24,75
Petr Beitl,ODS,0,24,75
Marek Benda,ODS,Z,24,75
Stanislav Blaha,ODS,Z,24,75
Pavel Blažek,ODS,Z,24,75
Jana Černochová,ODS,A,24,75
Petr Fiala,ODS,Z,24,75
Jakub Janda,ODS,Z,24,75
Václav Klaus,ODS,Z,24,75
Karel Krejza,ODS,Z,24,75
Martin Kupka,ODS,Z,24,75
Zuzana Majerová Zahradníková,ODS,Z,24,75
Jaroslav Martinů,ODS,Z,24,75
Ilona Mauritzová,ODS,Z,24,75
Vojtěch Munzar,ODS,Z,24,75
Miroslava Němcová,ODS,M,24,75
Jan Skopeček,ODS,0,24,75
Zbyněk Stanjura,ODS,Z,24,75
Bohuslav Svoboda,ODS,Z,24,75
Jiří Ventruba,ODS,Z,24,75
Veronika Vrecionová,ODS,Z,24,75
Jan Zahradník,ODS,Z,24,75
Pavel Žáček,ODS,Z,24,75
Dana Balcarová,Piráti,A,24,75
Lukáš Bartoň,Piráti,A,24,75
Ivan Bartoš,Piráti,M,24,75
Lukáš Černohorský,Piráti,A,24,75
František Elfmark,Piráti,M,24,75
Mikuláš Ferjenčík,Piráti,A,24,75
Radek Holomčík,Piráti,A,24,75
Martin Jiránek,Piráti,A,24,75
Lukáš Kolářík,Piráti,A,24,75
František Kopřiva,Piráti,M,24,75
Lenka Kozlová,Piráti,A,24,75
Jan Lipavský,Piráti,A,24,75
Tomáš Martínek,Piráti,A,24,75
Jakub Michálek,Piráti,A,24,75
Mikuláš Peksa,Piráti,A,24,75
Vojtěch Pikal,Piráti,A,24,75
Ondřej Polanský,Piráti,A,24,75
Jan Pošvář,Piráti,0,24,75
Ondřej Profant,Piráti,A,24,75
Olga Richterová,Piráti,A,24,75
Petr Třešňák,Piráti,A,24,75
Tomáš Vymazal,Piráti,0,24,75
Marian Bojko,SPD,Z,24,75
Jaroslav Dvořák,SPD,Z,24,75
Radim Fiala,SPD,Z,24,75
Jaroslav Holík,SPD,Z,24,75
Jan Hrnčíř,SPD,Z,24,75
Tereza Hyťhová,SPD,0,24,75
Monika Jarošová,SPD,Z,24,75
Pavel Jelínek,SPD,Z,24,75
Jiří Kobza,SPD,M,24,75
Jiří Kohoutek,SPD,Z,24,75
Radek Koten,SPD,Z,24,75
Jana Levová,SPD,Z,24,75
Karla Maříková,SPD,Z,24,75
Ivana Nevludová,SPD,Z,24,75
Tomio Okamura,SPD,Z,24,75
Zdeněk Podal,SPD,Z,24,75
Miloslav Rozner,SPD,Z,24,75
Radek Rozvoral,SPD,Z,24,75
Lucie Šafránková,SPD,Z,24,75
Lubomír Španěl,SPD,Z,24,75
Radovan Vích,SPD,Z,24,75
Lubomír Volný,SPD,Z,24,75
Jiří Běhounek,ČSSD,A,24,75
Jan Birke,ČSSD,M,24,75
Petr Dolínek,ČSSD,A,24,75
Jaroslav Foldyna,ČSSD,A,24,75
Alena Gajdůšková,ČSSD,M,24,75
Jan Hamáček,ČSSD,M,24,75
Tomáš Hanzel,ČSSD,M,24,75
Milan Chovanec,ČSSD,M,24,75
Jan Chvojka,ČSSD,A,24,75
Roman Onderka,ČSSD,0,24,75
Roman Sklenák,ČSSD,A,24,75
Antonín Staněk,ČSSD,A,24,75
Kateřina Valachová,ČSSD,A,24,75
Ondřej Veselý,ČSSD,A,24,75
Lubomír Zaorálek,ČSSD,A,24,75
Hana Aulická Jírovcová,KSČM,A,24,75
Alexander Černý,KSČM,A,24,75
Jiří Dolejš,KSČM,A,24,75
Vojtěch Filip,KSČM,A,24,75
Miroslav Grebeníček,KSČM,A,24,75
Stanislav Grospič,KSČM,M,24,75
Pavel Kováčik,KSČM,A,24,75
Leo Luzar,KSČM,A,24,75
Květa Matušovská,KSČM,0,24,75
Zdeněk Ondráček,KSČM,A,24,75
Daniel Pawlas,KSČM,A,24,75
Marie Pěnčíková,KSČM,A,24,75
Ivo Pojezný,KSČM,A,24,75
Jiří Valenta,KSČM,M,24,75
Miloslava Vostrá,KSČM,A,24,75
Jan Bartošek,KDU-ČSL,A,24,75
Pavel Bělobrádek,KDU-ČSL,M,24,75
Ondřej Benešík,KDU-ČSL,A,24,75
Jan Čižinský,KDU-ČSL,Z,24,75
Pavla Golasowská,KDU-ČSL,A,24,75
Stanislav Juránek,KDU-ČSL,A,24,75
Marian Jurečka,KDU-ČSL,M,24,75
Vít Kaňkovský,KDU-ČSL,A,24,75
Jiří Mihola,KDU-ČSL,M,24,75
Marek Výborný,KDU-ČSL,Z,24,75
Dominik Feri,TOP09,Z,24,75
Miroslav Kalousek,TOP09,Z,24,75
Helena Langšádlová,TOP09,Z,24,75
Markéta Pekarová Adamová,TOP09,Z,24,75
Karel Schwarzenberg,TOP09,M,24,75
František Vácha,TOP09,Z,24,75
Vlastimil Válek,TOP09,M,24,75
Jan Farský,STAN,Z,24,75
Petr Gazdík,STAN,Z,24,75
Věra Kovářová,STAN,Z,24,75
Jana Krutáková,STAN,Z,24,75
Petr Pávek,STAN,Z,24,75
Vít Rakušan,STAN,Z,24,75
