Party,N. repr.,A,N,0,Z,M,Meeting,Proposal
ANO,78,58,1,6,7,6,11,101
ODS,25,18,0,1,1,5,11,101
Piráti,22,9,6,0,5,2,11,101
SPD,22,17,0,0,2,3,11,101
ČSSD,15,2,5,2,1,5,11,101
KSČM,15,8,0,3,4,0,11,101
KDU-ČSL,10,5,0,2,1,2,11,101
TOP09,7,2,0,1,2,2,11,101
STAN,6,4,0,1,1,0,11,101
Celkem,200,123,12,16,24,25,11,101
