Party,N. repr.,A,N,0,Z,M,Meeting,Proposal
ANO,78,0,53,0,9,16,47,278
ODS,23,23,0,0,0,0,47,278
Piráti,22,0,19,0,0,3,47,278
SPD,20,0,14,1,1,4,47,278
ČSSD,14,0,6,0,1,7,47,278
KSČM,15,0,11,0,1,3,47,278
KDU-ČSL,10,0,0,0,7,3,47,278
TOP09,7,0,0,0,5,2,47,278
STAN,6,0,0,0,4,2,47,278
Nezařaz,5,1,1,0,1,2,47,278
Celkem,200,24,104,1,29,42,47,278
