Party,N. repr.,A,N,0,Z,M,Meeting,Proposal
ANO,78,2,61,1,9,5,19,225
ODS,25,2,0,2,21,0,19,225
Piráti,22,20,0,0,0,2,19,225
SPD,22,18,0,2,0,2,19,225
ČSSD,15,2,7,2,3,1,19,225
KSČM,15,4,0,4,5,2,19,225
KDU-ČSL,10,9,0,0,0,1,19,225
TOP09,7,6,0,1,0,0,19,225
STAN,6,0,1,0,5,0,19,225
Celkem,200,63,69,12,43,13,19,225
