Party,N. repr.,A,N,0,Z,M,Meeting,Proposal
ANO,78,61,0,0,12,5,18,48
ODS,25,19,0,0,3,3,18,48
Piráti,22,18,0,0,3,1,18,48
SPD,22,18,0,0,3,1,18,48
ČSSD,15,9,0,2,4,0,18,48
KSČM,15,11,0,0,3,1,18,48
KDU-ČSL,10,9,0,0,0,1,18,48
TOP09,7,4,0,1,1,1,18,48
STAN,6,4,0,0,1,1,18,48
Celkem,200,153,0,3,30,14,18,48
