Name,Party,Vote,Meeting,Proposal
Věra Adámková,ANO,N,26,95
Andrej Babiš,ANO,M,26,95
Andrea Babišová,ANO,N,26,95
Margita Balaštíková,ANO,0,26,95
Josef Bělica,ANO,N,26,95
Stanislav Berkovec,ANO,N,26,95
Jiří Bláha,ANO,N,26,95
Richard Brabec,ANO,N,26,95
Milan Brázdil,ANO,N,26,95
Andrea Brzobohatá,ANO,N,26,95
Jaroslav Bžoch,ANO,Z,26,95
Monika Červíčková,ANO,N,26,95
Klára Dostálová,ANO,0,26,95
Lenka Dražilová,ANO,N,26,95
Jaroslav Faltýnek,ANO,N,26,95
Kamal Farhan,ANO,N,26,95
Milan Feranec,ANO,Z,26,95
Eva Fialová,ANO,N,26,95
Stanislav Fridrich,ANO,N,26,95
Josef Hájek,ANO,Z,26,95
Milan Hnilička,ANO,N,26,95
Ivan Jáč,ANO,N,26,95
Miloslav Janulík,ANO,N,26,95
Aleš Juchelka,ANO,N,26,95
Pavel Juříček,ANO,N,26,95
Adam Kalous,ANO,N,26,95
David Kasal,ANO,N,26,95
Tomáš Kohoutek,ANO,N,26,95
Martin Kolovratník,ANO,N,26,95
Barbora Kořanová,ANO,Z,26,95
Josef Kott,ANO,Z,26,95
Robert Králíček,ANO,Z,26,95
Roman Kubíček,ANO,N,26,95
Jan Kubík,ANO,N,26,95
Jaroslav Kytýr,ANO,N,26,95
Taťána Malá,ANO,N,26,95
Přemysl Mališ,ANO,Z,26,95
Jiří Mašek,ANO,Z,26,95
Eva Matyášová,ANO,N,26,95
Radka Maxová,ANO,N,26,95
Marcela Melková,ANO,N,26,95
Jana Mračková Vildumetzová,ANO,N,26,95
Patrik Nacher,ANO,Z,26,95
Marek Novák,ANO,N,26,95
Monika Oborná,ANO,N,26,95
Ladislav Okleštěk,ANO,N,26,95
Zuzana Ožanová,ANO,N,26,95
Jana Pastuchová,ANO,N,26,95
František Petrtýl,ANO,N,26,95
Pavel Plzák,ANO,N,26,95
Milan Pour,ANO,N,26,95
David Pražák,ANO,M,26,95
Věra Procházková,ANO,N,26,95
Pavel Pustějovský,ANO,0,26,95
Karel Rais,ANO,N,26,95
Michal Ratiborský,ANO,N,26,95
Jan Richter,ANO,N,26,95
Miloslava Rutová,ANO,N,26,95
Pavel Růžička,ANO,N,26,95
Jan Řehounek,ANO,0,26,95
Petr Sadovský,ANO,N,26,95
Jan Schiller,ANO,N,26,95
Pavel Staněk,ANO,Z,26,95
Jiří Strýček,ANO,N,26,95
Karla Šlechtová,ANO,M,26,95
Julius Špičák,ANO,N,26,95
David Štolpa,ANO,M,26,95
Dan Ťok,ANO,N,26,95
Karel Tureček,ANO,N,26,95
Helena Válková,ANO,N,26,95
Petr Venhoda,ANO,N,26,95
Adam Vojtěch,ANO,N,26,95
Jan Volný,ANO,N,26,95
Radek Vondráček,ANO,M,26,95
Ivo Vondrák,ANO,N,26,95
Petr Vrána,ANO,N,26,95
Rostislav Vyzula,ANO,N,26,95
Radek Zlesák,ANO,N,26,95
Ivan Adamec,ODS,A,26,95
Jan Bauer,ODS,A,26,95
Martin Baxa,ODS,A,26,95
Petr Beitl,ODS,A,26,95
Marek Benda,ODS,A,26,95
Stanislav Blaha,ODS,A,26,95
Pavel Blažek,ODS,A,26,95
Jana Černochová,ODS,A,26,95
Petr Fiala,ODS,A,26,95
Jakub Janda,ODS,A,26,95
Václav Klaus,ODS,A,26,95
