Party,N. repr.,A,N,0,Z,M,Meeting,Proposal
ANO,78,0,0,12,59,7,34,146
ODS,23,15,0,5,0,3,34,146
Piráti,22,21,0,0,0,1,34,146
SPD,19,1,0,1,17,0,34,146
ČSSD,15,1,0,5,7,2,34,146
KSČM,15,8,0,1,4,2,34,146
KDU-ČSL,10,9,0,0,0,1,34,146
TOP09,7,3,0,1,0,3,34,146
STAN,6,5,0,1,0,0,34,146
Nezařaz,5,0,0,0,3,2,34,146
Celkem,200,63,0,26,90,21,34,146
