Name,Party,Vote,Meeting,Proposal
Věra Adámková,ANO,N,23,223
Andrej Babiš,ANO,N,23,223
Andrea Babišová,ANO,N,23,223
Margita Balaštíková,ANO,N,23,223
Josef Bělica,ANO,N,23,223
Stanislav Berkovec,ANO,N,23,223
Jiří Bláha,ANO,N,23,223
Richard Brabec,ANO,N,23,223
Milan Brázdil,ANO,N,23,223
Andrea Brzobohatá,ANO,N,23,223
Jaroslav Bžoch,ANO,N,23,223
Monika Červíčková,ANO,N,23,223
Klára Dostálová,ANO,N,23,223
Lenka Dražilová,ANO,N,23,223
Jaroslav Faltýnek,ANO,N,23,223
Kamal Farhan,ANO,N,23,223
Milan Feranec,ANO,N,23,223
Eva Fialová,ANO,N,23,223
Stanislav Fridrich,ANO,N,23,223
Josef Hájek,ANO,Z,23,223
Milan Hnilička,ANO,N,23,223
Ivan Jáč,ANO,N,23,223
Miloslav Janulík,ANO,N,23,223
Aleš Juchelka,ANO,N,23,223
Pavel Juříček,ANO,N,23,223
Adam Kalous,ANO,N,23,223
David Kasal,ANO,N,23,223
Tomáš Kohoutek,ANO,N,23,223
Martin Kolovratník,ANO,N,23,223
Barbora Kořanová,ANO,N,23,223
Josef Kott,ANO,N,23,223
Robert Králíček,ANO,N,23,223
Roman Kubíček,ANO,N,23,223
Jan Kubík,ANO,N,23,223
Jaroslav Kytýr,ANO,N,23,223
Taťána Malá,ANO,N,23,223
Přemysl Mališ,ANO,N,23,223
Jiří Mašek,ANO,N,23,223
Eva Matyášová,ANO,N,23,223
Radka Maxová,ANO,N,23,223
Marcela Melková,ANO,N,23,223
Jana Mračková Vildumetzová,ANO,N,23,223
Patrik Nacher,ANO,N,23,223
Marek Novák,ANO,N,23,223
Monika Oborná,ANO,N,23,223
Ladislav Okleštěk,ANO,N,23,223
Zuzana Ožanová,ANO,N,23,223
Jana Pastuchová,ANO,N,23,223
František Petrtýl,ANO,N,23,223
Pavel Plzák,ANO,N,23,223
Milan Pour,ANO,N,23,223
David Pražák,ANO,N,23,223
Věra Procházková,ANO,N,23,223
Pavel Pustějovský,ANO,N,23,223
Karel Rais,ANO,N,23,223
Michal Ratiborský,ANO,N,23,223
Jan Richter,ANO,N,23,223
Miloslava Rutová,ANO,N,23,223
Pavel Růžička,ANO,N,23,223
Jan Řehounek,ANO,N,23,223
Petr Sadovský,ANO,N,23,223
Jan Schiller,ANO,N,23,223
Pavel Staněk,ANO,N,23,223
Jiří Strýček,ANO,N,23,223
Karla Šlechtová,ANO,N,23,223
Julius Špičák,ANO,N,23,223
David Štolpa,ANO,N,23,223
Dan Ťok,ANO,N,23,223
Karel Tureček,ANO,N,23,223
Helena Válková,ANO,N,23,223
Petr Venhoda,ANO,N,23,223
Adam Vojtěch,ANO,N,23,223
Jan Volný,ANO,Z,23,223
Radek Vondráček,ANO,Z,23,223
Ivo Vondrák,ANO,N,23,223
Petr Vrána,ANO,N,23,223
Rostislav Vyzula,ANO,N,23,223
Radek Zlesák,ANO,Z,23,223
Ivan Adamec,ODS,Z,23,223
Jan Bauer,ODS,A,23,223
Martin Baxa,ODS,A,23,223
Petr Beitl,ODS,Z,23,223
Marek Benda,ODS,Z,23,223
Stanislav Blaha,ODS,Z,23,223
Pavel Blažek,ODS,A,23,223
Jana Černochová,ODS,Z,23,223
Petr Fiala,ODS,Z,23,223
Jakub Janda,ODS,A,23,223
Václav Klaus,ODS,Z,23,223
Karel Krejza,ODS,A,23,223
Martin Kupka,ODS,Z,23,223
Zuzana Majerová Zahradníková,ODS,Z,23,223
Jaroslav Martinů,ODS,Z,23,223
Ilona Mauritzová,ODS,Z,23,223
Vojtěch Munzar,ODS,Z,23,223
Miroslava Němcová,ODS,Z,23,223
Jan Skopeček,ODS,Z,23,223
Zbyněk Stanjura,ODS,Z,23,223
Bohuslav Svoboda,ODS,Z,23,223
Jiří Ventruba,ODS,Z,23,223
Veronika Vrecionová,ODS,M,23,223
Jan Zahradník,ODS,Z,23,223
Pavel Žáček,ODS,Z,23,223
Dana Balcarová,Piráti,A,23,223
Lukáš Bartoň,Piráti,A,23,223
Ivan Bartoš,Piráti,A,23,223
Lukáš Černohorský,Piráti,A,23,223
František Elfmark,Piráti,A,23,223
