Party,N. repr.,A,N,0,Z,M,Meeting,Proposal
ANO,78,67,1,0,1,9,48,124
ODS,23,19,0,3,0,1,48,124
Piráti,22,18,0,1,1,2,48,124
SPD,20,12,0,1,0,7,48,124
ČSSD,14,9,0,0,0,5,48,124
KSČM,15,11,0,1,1,2,48,124
KDU-ČSL,10,9,0,0,0,1,48,124
TOP09,7,5,0,0,0,2,48,124
STAN,6,6,0,0,0,0,48,124
Nezařaz,5,0,0,0,0,5,48,124
Celkem,200,156,1,6,3,34,48,124
