Party,N. repr.,A,N,0,Z,M,Meeting,Proposal
ANO,78,0,70,0,2,6,29,81
ODS,23,20,0,1,0,2,29,81
Piráti,22,20,0,0,1,1,29,81
SPD,19,14,0,1,0,4,29,81
ČSSD,15,0,9,0,6,0,29,81
KSČM,15,0,11,0,3,1,29,81
KDU-ČSL,10,8,0,0,2,0,29,81
TOP09,7,6,0,0,0,1,29,81
STAN,6,5,0,0,0,1,29,81
Nezařaz,5,4,0,0,0,1,29,81
Celkem,200,77,90,2,14,17,29,81
