Name,Party,Vote,Meeting,Proposal
Věra Adámková,ANO,Z,42,59
Andrej Babiš,ANO,M,42,59
Andrea Babišová,ANO,M,42,59
Ondřej Babka,ANO,N,42,59
Margita Balaštíková,ANO,M,42,59
Josef Bělica,ANO,M,42,59
Stanislav Berkovec,ANO,N,42,59
Jiří Bláha,ANO,M,42,59
Richard Brabec,ANO,M,42,59
Milan Brázdil,ANO,N,42,59
Andrea Brzobohatá,ANO,M,42,59
Jaroslav Bžoch,ANO,N,42,59
Monika Červíčková,ANO,Z,42,59
Klára Dostálová,ANO,Z,42,59
Lenka Dražilová,ANO,Z,42,59
Jaroslav Faltýnek,ANO,N,42,59
Kamal Farhan,ANO,N,42,59
Milan Feranec,ANO,N,42,59
Eva Fialová,ANO,Z,42,59
Stanislav Fridrich,ANO,M,42,59
Josef Hájek,ANO,M,42,59
Milan Hnilička,ANO,N,42,59
Ivan Jáč,ANO,M,42,59
Miloslav Janulík,ANO,N,42,59
Aleš Juchelka,ANO,Z,42,59
Pavel Juříček,ANO,Z,42,59
Iva Kalátová,ANO,M,42,59
Adam Kalous,ANO,M,42,59
David Kasal,ANO,N,42,59
Tomáš Kohoutek,ANO,N,42,59
Martin Kolovratník,ANO,M,42,59
Barbora Kořanová,ANO,N,42,59
Josef Kott,ANO,M,42,59
Robert Králíček,ANO,N,42,59
Roman Kubíček,ANO,N,42,59
Jan Kubík,ANO,M,42,59
Jaroslav Kytýr,ANO,N,42,59
Taťána Malá,ANO,N,42,59
Přemysl Mališ,ANO,M,42,59
Jiří Mašek,ANO,M,42,59
Eva Matyášová,ANO,M,42,59
Marcela Melková,ANO,N,42,59
Jana Mračková Vildumetzová,ANO,M,42,59
Patrik Nacher,ANO,N,42,59
Marek Novák,ANO,Z,42,59
Monika Oborná,ANO,N,42,59
Ladislav Okleštěk,ANO,M,42,59
Zuzana Ožanová,ANO,Z,42,59
Jana Pastuchová,ANO,N,42,59
František Petrtýl,ANO,M,42,59
Pavel Plzák,ANO,M,42,59
Milan Pour,ANO,M,42,59
David Pražák,ANO,N,42,59
Věra Procházková,ANO,M,42,59
Pavel Pustějovský,ANO,N,42,59
Karel Rais,ANO,M,42,59
Michal Ratiborský,ANO,M,42,59
Jan Richter,ANO,M,42,59
Miloslava Rutová,ANO,M,42,59
Pavel Růžička,ANO,N,42,59
Jan Řehounek,ANO,N,42,59
Petr Sadovský,ANO,N,42,59
Jan Schiller,ANO,M,42,59
Pavel Staněk,ANO,M,42,59
Jiří Strýček,ANO,N,42,59
Karla Šlechtová,ANO,M,42,59
Julius Špičák,ANO,N,42,59
David Štolpa,ANO,M,42,59
Karel Tureček,ANO,M,42,59
Helena Válková,ANO,M,42,59
Petr Venhoda,ANO,M,42,59
Adam Vojtěch,ANO,M,42,59
Jan Volný,ANO,M,42,59
Radek Vondráček,ANO,Z,42,59
Ivo Vondrák,ANO,M,42,59
Petr Vrána,ANO,N,42,59
Rostislav Vyzula,ANO,N,42,59
Radek Zlesák,ANO,M,42,59
Ivan Adamec,ODS,M,42,59
Jan Bauer,ODS,A,42,59
Martin Baxa,ODS,M,42,59
Petr Beitl,ODS,M,42,59
Marek Benda,ODS,Z,42,59
Petr Bendl,ODS,A,42,59
Stanislav Blaha,ODS,A,42,59
Pavel Blažek,ODS,A,42,59
Jana Černochová,ODS,A,42,59
Petr Fiala,ODS,A,42,59
Jakub Janda,ODS,M,42,59
Karel Krejza,ODS,A,42,59
Martin Kupka,ODS,A,42,59
Jaroslav Martinů,ODS,M,42,59
Ilona Mauritzová,ODS,A,42,59
Vojtěch Munzar,ODS,M,42,59
Miroslava Němcová,ODS,M,42,59
Jan Skopeček,ODS,A,42,59
Zbyněk Stanjura,ODS,A,42,59
Bohuslav Svoboda,ODS,M,42,59
Jiří Ventruba,ODS,M,42,59
Jan Zahradník,ODS,M,42,59
Pavel Žáček,ODS,M,42,59
Dana Balcarová,Piráti,M,42,59
Lukáš Bartoň,Piráti,A,42,59
Ivan Bartoš,Piráti,M,42,59
Lukáš Černohorský,Piráti,M,42,59
František Elfmark,Piráti,M,42,59
Mikuláš Ferjenčík,Piráti,A,42,59
Radek Holomčík,Piráti,M,42,59
Martin Jiránek,Piráti,A,42,59
Lukáš Kolářík,Piráti,Z,42,59
František Kopřiva,Piráti,M,42,59
Lenka Kozlová,Piráti,M,42,59
Jan Lipavský,Piráti,A,42,59
Tomáš Martínek,Piráti,A,42,59
Jakub Michálek,Piráti,A,42,59
František Navrkal,Piráti,M,42,59
Vojtěch Pikal,Piráti,A,42,59
Ondřej Polanský,Piráti,M,42,59
Jan Pošvář,Piráti,M,42,59
Ondřej Profant,Piráti,A,42,59
Olga Richterová,Piráti,A,42,59
Petr Třešňák,Piráti,A,42,59
Tomáš Vymazal,Piráti,M,42,59
