Party,N. repr.,A,N,0,Z,M,Meeting,Proposal
ANO,78,0,3,5,58,12,18,72
ODS,25,1,0,5,17,2,18,72
Piráti,22,0,3,1,15,3,18,72
SPD,22,20,0,1,0,1,18,72
ČSSD,15,0,9,2,2,2,18,72
KSČM,15,11,1,0,3,0,18,72
KDU-ČSL,10,0,1,1,7,1,18,72
TOP09,7,0,2,1,3,1,18,72
STAN,6,0,0,0,6,0,18,72
Celkem,200,32,19,16,111,22,18,72
