Party,N. repr.,A,N,0,Z,M,Meeting,Proposal
ANO,78,57,0,2,11,8,12,132
ODS,25,20,0,1,3,1,12,132
Piráti,22,15,0,2,0,5,12,132
SPD,22,13,0,1,3,5,12,132
ČSSD,15,7,0,1,5,2,12,132
KSČM,15,13,0,2,0,0,12,132
KDU-ČSL,10,7,0,1,2,0,12,132
TOP09,7,4,0,1,1,1,12,132
STAN,6,6,0,0,0,0,12,132
Celkem,200,142,0,11,25,22,12,132
