Party,N. repr.,A,N,0,Z,M,Meeting,Proposal
ANO,78,33,2,0,4,39,56,127
ODS,23,12,0,0,1,10,56,127
Piráti,22,11,0,0,0,11,56,127
SPD,19,8,0,0,0,11,56,127
ČSSD,14,5,0,0,1,8,56,127
KSČM,15,6,0,0,1,8,56,127
KDU-ČSL,10,4,0,1,0,5,56,127
TOP09,7,3,0,0,0,4,56,127
STAN,6,3,0,0,0,3,56,127
Nezařaz,6,0,0,0,0,6,56,127
Celkem,200,85,2,1,7,105,56,127
