Party,N. repr.,A,N,0,Z,M,Meeting,Proposal
ANO,78,76,0,1,0,1,1,10
ODS,25,18,1,1,5,0,1,10
Piráti,22,22,0,0,0,0,1,10
SPD,22,0,5,0,17,0,1,10
ČSSD,15,10,0,3,0,2,1,10
KSČM,15,15,0,0,0,0,1,10
KDU-ČSL,10,3,4,0,3,0,1,10
TOP09,7,2,1,3,1,0,1,10
STAN,6,0,5,0,1,0,1,10
Celkem,200,146,16,8,27,3,1,10
