Name,Party,Vote,Meeting,Proposal
Věra Adámková,ANO,A,34,282
Andrej Babiš,ANO,M,34,282
Andrea Babišová,ANO,M,34,282
Ondřej Babka,ANO,A,34,282
Margita Balaštíková,ANO,M,34,282
Josef Bělica,ANO,A,34,282
Stanislav Berkovec,ANO,A,34,282
Jiří Bláha,ANO,M,34,282
Richard Brabec,ANO,A,34,282
Milan Brázdil,ANO,A,34,282
Andrea Brzobohatá,ANO,A,34,282
Jaroslav Bžoch,ANO,A,34,282
Monika Červíčková,ANO,A,34,282
Klára Dostálová,ANO,A,34,282
Lenka Dražilová,ANO,A,34,282
Jaroslav Faltýnek,ANO,0,34,282
Kamal Farhan,ANO,A,34,282
Milan Feranec,ANO,A,34,282
Eva Fialová,ANO,A,34,282
Stanislav Fridrich,ANO,A,34,282
Josef Hájek,ANO,A,34,282
Milan Hnilička,ANO,A,34,282
Ivan Jáč,ANO,A,34,282
Miloslav Janulík,ANO,A,34,282
Aleš Juchelka,ANO,A,34,282
Pavel Juříček,ANO,A,34,282
Iva Kalátová,ANO,A,34,282
Adam Kalous,ANO,A,34,282
David Kasal,ANO,A,34,282
Tomáš Kohoutek,ANO,A,34,282
Martin Kolovratník,ANO,A,34,282
Barbora Kořanová,ANO,A,34,282
Josef Kott,ANO,A,34,282
Robert Králíček,ANO,A,34,282
Roman Kubíček,ANO,A,34,282
Jan Kubík,ANO,A,34,282
Jaroslav Kytýr,ANO,A,34,282
Taťána Malá,ANO,A,34,282
Přemysl Mališ,ANO,A,34,282
Jiří Mašek,ANO,A,34,282
Eva Matyášová,ANO,A,34,282
Marcela Melková,ANO,A,34,282
Jana Mračková Vildumetzová,ANO,A,34,282
Patrik Nacher,ANO,A,34,282
Marek Novák,ANO,A,34,282
Monika Oborná,ANO,A,34,282
Ladislav Okleštěk,ANO,M,34,282
Zuzana Ožanová,ANO,A,34,282
Jana Pastuchová,ANO,A,34,282
František Petrtýl,ANO,A,34,282
Pavel Plzák,ANO,A,34,282
Milan Pour,ANO,A,34,282
David Pražák,ANO,A,34,282
Věra Procházková,ANO,A,34,282
Pavel Pustějovský,ANO,A,34,282
Karel Rais,ANO,A,34,282
Michal Ratiborský,ANO,A,34,282
Jan Richter,ANO,A,34,282
Miloslava Rutová,ANO,A,34,282
Pavel Růžička,ANO,A,34,282
Jan Řehounek,ANO,A,34,282
Petr Sadovský,ANO,A,34,282
Jan Schiller,ANO,A,34,282
Pavel Staněk,ANO,A,34,282
Jiří Strýček,ANO,A,34,282
Karla Šlechtová,ANO,A,34,282
Julius Špičák,ANO,A,34,282
David Štolpa,ANO,A,34,282
Karel Tureček,ANO,A,34,282
Helena Válková,ANO,A,34,282
Petr Venhoda,ANO,Z,34,282
Adam Vojtěch,ANO,A,34,282
Jan Volný,ANO,M,34,282
Radek Vondráček,ANO,A,34,282
Ivo Vondrák,ANO,A,34,282
Petr Vrána,ANO,A,34,282
Rostislav Vyzula,ANO,M,34,282
Radek Zlesák,ANO,A,34,282
Ivan Adamec,ODS,M,34,282
Jan Bauer,ODS,A,34,282
Martin Baxa,ODS,A,34,282
Petr Beitl,ODS,A,34,282
Marek Benda,ODS,A,34,282
Petr Bendl,ODS,M,34,282
Stanislav Blaha,ODS,A,34,282
Pavel Blažek,ODS,A,34,282
Jana Černochová,ODS,M,34,282
Petr Fiala,ODS,A,34,282
Jakub Janda,ODS,A,34,282
Karel Krejza,ODS,A,34,282
Martin Kupka,ODS,A,34,282
Jaroslav Martinů,ODS,A,34,282
Ilona Mauritzová,ODS,A,34,282
Vojtěch Munzar,ODS,A,34,282
Miroslava Němcová,ODS,A,34,282
Jan Skopeček,ODS,A,34,282
Zbyněk Stanjura,ODS,A,34,282
Bohuslav Svoboda,ODS,M,34,282
Jiří Ventruba,ODS,A,34,282
Jan Zahradník,ODS,A,34,282
Pavel Žáček,ODS,A,34,282
Dana Balcarová,Piráti,A,34,282
Lukáš Bartoň,Piráti,A,34,282
Ivan Bartoš,Piráti,A,34,282
Lukáš Černohorský,Piráti,A,34,282
František Elfmark,Piráti,A,34,282
Mikuláš Ferjenčík,Piráti,A,34,282
Radek Holomčík,Piráti,A,34,282
Martin Jiránek,Piráti,A,34,282
Lukáš Kolářík,Piráti,M,34,282
František Kopřiva,Piráti,A,34,282
Lenka Kozlová,Piráti,A,34,282
Jan Lipavský,Piráti,A,34,282
Tomáš Martínek,Piráti,A,34,282
Jakub Michálek,Piráti,A,34,282
František Navrkal,Piráti,A,34,282
Vojtěch Pikal,Piráti,A,34,282
Ondřej Polanský,Piráti,A,34,282
Jan Pošvář,Piráti,A,34,282
Ondřej Profant,Piráti,A,34,282
Olga Richterová,Piráti,A,34,282
Petr Třešňák,Piráti,A,34,282
Tomáš Vymazal,Piráti,A,34,282
Jaroslav Dvořák,SPD,M,34,282
Radim Fiala,SPD,A,34,282
Jaroslav Holík,SPD,A,34,282
Jan Hrnčíř,SPD,M,34,282
Tereza Hyťhová,SPD,A,34,282
Monika Jarošová,SPD,A,34,282
Pavel Jelínek,SPD,A,34,282
Jiří Kobza,SPD,A,34,282
Jiří Kohoutek,SPD,A,34,282
Radek Koten,SPD,A,34,282
Jana Levová,SPD,M,34,282
Karla Maříková,SPD,A,34,282
Tomio Okamura,SPD,A,34,282
Zdeněk Podal,SPD,M,34,282
Miloslav Rozner,SPD,A,34,282
Radek Rozvoral,SPD,A,34,282
Lucie Šafránková,SPD,A,34,282
Lubomír Španěl,SPD,A,34,282
Radovan Vích,SPD,A,34,282
Jiří Běhounek,ČSSD,M,34,282
Jan Birke,ČSSD,M,34,282
Petr Dolínek,ČSSD,M,34,282
Jaroslav Foldyna,ČSSD,M,34,282
Alena Gajdůšková,ČSSD,A,34,282
Jan Hamáček,ČSSD,0,34,282
Tomáš Hanzel,ČSSD,A,34,282
Jan Chvojka,ČSSD,A,34,282
Roman Onderka,ČSSD,M,34,282
Roman Sklenák,ČSSD,A,34,282
Antonín Staněk,ČSSD,A,34,282
Kateřina Valachová,ČSSD,M,34,282
Ondřej Veselý,ČSSD,A,34,282
Václav Votava,ČSSD,A,34,282
Lubomír Zaorálek,ČSSD,M,34,282
Hana Aulická Jírovcová,KSČM,A,34,282
Alexander Černý,KSČM,A,34,282
Jiří Dolejš,KSČM,A,34,282
Vojtěch Filip,KSČM,Z,34,282
Miroslav Grebeníček,KSČM,A,34,282
Stanislav Grospič,KSČM,A,34,282
Pavel Kováčik,KSČM,A,34,282
Leo Luzar,KSČM,A,34,282
