Party,N. repr.,A,N,0,Z,M,Meeting,Proposal
ANO,78,52,0,6,7,13,11,115
ODS,25,15,0,5,1,4,11,115
Piráti,22,20,0,2,0,0,11,115
SPD,22,14,0,0,0,8,11,115
ČSSD,15,6,0,4,0,5,11,115
KSČM,15,3,0,1,9,2,11,115
KDU-ČSL,10,8,0,0,0,2,11,115
TOP09,7,5,0,0,0,2,11,115
STAN,6,3,0,0,1,2,11,115
Celkem,200,126,0,18,18,38,11,115
