Party,N. repr.,A,N,0,Z,M,Meeting,Proposal
ANO,78,4,51,3,9,11,33,156
ODS,23,0,18,3,1,1,33,156
Piráti,22,22,0,0,0,0,33,156
SPD,19,13,1,3,0,2,33,156
ČSSD,15,2,5,4,2,2,33,156
KSČM,15,3,0,2,7,3,33,156
KDU-ČSL,10,4,0,0,1,5,33,156
TOP09,7,6,0,0,0,1,33,156
STAN,6,4,0,0,0,2,33,156
Nezařaz,5,1,1,0,2,1,33,156
Celkem,200,59,76,15,22,28,33,156
