Name,Party,Vote,Meeting,Proposal
Věra Adámková,ANO,A,47,169
Andrej Babiš,ANO,M,47,169
Andrea Babišová,ANO,M,47,169
Ondřej Babka,ANO,A,47,169
Margita Balaštíková,ANO,A,47,169
Josef Bělica,ANO,M,47,169
Stanislav Berkovec,ANO,A,47,169
Jiří Bláha,ANO,A,47,169
Richard Brabec,ANO,M,47,169
Milan Brázdil,ANO,A,47,169
Andrea Brzobohatá,ANO,A,47,169
Jaroslav Bžoch,ANO,A,47,169
Monika Červíčková,ANO,A,47,169
Klára Dostálová,ANO,A,47,169
Lenka Dražilová,ANO,A,47,169
Jaroslav Faltýnek,ANO,A,47,169
Kamal Farhan,ANO,A,47,169
Milan Feranec,ANO,A,47,169
Eva Fialová,ANO,A,47,169
Stanislav Fridrich,ANO,M,47,169
Josef Hájek,ANO,A,47,169
Milan Hnilička,ANO,A,47,169
Ivan Jáč,ANO,A,47,169
Miloslav Janulík,ANO,A,47,169
Aleš Juchelka,ANO,A,47,169
Pavel Juříček,ANO,M,47,169
Iva Kalátová,ANO,A,47,169
Adam Kalous,ANO,A,47,169
David Kasal,ANO,A,47,169
Tomáš Kohoutek,ANO,A,47,169
Martin Kolovratník,ANO,A,47,169
Barbora Kořanová,ANO,A,47,169
Josef Kott,ANO,A,47,169
Robert Králíček,ANO,A,47,169
Roman Kubíček,ANO,A,47,169
Jan Kubík,ANO,A,47,169
Jaroslav Kytýr,ANO,A,47,169
Taťána Malá,ANO,A,47,169
Přemysl Mališ,ANO,A,47,169
Jiří Mašek,ANO,A,47,169
Eva Matyášová,ANO,A,47,169
Marcela Melková,ANO,M,47,169
Jana Mračková Vildumetzová,ANO,A,47,169
Patrik Nacher,ANO,A,47,169
Marek Novák,ANO,A,47,169
Monika Oborná,ANO,A,47,169
Ladislav Okleštěk,ANO,M,47,169
Zuzana Ožanová,ANO,A,47,169
Jana Pastuchová,ANO,A,47,169
František Petrtýl,ANO,A,47,169
Pavel Plzák,ANO,A,47,169
Milan Pour,ANO,A,47,169
David Pražák,ANO,A,47,169
Věra Procházková,ANO,Z,47,169
Pavel Pustějovský,ANO,M,47,169
Karel Rais,ANO,A,47,169
Michal Ratiborský,ANO,A,47,169
Jan Richter,ANO,M,47,169
Miloslava Rutová,ANO,A,47,169
Pavel Růžička,ANO,A,47,169
Jan Řehounek,ANO,A,47,169
Petr Sadovský,ANO,A,47,169
Jan Schiller,ANO,A,47,169
Pavel Staněk,ANO,A,47,169
Jiří Strýček,ANO,A,47,169
Karla Šlechtová,ANO,A,47,169
Julius Špičák,ANO,A,47,169
David Štolpa,ANO,A,47,169
Karel Tureček,ANO,A,47,169
Helena Válková,ANO,A,47,169
Petr Venhoda,ANO,A,47,169
Adam Vojtěch,ANO,A,47,169
Jan Volný,ANO,M,47,169
Radek Vondráček,ANO,A,47,169
Ivo Vondrák,ANO,M,47,169
Petr Vrána,ANO,M,47,169
Rostislav Vyzula,ANO,M,47,169
Radek Zlesák,ANO,A,47,169
Ivan Adamec,ODS,A,47,169
Jan Bauer,ODS,A,47,169
Martin Baxa,ODS,A,47,169
Petr Beitl,ODS,A,47,169
Marek Benda,ODS,A,47,169
Petr Bendl,ODS,A,47,169
Stanislav Blaha,ODS,A,47,169
Pavel Blažek,ODS,A,47,169
Jana Černochová,ODS,A,47,169
Petr Fiala,ODS,A,47,169
Jakub Janda,ODS,A,47,169
Karel Krejza,ODS,A,47,169
Martin Kupka,ODS,A,47,169
Jaroslav Martinů,ODS,A,47,169
Ilona Mauritzová,ODS,A,47,169
Vojtěch Munzar,ODS,A,47,169
Miroslava Němcová,ODS,M,47,169
Jan Skopeček,ODS,0,47,169
Zbyněk Stanjura,ODS,M,47,169
Bohuslav Svoboda,ODS,A,47,169
Jiří Ventruba,ODS,A,47,169
Jan Zahradník,ODS,M,47,169
Pavel Žáček,ODS,A,47,169
Dana Balcarová,Piráti,M,47,169
Lukáš Bartoň,Piráti,A,47,169
Ivan Bartoš,Piráti,A,47,169
Lukáš Černohorský,Piráti,A,47,169
František Elfmark,Piráti,A,47,169
Mikuláš Ferjenčík,Piráti,A,47,169
Radek Holomčík,Piráti,A,47,169
Martin Jiránek,Piráti,A,47,169
Lukáš Kolářík,Piráti,A,47,169
František Kopřiva,Piráti,A,47,169
Lenka Kozlová,Piráti,A,47,169
Jan Lipavský,Piráti,A,47,169
Tomáš Martínek,Piráti,A,47,169
Jakub Michálek,Piráti,A,47,169
František Navrkal,Piráti,A,47,169
Vojtěch Pikal,Piráti,0,47,169
Ondřej Polanský,Piráti,A,47,169
Jan Pošvář,Piráti,A,47,169
Ondřej Profant,Piráti,A,47,169
Olga Richterová,Piráti,A,47,169
Petr Třešňák,Piráti,A,47,169
Tomáš Vymazal,Piráti,A,47,169
Jaroslav Dvořák,SPD,M,47,169
Radim Fiala,SPD,Z,47,169
Jaroslav Foldyna,SPD,Z,47,169
Jaroslav Holík,SPD,Z,47,169
Jan Hrnčíř,SPD,Z,47,169
Tereza Hyťhová,SPD,0,47,169
Monika Jarošová,SPD,Z,47,169
Pavel Jelínek,SPD,Z,47,169
Jiří Kobza,SPD,Z,47,169
Jiří Kohoutek,SPD,Z,47,169
Radek Koten,SPD,Z,47,169
Jana Levová,SPD,0,47,169
Karla Maříková,SPD,Z,47,169
Tomio Okamura,SPD,0,47,169
Zdeněk Podal,SPD,Z,47,169
Miloslav Rozner,SPD,Z,47,169
Radek Rozvoral,SPD,Z,47,169
Lucie Šafránková,SPD,Z,47,169
Lubomír Španěl,SPD,Z,47,169
Radovan Vích,SPD,Z,47,169
Jiří Běhounek,ČSSD,A,47,169
Jan Birke,ČSSD,M,47,169
Petr Dolínek,ČSSD,A,47,169
Alena Gajdůšková,ČSSD,M,47,169
Jan Hamáček,ČSSD,M,47,169
Tomáš Hanzel,ČSSD,M,47,169
Jan Chvojka,ČSSD,0,47,169
Roman Onderka,ČSSD,M,47,169
Roman Sklenák,ČSSD,M,47,169
Antonín Staněk,ČSSD,M,47,169
Kateřina Valachová,ČSSD,M,47,169
Ondřej Veselý,ČSSD,A,47,169
Václav Votava,ČSSD,A,47,169
Lubomír Zaorálek,ČSSD,0,47,169
Hana Aulická Jírovcová,KSČM,Z,47,169
Alexander Černý,KSČM,Z,47,169
Jiří Dolejš,KSČM,0,47,169
Vojtěch Filip,KSČM,Z,47,169
Miroslav Grebeníček,KSČM,M,47,169
Stanislav Grospič,KSČM,0,47,169
Pavel Kováčik,KSČM,Z,47,169
Leo Luzar,KSČM,Z,47,169
Květa Matušovská,KSČM,Z,47,169
Zdeněk Ondráček,KSČM,Z,47,169
Daniel Pawlas,KSČM,Z,47,169
Marie Pěnčíková,KSČM,Z,47,169
Ivo Pojezný,KSČM,Z,47,169
Jiří Valenta,KSČM,A,47,169
Miloslava Vostrá,KSČM,0,47,169
Jan Bartošek,KDU-ČSL,A,47,169
Pavel Bělobrádek,KDU-ČSL,A,47,169
Ondřej Benešík,KDU-ČSL,A,47,169
Jan Čižinský,KDU-ČSL,0,47,169
Pavla Golasowská,KDU-ČSL,A,47,169
Stanislav Juránek,KDU-ČSL,A,47,169
Marian Jurečka,KDU-ČSL,0,47,169
Vít Kaňkovský,KDU-ČSL,A,47,169
Jiří Mihola,KDU-ČSL,M,47,169
Marek Výborný,KDU-ČSL,A,47,169
Dominik Feri,TOP09,M,47,169
Miroslav Kalousek,TOP09,A,47,169
Helena Langšádlová,TOP09,A,47,169
Markéta Pekarová Adamová,TOP09,A,47,169
Karel Schwarzenberg,TOP09,M,47,169
František Vácha,TOP09,A,47,169
Vlastimil Válek,TOP09,A,47,169
Jan Farský,STAN,A,47,169
Petr Gazdík,STAN,M,47,169
Věra Kovářová,STAN,A,47,169
Jana Krutáková,STAN,M,47,169
Petr Pávek,STAN,M,47,169
Vít Rakušan,STAN,A,47,169
Marian Bojko,Nezařaz,Z,47,169
Václav Klaus,Nezařaz,0,47,169
Zuzana Majerová Zahradníková,Nezařaz,A,47,169
Ivana Nevludová,Nezařaz,Z,47,169
Lubomír Volný,Nezařaz,M,47,169
