Party,N. repr.,A,N,0,Z,M,Meeting,Proposal
ANO,78,0,59,0,17,2,53,46
ODS,23,22,0,0,1,0,53,46
Piráti,22,9,0,0,13,0,53,46
SPD,20,18,0,0,0,2,53,46
ČSSD,14,0,1,1,11,1,53,46
KSČM,15,0,7,0,8,0,53,46
KDU-ČSL,10,10,0,0,0,0,53,46
TOP09,7,7,0,0,0,0,53,46
STAN,6,5,0,0,0,1,53,46
Nezařaz,5,2,0,0,2,1,53,46
Celkem,200,73,67,1,52,7,53,46
