Name,Party,Vote,Meeting,Proposal
Věra Adámková,ANO,N,28,690
Andrej Babiš,ANO,M,28,690
Andrea Babišová,ANO,N,28,690
Margita Balaštíková,ANO,N,28,690
Josef Bělica,ANO,N,28,690
Stanislav Berkovec,ANO,N,28,690
Jiří Bláha,ANO,M,28,690
Richard Brabec,ANO,Z,28,690
Milan Brázdil,ANO,N,28,690
Andrea Brzobohatá,ANO,N,28,690
Jaroslav Bžoch,ANO,N,28,690
Monika Červíčková,ANO,Z,28,690
Klára Dostálová,ANO,Z,28,690
Lenka Dražilová,ANO,N,28,690
Jaroslav Faltýnek,ANO,N,28,690
Kamal Farhan,ANO,N,28,690
Milan Feranec,ANO,N,28,690
Eva Fialová,ANO,N,28,690
Stanislav Fridrich,ANO,N,28,690
Josef Hájek,ANO,Z,28,690
Milan Hnilička,ANO,N,28,690
Ivan Jáč,ANO,N,28,690
Miloslav Janulík,ANO,N,28,690
Aleš Juchelka,ANO,N,28,690
Pavel Juříček,ANO,N,28,690
Iva Kalátová,ANO,N,28,690
Adam Kalous,ANO,N,28,690
David Kasal,ANO,N,28,690
Tomáš Kohoutek,ANO,N,28,690
Martin Kolovratník,ANO,0,28,690
Barbora Kořanová,ANO,Z,28,690
Josef Kott,ANO,N,28,690
Robert Králíček,ANO,N,28,690
Roman Kubíček,ANO,N,28,690
Jan Kubík,ANO,N,28,690
Jaroslav Kytýr,ANO,N,28,690
Taťána Malá,ANO,N,28,690
Přemysl Mališ,ANO,N,28,690
Jiří Mašek,ANO,N,28,690
Eva Matyášová,ANO,N,28,690
Radka Maxová,ANO,N,28,690
Marcela Melková,ANO,N,28,690
Jana Mračková Vildumetzová,ANO,N,28,690
Patrik Nacher,ANO,Z,28,690
Marek Novák,ANO,N,28,690
Monika Oborná,ANO,N,28,690
Ladislav Okleštěk,ANO,N,28,690
Zuzana Ožanová,ANO,N,28,690
Jana Pastuchová,ANO,N,28,690
František Petrtýl,ANO,N,28,690
Pavel Plzák,ANO,N,28,690
Milan Pour,ANO,N,28,690
David Pražák,ANO,N,28,690
Věra Procházková,ANO,N,28,690
Pavel Pustějovský,ANO,N,28,690
Karel Rais,ANO,M,28,690
Michal Ratiborský,ANO,N,28,690
Jan Richter,ANO,N,28,690
