Name,Party,Vote,Meeting,Proposal
Věra Adámková,ANO,N,26,142
Andrej Babiš,ANO,M,26,142
Andrea Babišová,ANO,Z,26,142
Margita Balaštíková,ANO,M,26,142
Josef Bělica,ANO,N,26,142
Stanislav Berkovec,ANO,N,26,142
Jiří Bláha,ANO,N,26,142
Richard Brabec,ANO,N,26,142
Milan Brázdil,ANO,M,26,142
Andrea Brzobohatá,ANO,N,26,142
Jaroslav Bžoch,ANO,N,26,142
Monika Červíčková,ANO,N,26,142
Klára Dostálová,ANO,N,26,142
Lenka Dražilová,ANO,N,26,142
Jaroslav Faltýnek,ANO,N,26,142
Kamal Farhan,ANO,N,26,142
Milan Feranec,ANO,N,26,142
Eva Fialová,ANO,N,26,142
Stanislav Fridrich,ANO,N,26,142
Josef Hájek,ANO,M,26,142
Milan Hnilička,ANO,N,26,142
Ivan Jáč,ANO,N,26,142
Miloslav Janulík,ANO,N,26,142
Aleš Juchelka,ANO,N,26,142
Pavel Juříček,ANO,N,26,142
Iva Kalátová,ANO,N,26,142
Adam Kalous,ANO,N,26,142
David Kasal,ANO,N,26,142
Tomáš Kohoutek,ANO,M,26,142
Martin Kolovratník,ANO,0,26,142
Barbora Kořanová,ANO,N,26,142
Josef Kott,ANO,N,26,142
Robert Králíček,ANO,M,26,142
Roman Kubíček,ANO,N,26,142
Jan Kubík,ANO,M,26,142
Jaroslav Kytýr,ANO,N,26,142
Taťána Malá,ANO,N,26,142
Přemysl Mališ,ANO,N,26,142
Jiří Mašek,ANO,N,26,142
Eva Matyášová,ANO,N,26,142
Radka Maxová,ANO,M,26,142
Marcela Melková,ANO,N,26,142
Jana Mračková Vildumetzová,ANO,N,26,142
Patrik Nacher,ANO,N,26,142
Marek Novák,ANO,N,26,142
Monika Oborná,ANO,N,26,142
Ladislav Okleštěk,ANO,N,26,142
Zuzana Ožanová,ANO,N,26,142
Jana Pastuchová,ANO,N,26,142
František Petrtýl,ANO,N,26,142
Pavel Plzák,ANO,N,26,142
Milan Pour,ANO,M,26,142
David Pražák,ANO,N,26,142
Věra Procházková,ANO,N,26,142
Pavel Pustějovský,ANO,N,26,142
Karel Rais,ANO,N,26,142
Michal Ratiborský,ANO,M,26,142
Jan Richter,ANO,N,26,142
Miloslava Rutová,ANO,N,26,142
Pavel Růžička,ANO,N,26,142
Jan Řehounek,ANO,N,26,142
Petr Sadovský,ANO,N,26,142
Jan Schiller,ANO,N,26,142
Pavel Staněk,ANO,N,26,142
Jiří Strýček,ANO,N,26,142
Karla Šlechtová,ANO,N,26,142
Julius Špičák,ANO,M,26,142
David Štolpa,ANO,N,26,142
Karel Tureček,ANO,N,26,142
Helena Válková,ANO,N,26,142
Petr Venhoda,ANO,N,26,142
Adam Vojtěch,ANO,N,26,142
Jan Volný,ANO,N,26,142
Radek Vondráček,ANO,M,26,142
Ivo Vondrák,ANO,N,26,142
Petr Vrána,ANO,N,26,142
Rostislav Vyzula,ANO,N,26,142
Radek Zlesák,ANO,N,26,142
Ivan Adamec,ODS,A,26,142
Jan Bauer,ODS,A,26,142
Martin Baxa,ODS,A,26,142
Petr Beitl,ODS,0,26,142
Marek Benda,ODS,0,26,142
Stanislav Blaha,ODS,M,26,142
Pavel Blažek,ODS,M,26,142
Jana Černochová,ODS,A,26,142
Petr Fiala,ODS,A,26,142
Jakub Janda,ODS,A,26,142
Karel Krejza,ODS,M,26,142
Martin Kupka,ODS,M,26,142
Jaroslav Martinů,ODS,A,26,142
Ilona Mauritzová,ODS,A,26,142
Vojtěch Munzar,ODS,A,26,142
Miroslava Němcová,ODS,M,26,142
Jan Skopeček,ODS,0,26,142
Zbyněk Stanjura,ODS,A,26,142
Bohuslav Svoboda,ODS,A,26,142
Jiří Ventruba,ODS,A,26,142
Veronika Vrecionová,ODS,A,26,142
Jan Zahradník,ODS,A,26,142
