Party,N. repr.,A,N,0,Z,M,Meeting,Proposal
ANO,78,0,30,3,40,5,24,131
ODS,25,0,0,0,23,2,24,131
Piráti,22,0,18,1,1,2,24,131
SPD,22,18,0,1,2,1,24,131
ČSSD,15,0,6,1,4,4,24,131
KSČM,15,9,0,0,5,1,24,131
KDU-ČSL,10,0,7,0,2,1,24,131
TOP09,7,0,3,0,3,1,24,131
STAN,6,0,4,0,2,0,24,131
Celkem,200,27,68,6,82,17,24,131
