Name,Party,Vote,Meeting,Proposal
Věra Adámková,ANO,A,30,8
Andrej Babiš,ANO,M,30,8
Andrea Babišová,ANO,A,30,8
Margita Balaštíková,ANO,M,30,8
Josef Bělica,ANO,A,30,8
Stanislav Berkovec,ANO,A,30,8
Jiří Bláha,ANO,M,30,8
Richard Brabec,ANO,A,30,8
Milan Brázdil,ANO,A,30,8
Andrea Brzobohatá,ANO,A,30,8
Jaroslav Bžoch,ANO,A,30,8
Monika Červíčková,ANO,A,30,8
Klára Dostálová,ANO,M,30,8
Lenka Dražilová,ANO,A,30,8
Jaroslav Faltýnek,ANO,A,30,8
Kamal Farhan,ANO,A,30,8
Milan Feranec,ANO,Z,30,8
Eva Fialová,ANO,A,30,8
Stanislav Fridrich,ANO,A,30,8
Josef Hájek,ANO,0,30,8
Milan Hnilička,ANO,A,30,8
Ivan Jáč,ANO,A,30,8
Miloslav Janulík,ANO,A,30,8
Aleš Juchelka,ANO,A,30,8
Pavel Juříček,ANO,M,30,8
Iva Kalátová,ANO,0,30,8
Adam Kalous,ANO,M,30,8
David Kasal,ANO,A,30,8
Tomáš Kohoutek,ANO,A,30,8
Martin Kolovratník,ANO,A,30,8
Barbora Kořanová,ANO,A,30,8
Josef Kott,ANO,A,30,8
Robert Králíček,ANO,A,30,8
Roman Kubíček,ANO,A,30,8
Jan Kubík,ANO,A,30,8
Jaroslav Kytýr,ANO,A,30,8
Taťána Malá,ANO,A,30,8
Přemysl Mališ,ANO,A,30,8
Jiří Mašek,ANO,A,30,8
Eva Matyášová,ANO,M,30,8
Radka Maxová,ANO,M,30,8
Marcela Melková,ANO,A,30,8
Jana Mračková Vildumetzová,ANO,A,30,8
Patrik Nacher,ANO,A,30,8
Marek Novák,ANO,A,30,8
Monika Oborná,ANO,A,30,8
Ladislav Okleštěk,ANO,A,30,8
Zuzana Ožanová,ANO,M,30,8
Jana Pastuchová,ANO,A,30,8
František Petrtýl,ANO,A,30,8
Pavel Plzák,ANO,Z,30,8
Milan Pour,ANO,A,30,8
David Pražák,ANO,A,30,8
Věra Procházková,ANO,Z,30,8
Pavel Pustějovský,ANO,M,30,8
Karel Rais,ANO,A,30,8
Michal Ratiborský,ANO,A,30,8
Jan Richter,ANO,M,30,8
Miloslava Rutová,ANO,A,30,8
Pavel Růžička,ANO,A,30,8
Jan Řehounek,ANO,A,30,8
Petr Sadovský,ANO,A,30,8
Jan Schiller,ANO,A,30,8
Pavel Staněk,ANO,A,30,8
Jiří Strýček,ANO,A,30,8
Karla Šlechtová,ANO,A,30,8
Julius Špičák,ANO,A,30,8
David Štolpa,ANO,A,30,8
Karel Tureček,ANO,M,30,8
Helena Válková,ANO,A,30,8
Petr Venhoda,ANO,M,30,8
Adam Vojtěch,ANO,M,30,8
Jan Volný,ANO,A,30,8
Radek Vondráček,ANO,M,30,8
Ivo Vondrák,ANO,A,30,8
Petr Vrána,ANO,A,30,8
Rostislav Vyzula,ANO,M,30,8
Radek Zlesák,ANO,A,30,8
Ivan Adamec,ODS,M,30,8
Jan Bauer,ODS,M,30,8
Martin Baxa,ODS,A,30,8
Petr Beitl,ODS,A,30,8
Marek Benda,ODS,A,30,8
Stanislav Blaha,ODS,A,30,8
Pavel Blažek,ODS,M,30,8
Jana Černochová,ODS,M,30,8
Petr Fiala,ODS,M,30,8
Jakub Janda,ODS,A,30,8
Karel Krejza,ODS,A,30,8
Martin Kupka,ODS,A,30,8
Jaroslav Martinů,ODS,A,30,8
Ilona Mauritzová,ODS,M,30,8
Vojtěch Munzar,ODS,A,30,8
Miroslava Němcová,ODS,A,30,8
Jan Skopeček,ODS,A,30,8
Zbyněk Stanjura,ODS,A,30,8
Bohuslav Svoboda,ODS,A,30,8
Jiří Ventruba,ODS,A,30,8
Veronika Vrecionová,ODS,A,30,8
Jan Zahradník,ODS,A,30,8
Pavel Žáček,ODS,A,30,8
Dana Balcarová,Piráti,A,30,8
Lukáš Bartoň,Piráti,A,30,8
Ivan Bartoš,Piráti,A,30,8
Lukáš Černohorský,Piráti,A,30,8
František Elfmark,Piráti,A,30,8
Mikuláš Ferjenčík,Piráti,A,30,8
Radek Holomčík,Piráti,A,30,8
Martin Jiránek,Piráti,A,30,8
Lukáš Kolářík,Piráti,A,30,8
František Kopřiva,Piráti,A,30,8
Lenka Kozlová,Piráti,A,30,8
Jan Lipavský,Piráti,A,30,8
Tomáš Martínek,Piráti,A,30,8
Jakub Michálek,Piráti,A,30,8
Mikuláš Peksa,Piráti,M,30,8
Vojtěch Pikal,Piráti,A,30,8
Ondřej Polanský,Piráti,A,30,8
Jan Pošvář,Piráti,A,30,8
Ondřej Profant,Piráti,M,30,8
Olga Richterová,Piráti,A,30,8
Petr Třešňák,Piráti,A,30,8
Tomáš Vymazal,Piráti,0,30,8
Jaroslav Dvořák,SPD,0,30,8
Radim Fiala,SPD,M,30,8
Jaroslav Holík,SPD,A,30,8
Jan Hrnčíř,SPD,0,30,8
Tereza Hyťhová,SPD,M,30,8
Monika Jarošová,SPD,M,30,8
Pavel Jelínek,SPD,A,30,8
Jiří Kobza,SPD,M,30,8
Jiří Kohoutek,SPD,A,30,8
Radek Koten,SPD,M,30,8
Jana Levová,SPD,M,30,8
Karla Maříková,SPD,A,30,8
Tomio Okamura,SPD,A,30,8
Zdeněk Podal,SPD,A,30,8
Miloslav Rozner,SPD,A,30,8
Radek Rozvoral,SPD,A,30,8
Lucie Šafránková,SPD,A,30,8
Lubomír Španěl,SPD,A,30,8
Radovan Vích,SPD,A,30,8
Jiří Běhounek,ČSSD,M,30,8
Jan Birke,ČSSD,M,30,8
Petr Dolínek,ČSSD,M,30,8
Jaroslav Foldyna,ČSSD,Z,30,8
Alena Gajdůšková,ČSSD,N,30,8
Jan Hamáček,ČSSD,M,30,8
Tomáš Hanzel,ČSSD,Z,30,8
Jan Chvojka,ČSSD,N,30,8
Roman Onderka,ČSSD,N,30,8
Roman Sklenák,ČSSD,Z,30,8
Antonín Staněk,ČSSD,M,30,8
Kateřina Valachová,ČSSD,N,30,8
Ondřej Veselý,ČSSD,N,30,8
Václav Votava,ČSSD,M,30,8
Lubomír Zaorálek,ČSSD,Z,30,8
Hana Aulická Jírovcová,KSČM,M,30,8
Alexander Černý,KSČM,A,30,8
Jiří Dolejš,KSČM,Z,30,8
Vojtěch Filip,KSČM,Z,30,8
Miroslav Grebeníček,KSČM,A,30,8
Stanislav Grospič,KSČM,A,30,8
Pavel Kováčik,KSČM,A,30,8
Leo Luzar,KSČM,M,30,8
Květa Matušovská,KSČM,A,30,8
Zdeněk Ondráček,KSČM,A,30,8
Daniel Pawlas,KSČM,A,30,8
Marie Pěnčíková,KSČM,A,30,8
Ivo Pojezný,KSČM,A,30,8
Jiří Valenta,KSČM,A,30,8
Miloslava Vostrá,KSČM,A,30,8
Jan Bartošek,KDU-ČSL,A,30,8
