Name,Party,Vote,Meeting,Proposal
Věra Adámková,ANO,A,29,441
Andrej Babiš,ANO,Z,29,441
Andrea Babišová,ANO,A,29,441
Margita Balaštíková,ANO,A,29,441
Josef Bělica,ANO,A,29,441
Stanislav Berkovec,ANO,A,29,441
Jiří Bláha,ANO,M,29,441
Richard Brabec,ANO,A,29,441
Milan Brázdil,ANO,A,29,441
Andrea Brzobohatá,ANO,A,29,441
Jaroslav Bžoch,ANO,A,29,441
Monika Červíčková,ANO,A,29,441
Klára Dostálová,ANO,A,29,441
Lenka Dražilová,ANO,A,29,441
Jaroslav Faltýnek,ANO,A,29,441
Kamal Farhan,ANO,A,29,441
Milan Feranec,ANO,Z,29,441
Eva Fialová,ANO,A,29,441
Stanislav Fridrich,ANO,A,29,441
Josef Hájek,ANO,Z,29,441
Milan Hnilička,ANO,A,29,441
Ivan Jáč,ANO,A,29,441
Miloslav Janulík,ANO,A,29,441
Aleš Juchelka,ANO,A,29,441
Pavel Juříček,ANO,A,29,441
Iva Kalátová,ANO,A,29,441
Adam Kalous,ANO,Z,29,441
David Kasal,ANO,Z,29,441
Tomáš Kohoutek,ANO,A,29,441
Martin Kolovratník,ANO,A,29,441
Barbora Kořanová,ANO,A,29,441
Josef Kott,ANO,A,29,441
Robert Králíček,ANO,A,29,441
Roman Kubíček,ANO,A,29,441
Jan Kubík,ANO,A,29,441
Jaroslav Kytýr,ANO,Z,29,441
Taťána Malá,ANO,A,29,441
Přemysl Mališ,ANO,A,29,441
Jiří Mašek,ANO,Z,29,441
Eva Matyášová,ANO,Z,29,441
Radka Maxová,ANO,A,29,441
Marcela Melková,ANO,A,29,441
Jana Mračková Vildumetzová,ANO,A,29,441
Patrik Nacher,ANO,A,29,441
Marek Novák,ANO,A,29,441
Monika Oborná,ANO,A,29,441
Ladislav Okleštěk,ANO,A,29,441
Zuzana Ožanová,ANO,A,29,441
Jana Pastuchová,ANO,A,29,441
František Petrtýl,ANO,A,29,441
Pavel Plzák,ANO,Z,29,441
Milan Pour,ANO,A,29,441
David Pražák,ANO,A,29,441
Věra Procházková,ANO,A,29,441
Pavel Pustějovský,ANO,A,29,441
Karel Rais,ANO,A,29,441
Michal Ratiborský,ANO,A,29,441
Jan Richter,ANO,A,29,441
Miloslava Rutová,ANO,A,29,441
Pavel Růžička,ANO,A,29,441
Jan Řehounek,ANO,A,29,441
Petr Sadovský,ANO,A,29,441
Jan Schiller,ANO,A,29,441
Pavel Staněk,ANO,A,29,441
Jiří Strýček,ANO,A,29,441
Karla Šlechtová,ANO,M,29,441
Julius Špičák,ANO,A,29,441
David Štolpa,ANO,A,29,441
Karel Tureček,ANO,A,29,441
Helena Válková,ANO,A,29,441
Petr Venhoda,ANO,A,29,441
Adam Vojtěch,ANO,A,29,441
Jan Volný,ANO,A,29,441
Radek Vondráček,ANO,A,29,441
Ivo Vondrák,ANO,A,29,441
Petr Vrána,ANO,A,29,441
Rostislav Vyzula,ANO,A,29,441
Radek Zlesák,ANO,A,29,441
Ivan Adamec,ODS,A,29,441
Jan Bauer,ODS,A,29,441
Martin Baxa,ODS,A,29,441
Petr Beitl,ODS,A,29,441
Marek Benda,ODS,A,29,441
Stanislav Blaha,ODS,A,29,441
Pavel Blažek,ODS,A,29,441
Jana Černochová,ODS,A,29,441
Petr Fiala,ODS,A,29,441
Jakub Janda,ODS,A,29,441
Karel Krejza,ODS,A,29,441
Martin Kupka,ODS,A,29,441
Jaroslav Martinů,ODS,A,29,441
Ilona Mauritzová,ODS,A,29,441
Vojtěch Munzar,ODS,A,29,441
Miroslava Němcová,ODS,A,29,441
Jan Skopeček,ODS,A,29,441
Zbyněk Stanjura,ODS,A,29,441
Bohuslav Svoboda,ODS,A,29,441
Jiří Ventruba,ODS,A,29,441
Veronika Vrecionová,ODS,A,29,441
Jan Zahradník,ODS,M,29,441
Pavel Žáček,ODS,A,29,441
Dana Balcarová,Piráti,A,29,441
Lukáš Bartoň,Piráti,A,29,441
Ivan Bartoš,Piráti,A,29,441
Lukáš Černohorský,Piráti,A,29,441
František Elfmark,Piráti,A,29,441
Mikuláš Ferjenčík,Piráti,A,29,441
Radek Holomčík,Piráti,A,29,441
Martin Jiránek,Piráti,A,29,441
Lukáš Kolářík,Piráti,A,29,441
František Kopřiva,Piráti,A,29,441
Lenka Kozlová,Piráti,A,29,441
Jan Lipavský,Piráti,A,29,441
Tomáš Martínek,Piráti,A,29,441
Jakub Michálek,Piráti,A,29,441
Mikuláš Peksa,Piráti,M,29,441
Vojtěch Pikal,Piráti,A,29,441
Ondřej Polanský,Piráti,A,29,441
Jan Pošvář,Piráti,A,29,441
Ondřej Profant,Piráti,A,29,441
Olga Richterová,Piráti,M,29,441
Petr Třešňák,Piráti,A,29,441
Tomáš Vymazal,Piráti,A,29,441
Jaroslav Dvořák,SPD,A,29,441
Radim Fiala,SPD,A,29,441
Jaroslav Holík,SPD,A,29,441
Jan Hrnčíř,SPD,A,29,441
Tereza Hyťhová,SPD,A,29,441
Monika Jarošová,SPD,A,29,441
Pavel Jelínek,SPD,A,29,441
Jiří Kobza,SPD,A,29,441
Jiří Kohoutek,SPD,A,29,441
Radek Koten,SPD,A,29,441
Jana Levová,SPD,M,29,441
Karla Maříková,SPD,A,29,441
Tomio Okamura,SPD,A,29,441
Zdeněk Podal,SPD,A,29,441
Miloslav Rozner,SPD,A,29,441
Radek Rozvoral,SPD,A,29,441
Lucie Šafránková,SPD,A,29,441
Lubomír Španěl,SPD,A,29,441
Radovan Vích,SPD,A,29,441
Jiří Běhounek,ČSSD,A,29,441
Jan Birke,ČSSD,A,29,441
Petr Dolínek,ČSSD,A,29,441
Jaroslav Foldyna,ČSSD,A,29,441
Alena Gajdůšková,ČSSD,Z,29,441
Jan Hamáček,ČSSD,A,29,441
Tomáš Hanzel,ČSSD,M,29,441
Jan Chvojka,ČSSD,Z,29,441
Roman Onderka,ČSSD,0,29,441
Roman Sklenák,ČSSD,A,29,441
Antonín Staněk,ČSSD,A,29,441
Kateřina Valachová,ČSSD,A,29,441
Ondřej Veselý,ČSSD,A,29,441
Václav Votava,ČSSD,A,29,441
Lubomír Zaorálek,ČSSD,A,29,441
Hana Aulická Jírovcová,KSČM,Z,29,441
Alexander Černý,KSČM,Z,29,441
