Name,Party,Vote,Meeting,Proposal
Věra Adámková,ANO,N,29,140
Andrej Babiš,ANO,M,29,140
Andrea Babišová,ANO,N,29,140
Margita Balaštíková,ANO,N,29,140
Josef Bělica,ANO,N,29,140
Stanislav Berkovec,ANO,N,29,140
Jiří Bláha,ANO,N,29,140
Richard Brabec,ANO,N,29,140
Milan Brázdil,ANO,N,29,140
Andrea Brzobohatá,ANO,N,29,140
Jaroslav Bžoch,ANO,N,29,140
Monika Červíčková,ANO,N,29,140
Klára Dostálová,ANO,M,29,140
Lenka Dražilová,ANO,N,29,140
Jaroslav Faltýnek,ANO,N,29,140
Kamal Farhan,ANO,N,29,140
Milan Feranec,ANO,N,29,140
Eva Fialová,ANO,N,29,140
Stanislav Fridrich,ANO,N,29,140
Josef Hájek,ANO,N,29,140
Milan Hnilička,ANO,N,29,140
Ivan Jáč,ANO,N,29,140
Miloslav Janulík,ANO,N,29,140
Aleš Juchelka,ANO,N,29,140
Pavel Juříček,ANO,M,29,140
Iva Kalátová,ANO,N,29,140
Adam Kalous,ANO,N,29,140
David Kasal,ANO,N,29,140
Tomáš Kohoutek,ANO,N,29,140
Martin Kolovratník,ANO,N,29,140
Barbora Kořanová,ANO,N,29,140
Josef Kott,ANO,N,29,140
Robert Králíček,ANO,N,29,140
Roman Kubíček,ANO,N,29,140
Jan Kubík,ANO,N,29,140
Jaroslav Kytýr,ANO,N,29,140
Taťána Malá,ANO,N,29,140
Přemysl Mališ,ANO,N,29,140
Jiří Mašek,ANO,N,29,140
Eva Matyášová,ANO,N,29,140
Radka Maxová,ANO,N,29,140
Marcela Melková,ANO,N,29,140
Jana Mračková Vildumetzová,ANO,N,29,140
Patrik Nacher,ANO,N,29,140
Marek Novák,ANO,N,29,140
Monika Oborná,ANO,N,29,140
Ladislav Okleštěk,ANO,N,29,140
Zuzana Ožanová,ANO,M,29,140
Jana Pastuchová,ANO,N,29,140
František Petrtýl,ANO,N,29,140
Pavel Plzák,ANO,N,29,140
Milan Pour,ANO,N,29,140
David Pražák,ANO,N,29,140
Věra Procházková,ANO,N,29,140
Pavel Pustějovský,ANO,M,29,140
Karel Rais,ANO,N,29,140
Michal Ratiborský,ANO,N,29,140
Jan Richter,ANO,N,29,140
Miloslava Rutová,ANO,N,29,140
Pavel Růžička,ANO,N,29,140
Jan Řehounek,ANO,N,29,140
Petr Sadovský,ANO,N,29,140
Jan Schiller,ANO,N,29,140
Pavel Staněk,ANO,Z,29,140
Jiří Strýček,ANO,N,29,140
Karla Šlechtová,ANO,N,29,140
Julius Špičák,ANO,N,29,140
David Štolpa,ANO,N,29,140
Karel Tureček,ANO,N,29,140
Helena Válková,ANO,N,29,140
Petr Venhoda,ANO,N,29,140
Adam Vojtěch,ANO,N,29,140
Jan Volný,ANO,Z,29,140
Radek Vondráček,ANO,M,29,140
Ivo Vondrák,ANO,N,29,140
Petr Vrána,ANO,N,29,140
Rostislav Vyzula,ANO,N,29,140
Radek Zlesák,ANO,N,29,140
Ivan Adamec,ODS,A,29,140
Jan Bauer,ODS,M,29,140
Martin Baxa,ODS,A,29,140
Petr Beitl,ODS,A,29,140
Marek Benda,ODS,A,29,140
Stanislav Blaha,ODS,A,29,140
Pavel Blažek,ODS,A,29,140
Jana Černochová,ODS,A,29,140
Petr Fiala,ODS,A,29,140
Jakub Janda,ODS,A,29,140
Karel Krejza,ODS,A,29,140
Martin Kupka,ODS,A,29,140
Jaroslav Martinů,ODS,A,29,140
Ilona Mauritzová,ODS,A,29,140
Vojtěch Munzar,ODS,A,29,140
Miroslava Němcová,ODS,A,29,140
Jan Skopeček,ODS,A,29,140
Zbyněk Stanjura,ODS,A,29,140
Bohuslav Svoboda,ODS,A,29,140
Jiří Ventruba,ODS,A,29,140
Veronika Vrecionová,ODS,A,29,140
Jan Zahradník,ODS,A,29,140
Pavel Žáček,ODS,A,29,140
Dana Balcarová,Piráti,A,29,140
Lukáš Bartoň,Piráti,A,29,140
Ivan Bartoš,Piráti,A,29,140
Lukáš Černohorský,Piráti,A,29,140
František Elfmark,Piráti,A,29,140
Mikuláš Ferjenčík,Piráti,A,29,140
Radek Holomčík,Piráti,A,29,140
Martin Jiránek,Piráti,A,29,140
Lukáš Kolářík,Piráti,A,29,140
František Kopřiva,Piráti,A,29,140
Lenka Kozlová,Piráti,A,29,140
Jan Lipavský,Piráti,A,29,140
Tomáš Martínek,Piráti,A,29,140
Jakub Michálek,Piráti,A,29,140
Mikuláš Peksa,Piráti,M,29,140
Vojtěch Pikal,Piráti,A,29,140
Ondřej Polanský,Piráti,A,29,140
Jan Pošvář,Piráti,A,29,140
Ondřej Profant,Piráti,A,29,140
Olga Richterová,Piráti,A,29,140
Petr Třešňák,Piráti,A,29,140
Tomáš Vymazal,Piráti,A,29,140
Jaroslav Dvořák,SPD,A,29,140
Radim Fiala,SPD,M,29,140
Jaroslav Holík,SPD,A,29,140
Jan Hrnčíř,SPD,A,29,140
Tereza Hyťhová,SPD,A,29,140
Monika Jarošová,SPD,A,29,140
Pavel Jelínek,SPD,A,29,140
Jiří Kobza,SPD,M,29,140
Jiří Kohoutek,SPD,A,29,140
Radek Koten,SPD,M,29,140
Jana Levová,SPD,A,29,140
Karla Maříková,SPD,A,29,140
Tomio Okamura,SPD,M,29,140
Zdeněk Podal,SPD,A,29,140
Miloslav Rozner,SPD,A,29,140
Radek Rozvoral,SPD,A,29,140
Lucie Šafránková,SPD,A,29,140
Lubomír Španěl,SPD,A,29,140
Radovan Vích,SPD,A,29,140
Jiří Běhounek,ČSSD,Z,29,140
Jan Birke,ČSSD,N,29,140
Petr Dolínek,ČSSD,Z,29,140
Jaroslav Foldyna,ČSSD,N,29,140
Alena Gajdůšková,ČSSD,N,29,140
Jan Hamáček,ČSSD,Z,29,140
Tomáš Hanzel,ČSSD,N,29,140
Jan Chvojka,ČSSD,N,29,140
Roman Onderka,ČSSD,N,29,140
Roman Sklenák,ČSSD,N,29,140
Antonín Staněk,ČSSD,N,29,140
Kateřina Valachová,ČSSD,N,29,140
Ondřej Veselý,ČSSD,Z,29,140
Václav Votava,ČSSD,Z,29,140
Lubomír Zaorálek,ČSSD,N,29,140
Hana Aulická Jírovcová,KSČM,N,29,140
Alexander Černý,KSČM,N,29,140
Jiří Dolejš,KSČM,Z,29,140
Vojtěch Filip,KSČM,N,29,140
Miroslav Grebeníček,KSČM,N,29,140
Stanislav Grospič,KSČM,Z,29,140
Pavel Kováčik,KSČM,N,29,140
Leo Luzar,KSČM,M,29,140
Květa Matušovská,KSČM,Z,29,140
Zdeněk Ondráček,KSČM,N,29,140
Daniel Pawlas,KSČM,N,29,140
Marie Pěnčíková,KSČM,N,29,140
Ivo Pojezný,KSČM,N,29,140
Jiří Valenta,KSČM,Z,29,140
Miloslava Vostrá,KSČM,N,29,140
Jan Bartošek,KDU-ČSL,A,29,140
Pavel Bělobrádek,KDU-ČSL,A,29,140
Ondřej Benešík,KDU-ČSL,A,29,140
Jan Čižinský,KDU-ČSL,A,29,140
Pavla Golasowská,KDU-ČSL,A,29,140
Stanislav Juránek,KDU-ČSL,A,29,140
Marian Jurečka,KDU-ČSL,A,29,140
Vít Kaňkovský,KDU-ČSL,A,29,140
Jiří Mihola,KDU-ČSL,A,29,140
Marek Výborný,KDU-ČSL,M,29,140
Dominik Feri,TOP09,A,29,140
Miroslav Kalousek,TOP09,Z,29,140
Helena Langšádlová,TOP09,A,29,140
Markéta Pekarová Adamová,TOP09,A,29,140
Karel Schwarzenberg,TOP09,A,29,140
František Vácha,TOP09,A,29,140
Vlastimil Válek,TOP09,A,29,140
Jan Farský,STAN,A,29,140
Petr Gazdík,STAN,A,29,140
Věra Kovářová,STAN,A,29,140
Jana Krutáková,STAN,A,29,140
Petr Pávek,STAN,M,29,140
Vít Rakušan,STAN,A,29,140
Marian Bojko,Nezařaz,M,29,140
Václav Klaus,Nezařaz,Z,29,140
Zuzana Majerová Zahradníková,Nezařaz,A,29,140
Ivana Nevludová,Nezařaz,A,29,140
Lubomír Volný,Nezařaz,A,29,140
