Name,Party,Vote,Meeting,Proposal
Věra Adámková,ANO,N,29,171
Andrej Babiš,ANO,M,29,171
Andrea Babišová,ANO,N,29,171
Margita Balaštíková,ANO,N,29,171
Josef Bělica,ANO,N,29,171
Stanislav Berkovec,ANO,N,29,171
Jiří Bláha,ANO,N,29,171
Richard Brabec,ANO,N,29,171
Milan Brázdil,ANO,N,29,171
Andrea Brzobohatá,ANO,N,29,171
Jaroslav Bžoch,ANO,N,29,171
Monika Červíčková,ANO,N,29,171
Klára Dostálová,ANO,M,29,171
Lenka Dražilová,ANO,N,29,171
Jaroslav Faltýnek,ANO,N,29,171
Kamal Farhan,ANO,N,29,171
Milan Feranec,ANO,N,29,171
Eva Fialová,ANO,N,29,171
Stanislav Fridrich,ANO,N,29,171
Josef Hájek,ANO,N,29,171
Milan Hnilička,ANO,N,29,171
Ivan Jáč,ANO,N,29,171
Miloslav Janulík,ANO,Z,29,171
Aleš Juchelka,ANO,N,29,171
Pavel Juříček,ANO,M,29,171
Iva Kalátová,ANO,N,29,171
Adam Kalous,ANO,N,29,171
David Kasal,ANO,N,29,171
Tomáš Kohoutek,ANO,N,29,171
Martin Kolovratník,ANO,N,29,171
Barbora Kořanová,ANO,N,29,171
Josef Kott,ANO,Z,29,171
Robert Králíček,ANO,N,29,171
Roman Kubíček,ANO,N,29,171
Jan Kubík,ANO,N,29,171
Jaroslav Kytýr,ANO,N,29,171
Taťána Malá,ANO,N,29,171
Přemysl Mališ,ANO,N,29,171
Jiří Mašek,ANO,N,29,171
Eva Matyášová,ANO,N,29,171
Radka Maxová,ANO,N,29,171
Marcela Melková,ANO,N,29,171
Jana Mračková Vildumetzová,ANO,N,29,171
Patrik Nacher,ANO,N,29,171
Marek Novák,ANO,N,29,171
Monika Oborná,ANO,N,29,171
Ladislav Okleštěk,ANO,N,29,171
Zuzana Ožanová,ANO,M,29,171
Jana Pastuchová,ANO,N,29,171
František Petrtýl,ANO,N,29,171
Pavel Plzák,ANO,N,29,171
Milan Pour,ANO,N,29,171
David Pražák,ANO,N,29,171
Věra Procházková,ANO,N,29,171
Pavel Pustějovský,ANO,M,29,171
Karel Rais,ANO,N,29,171
Michal Ratiborský,ANO,N,29,171
Jan Richter,ANO,N,29,171
Miloslava Rutová,ANO,N,29,171
Pavel Růžička,ANO,N,29,171
Jan Řehounek,ANO,N,29,171
Petr Sadovský,ANO,N,29,171
Jan Schiller,ANO,N,29,171
Pavel Staněk,ANO,N,29,171
Jiří Strýček,ANO,N,29,171
Karla Šlechtová,ANO,N,29,171
Julius Špičák,ANO,N,29,171
David Štolpa,ANO,N,29,171
Karel Tureček,ANO,N,29,171
Helena Válková,ANO,N,29,171
Petr Venhoda,ANO,Z,29,171
Adam Vojtěch,ANO,N,29,171
Jan Volný,ANO,N,29,171
Radek Vondráček,ANO,M,29,171
Ivo Vondrák,ANO,N,29,171
Petr Vrána,ANO,N,29,171
Rostislav Vyzula,ANO,N,29,171
Radek Zlesák,ANO,N,29,171
Ivan Adamec,ODS,A,29,171
Jan Bauer,ODS,M,29,171
Martin Baxa,ODS,A,29,171
Petr Beitl,ODS,A,29,171
Marek Benda,ODS,A,29,171
Stanislav Blaha,ODS,A,29,171
Pavel Blažek,ODS,A,29,171
Jana Černochová,ODS,A,29,171
Petr Fiala,ODS,A,29,171
Jakub Janda,ODS,A,29,171
Karel Krejza,ODS,A,29,171
Martin Kupka,ODS,A,29,171
Jaroslav Martinů,ODS,A,29,171
Ilona Mauritzová,ODS,A,29,171
Vojtěch Munzar,ODS,A,29,171
Miroslava Němcová,ODS,A,29,171
Jan Skopeček,ODS,A,29,171
Zbyněk Stanjura,ODS,A,29,171
Bohuslav Svoboda,ODS,A,29,171
Jiří Ventruba,ODS,A,29,171
Veronika Vrecionová,ODS,A,29,171
Jan Zahradník,ODS,A,29,171
Pavel Žáček,ODS,A,29,171
Dana Balcarová,Piráti,A,29,171
Lukáš Bartoň,Piráti,A,29,171
Ivan Bartoš,Piráti,A,29,171
Lukáš Černohorský,Piráti,A,29,171
František Elfmark,Piráti,A,29,171
Mikuláš Ferjenčík,Piráti,A,29,171
Radek Holomčík,Piráti,A,29,171
Martin Jiránek,Piráti,A,29,171
Lukáš Kolářík,Piráti,A,29,171
František Kopřiva,Piráti,A,29,171
Lenka Kozlová,Piráti,A,29,171
Jan Lipavský,Piráti,A,29,171
Tomáš Martínek,Piráti,A,29,171
Jakub Michálek,Piráti,A,29,171
Mikuláš Peksa,Piráti,M,29,171
Vojtěch Pikal,Piráti,Z,29,171
Ondřej Polanský,Piráti,A,29,171
Jan Pošvář,Piráti,A,29,171
Ondřej Profant,Piráti,A,29,171
Olga Richterová,Piráti,A,29,171
Petr Třešňák,Piráti,A,29,171
Tomáš Vymazal,Piráti,A,29,171
Jaroslav Dvořák,SPD,A,29,171
Radim Fiala,SPD,M,29,171
Jaroslav Holík,SPD,A,29,171
Jan Hrnčíř,SPD,Z,29,171
Tereza Hyťhová,SPD,A,29,171
Monika Jarošová,SPD,A,29,171
Pavel Jelínek,SPD,A,29,171
Jiří Kobza,SPD,M,29,171
Jiří Kohoutek,SPD,A,29,171
Radek Koten,SPD,M,29,171
Jana Levová,SPD,A,29,171
Karla Maříková,SPD,A,29,171
Tomio Okamura,SPD,M,29,171
Zdeněk Podal,SPD,A,29,171
Miloslav Rozner,SPD,A,29,171
Radek Rozvoral,SPD,A,29,171
Lucie Šafránková,SPD,A,29,171
Lubomír Španěl,SPD,A,29,171
Radovan Vích,SPD,A,29,171
Jiří Běhounek,ČSSD,Z,29,171
Jan Birke,ČSSD,N,29,171
Petr Dolínek,ČSSD,Z,29,171
Jaroslav Foldyna,ČSSD,N,29,171
Alena Gajdůšková,ČSSD,N,29,171
Jan Hamáček,ČSSD,Z,29,171
Tomáš Hanzel,ČSSD,Z,29,171
Jan Chvojka,ČSSD,N,29,171
Roman Onderka,ČSSD,N,29,171
Roman Sklenák,ČSSD,Z,29,171
Antonín Staněk,ČSSD,N,29,171
Kateřina Valachová,ČSSD,N,29,171
Ondřej Veselý,ČSSD,Z,29,171
Václav Votava,ČSSD,N,29,171
Lubomír Zaorálek,ČSSD,Z,29,171
Hana Aulická Jírovcová,KSČM,N,29,171
Alexander Černý,KSČM,N,29,171
Jiří Dolejš,KSČM,Z,29,171
Vojtěch Filip,KSČM,N,29,171
Miroslav Grebeníček,KSČM,N,29,171
Stanislav Grospič,KSČM,Z,29,171
Pavel Kováčik,KSČM,Z,29,171
Leo Luzar,KSČM,M,29,171
Květa Matušovská,KSČM,N,29,171
Zdeněk Ondráček,KSČM,Z,29,171
Daniel Pawlas,KSČM,N,29,171
Marie Pěnčíková,KSČM,N,29,171
Ivo Pojezný,KSČM,Z,29,171
Jiří Valenta,KSČM,Z,29,171
Miloslava Vostrá,KSČM,N,29,171
Jan Bartošek,KDU-ČSL,A,29,171
Pavel Bělobrádek,KDU-ČSL,A,29,171
Ondřej Benešík,KDU-ČSL,A,29,171
Jan Čižinský,KDU-ČSL,A,29,171
Pavla Golasowská,KDU-ČSL,A,29,171
Stanislav Juránek,KDU-ČSL,A,29,171
Marian Jurečka,KDU-ČSL,A,29,171
Vít Kaňkovský,KDU-ČSL,A,29,171
Jiří Mihola,KDU-ČSL,A,29,171
Marek Výborný,KDU-ČSL,A,29,171
Dominik Feri,TOP09,A,29,171
Miroslav Kalousek,TOP09,Z,29,171
Helena Langšádlová,TOP09,A,29,171
Markéta Pekarová Adamová,TOP09,A,29,171
