Name,Party,Vote,Meeting,Proposal
Věra Adámková,ANO,N,33,353
Andrej Babiš,ANO,M,33,353
Andrea Babišová,ANO,M,33,353
Ondřej Babka,ANO,N,33,353
Margita Balaštíková,ANO,M,33,353
Josef Bělica,ANO,N,33,353
Stanislav Berkovec,ANO,N,33,353
Jiří Bláha,ANO,M,33,353
Richard Brabec,ANO,N,33,353
Milan Brázdil,ANO,N,33,353
Andrea Brzobohatá,ANO,N,33,353
Jaroslav Bžoch,ANO,N,33,353
Monika Červíčková,ANO,Z,33,353
Klára Dostálová,ANO,N,33,353
Lenka Dražilová,ANO,N,33,353
Jaroslav Faltýnek,ANO,N,33,353
Kamal Farhan,ANO,N,33,353
Milan Feranec,ANO,N,33,353
Eva Fialová,ANO,N,33,353
Stanislav Fridrich,ANO,N,33,353
Josef Hájek,ANO,N,33,353
Milan Hnilička,ANO,N,33,353
Ivan Jáč,ANO,N,33,353
Miloslav Janulík,ANO,N,33,353
Aleš Juchelka,ANO,N,33,353
Pavel Juříček,ANO,N,33,353
Iva Kalátová,ANO,N,33,353
Adam Kalous,ANO,N,33,353
David Kasal,ANO,Z,33,353
Tomáš Kohoutek,ANO,N,33,353
Martin Kolovratník,ANO,N,33,353
Barbora Kořanová,ANO,N,33,353
Josef Kott,ANO,N,33,353
Robert Králíček,ANO,N,33,353
Roman Kubíček,ANO,N,33,353
Jan Kubík,ANO,N,33,353
Jaroslav Kytýr,ANO,N,33,353
Taťána Malá,ANO,N,33,353
Přemysl Mališ,ANO,N,33,353
Jiří Mašek,ANO,N,33,353
Eva Matyášová,ANO,N,33,353
Marcela Melková,ANO,N,33,353
Jana Mračková Vildumetzová,ANO,N,33,353
Patrik Nacher,ANO,N,33,353
Marek Novák,ANO,N,33,353
Monika Oborná,ANO,N,33,353
Ladislav Okleštěk,ANO,M,33,353
Zuzana Ožanová,ANO,N,33,353
Jana Pastuchová,ANO,N,33,353
František Petrtýl,ANO,N,33,353
Pavel Plzák,ANO,N,33,353
Milan Pour,ANO,N,33,353
David Pražák,ANO,N,33,353
Věra Procházková,ANO,N,33,353
Pavel Pustějovský,ANO,N,33,353
Karel Rais,ANO,N,33,353
Michal Ratiborský,ANO,N,33,353
Jan Richter,ANO,N,33,353
Miloslava Rutová,ANO,N,33,353
Pavel Růžička,ANO,N,33,353
Jan Řehounek,ANO,N,33,353
Petr Sadovský,ANO,N,33,353
Jan Schiller,ANO,M,33,353
Pavel Staněk,ANO,Z,33,353
Jiří Strýček,ANO,N,33,353
Karla Šlechtová,ANO,N,33,353
Julius Špičák,ANO,N,33,353
David Štolpa,ANO,N,33,353
Karel Tureček,ANO,N,33,353
Helena Válková,ANO,N,33,353
Petr Venhoda,ANO,M,33,353
Adam Vojtěch,ANO,N,33,353
Jan Volný,ANO,M,33,353
Radek Vondráček,ANO,N,33,353
Ivo Vondrák,ANO,N,33,353
Petr Vrána,ANO,N,33,353
Rostislav Vyzula,ANO,M,33,353
Radek Zlesák,ANO,N,33,353
Ivan Adamec,ODS,M,33,353
Jan Bauer,ODS,A,33,353
Martin Baxa,ODS,A,33,353
Petr Beitl,ODS,A,33,353
Marek Benda,ODS,Z,33,353
Petr Bendl,ODS,M,33,353
Stanislav Blaha,ODS,0,33,353
Pavel Blažek,ODS,A,33,353
Jana Černochová,ODS,M,33,353
Petr Fiala,ODS,A,33,353
Jakub Janda,ODS,A,33,353
Karel Krejza,ODS,A,33,353
Martin Kupka,ODS,A,33,353
Jaroslav Martinů,ODS,A,33,353
Ilona Mauritzová,ODS,A,33,353
Vojtěch Munzar,ODS,A,33,353
Miroslava Němcová,ODS,A,33,353
Jan Skopeček,ODS,A,33,353
Zbyněk Stanjura,ODS,A,33,353
Bohuslav Svoboda,ODS,M,33,353
Jiří Ventruba,ODS,M,33,353
Jan Zahradník,ODS,A,33,353
Pavel Žáček,ODS,A,33,353
Dana Balcarová,Piráti,N,33,353
Lukáš Bartoň,Piráti,N,33,353
Ivan Bartoš,Piráti,N,33,353
Lukáš Černohorský,Piráti,N,33,353
František Elfmark,Piráti,N,33,353
Mikuláš Ferjenčík,Piráti,A,33,353
Radek Holomčík,Piráti,Z,33,353
