Name,Party,Vote,Mtg n.,Proposal n.
Věra Adámková,ANO,M,22,85
Andrej Babiš,ANO,M,22,85
Andrea Babišová,ANO,A,22,85
Margita Balaštíková,ANO,M,22,85
Josef Bělica,ANO,A,22,85
Stanislav Berkovec,ANO,A,22,85
Jiří Bláha,ANO,M,22,85
Richard Brabec,ANO,A,22,85
Milan Brázdil,ANO,A,22,85
Andrea Brzobohatá,ANO,A,22,85
Jaroslav Bžoch,ANO,A,22,85
Monika Červíčková,ANO,A,22,85
Klára Dostálová,ANO,M,22,85
Lenka Dražilová,ANO,A,22,85
Jaroslav Faltýnek,ANO,M,22,85
Kamal Farhan,ANO,A,22,85
Milan Feranec,ANO,A,22,85
Eva Fialová,ANO,M,22,85
Stanislav Fridrich,ANO,A,22,85
Josef Hájek,ANO,A,22,85
Milan Hnilička,ANO,A,22,85
Ivan Jáč,ANO,A,22,85
Miloslav Janulík,ANO,M,22,85
Aleš Juchelka,ANO,A,22,85
Pavel Juříček,ANO,M,22,85
Adam Kalous,ANO,M,22,85
David Kasal,ANO,A,22,85
Tomáš Kohoutek,ANO,A,22,85
Martin Kolovratník,ANO,Z,22,85
Barbora Kořanová,ANO,A,22,85
Josef Kott,ANO,A,22,85
Robert Králíček,ANO,A,22,85
Roman Kubíček,ANO,A,22,85
Jan Kubík,ANO,A,22,85
Jaroslav Kytýr,ANO,A,22,85
Taťána Malá,ANO,A,22,85
Přemysl Mališ,ANO,A,22,85
Jiří Mašek,ANO,M,22,85
Eva Matyášová,ANO,0,22,85
Radka Maxová,ANO,N,22,85
Marcela Melková,ANO,A,22,85
Jana Mračková Vildumetzová,ANO,M,22,85
Patrik Nacher,ANO,Z,22,85
Marek Novák,ANO,A,22,85
Monika Oborná,ANO,M,22,85
Ladislav Okleštěk,ANO,Z,22,85
Zuzana Ožanová,ANO,A,22,85
Jana Pastuchová,ANO,A,22,85
František Petrtýl,ANO,A,22,85
Pavel Plzák,ANO,A,22,85
Milan Pour,ANO,A,22,85
David Pražák,ANO,A,22,85
Věra Procházková,ANO,A,22,85
Pavel Pustějovský,ANO,A,22,85
Karel Rais,ANO,A,22,85
Michal Ratiborský,ANO,M,22,85
Jan Richter,ANO,M,22,85
Miloslava Rutová,ANO,A,22,85
Pavel Růžička,ANO,A,22,85
Jan Řehounek,ANO,A,22,85
Petr Sadovský,ANO,A,22,85
Jan Schiller,ANO,A,22,85
Pavel Staněk,ANO,M,22,85
Jiří Strýček,ANO,A,22,85
Karla Šlechtová,ANO,A,22,85
Julius Špičák,ANO,M,22,85
David Štolpa,ANO,A,22,85
Dan Ťok,ANO,M,22,85
Karel Tureček,ANO,M,22,85
Helena Válková,ANO,M,22,85
Petr Venhoda,ANO,A,22,85
Adam Vojtěch,ANO,M,22,85
Jan Volný,ANO,A,22,85
Radek Vondráček,ANO,M,22,85
Ivo Vondrák,ANO,A,22,85
Petr Vrána,ANO,M,22,85
Rostislav Vyzula,ANO,M,22,85
Radek Zlesák,ANO,A,22,85
Ivan Adamec,ODS,M,22,85
Jan Bauer,ODS,A,22,85
Martin Baxa,ODS,A,22,85
Petr Beitl,ODS,A,22,85
Marek Benda,ODS,A,22,85
Stanislav Blaha,ODS,A,22,85
Pavel Blažek,ODS,0,22,85
Jana Černochová,ODS,M,22,85
Petr Fiala,ODS,A,22,85
Jakub Janda,ODS,A,22,85
Václav Klaus,ODS,A,22,85
Karel Krejza,ODS,A,22,85
Martin Kupka,ODS,0,22,85
Zuzana Majerová Zahradníková,ODS,A,22,85
Jaroslav Martinů,ODS,A,22,85
Ilona Mauritzová,ODS,M,22,85
Vojtěch Munzar,ODS,A,22,85
Miroslava Němcová,ODS,M,22,85
Jan Skopeček,ODS,A,22,85
Zbyněk Stanjura,ODS,A,22,85
Bohuslav Svoboda,ODS,M,22,85
Jiří Ventruba,ODS,A,22,85
Veronika Vrecionová,ODS,M,22,85
Jan Zahradník,ODS,A,22,85
Pavel Žáček,ODS,A,22,85
Dana Balcarová,Piráti,A,22,85
Lukáš Bartoň,Piráti,A,22,85
Ivan Bartoš,Piráti,A,22,85
Lukáš Černohorský,Piráti,A,22,85
František Elfmark,Piráti,A,22,85
Mikuláš Ferjenčík,Piráti,A,22,85
Radek Holomčík,Piráti,A,22,85
Martin Jiránek,Piráti,A,22,85
Lukáš Kolářík,Piráti,M,22,85
František Kopřiva,Piráti,A,22,85
Lenka Kozlová,Piráti,A,22,85
Jan Lipavský,Piráti,M,22,85
Tomáš Martínek,Piráti,A,22,85
Jakub Michálek,Piráti,A,22,85
Mikuláš Peksa,Piráti,A,22,85
Vojtěch Pikal,Piráti,A,22,85
Ondřej Polanský,Piráti,A,22,85
Jan Pošvář,Piráti,M,22,85
Ondřej Profant,Piráti,A,22,85
Olga Richterová,Piráti,M,22,85
Petr Třešňák,Piráti,A,22,85
Tomáš Vymazal,Piráti,A,22,85
Marian Bojko,SPD,A,22,85
Jaroslav Dvořák,SPD,M,22,85
Radim Fiala,SPD,Z,22,85
Jaroslav Holík,SPD,A,22,85
Jan Hrnčíř,SPD,A,22,85
Tereza Hyťhová,SPD,M,22,85
Monika Jarošová,SPD,M,22,85
Pavel Jelínek,SPD,M,22,85
Jiří Kobza,SPD,A,22,85
Jiří Kohoutek,SPD,A,22,85
Radek Koten,SPD,A,22,85
