Name,Party,Vote,Meeting,Proposal
Věra Adámková,ANO,A,37,326
Andrej Babiš,ANO,A,37,326
Andrea Babišová,ANO,A,37,326
Ondřej Babka,ANO,A,37,326
Margita Balaštíková,ANO,A,37,326
Josef Bělica,ANO,A,37,326
Stanislav Berkovec,ANO,A,37,326
Jiří Bláha,ANO,A,37,326
Richard Brabec,ANO,A,37,326
Milan Brázdil,ANO,A,37,326
Andrea Brzobohatá,ANO,A,37,326
Jaroslav Bžoch,ANO,A,37,326
Monika Červíčková,ANO,A,37,326
Klára Dostálová,ANO,A,37,326
Lenka Dražilová,ANO,A,37,326
Jaroslav Faltýnek,ANO,A,37,326
Kamal Farhan,ANO,A,37,326
Milan Feranec,ANO,Z,37,326
Eva Fialová,ANO,A,37,326
Stanislav Fridrich,ANO,A,37,326
Josef Hájek,ANO,A,37,326
Milan Hnilička,ANO,A,37,326
Ivan Jáč,ANO,A,37,326
Miloslav Janulík,ANO,A,37,326
Aleš Juchelka,ANO,A,37,326
Pavel Juříček,ANO,Z,37,326
Iva Kalátová,ANO,A,37,326
Adam Kalous,ANO,Z,37,326
David Kasal,ANO,A,37,326
Tomáš Kohoutek,ANO,A,37,326
Martin Kolovratník,ANO,A,37,326
Barbora Kořanová,ANO,A,37,326
Josef Kott,ANO,Z,37,326
Robert Králíček,ANO,A,37,326
Roman Kubíček,ANO,A,37,326
Jan Kubík,ANO,A,37,326
Jaroslav Kytýr,ANO,A,37,326
Taťána Malá,ANO,A,37,326
Přemysl Mališ,ANO,A,37,326
Jiří Mašek,ANO,A,37,326
Eva Matyášová,ANO,Z,37,326
Marcela Melková,ANO,A,37,326
Jana Mračková Vildumetzová,ANO,A,37,326
Patrik Nacher,ANO,Z,37,326
Marek Novák,ANO,A,37,326
Monika Oborná,ANO,A,37,326
Ladislav Okleštěk,ANO,A,37,326
Zuzana Ožanová,ANO,A,37,326
Jana Pastuchová,ANO,A,37,326
František Petrtýl,ANO,A,37,326
Pavel Plzák,ANO,Z,37,326
Milan Pour,ANO,A,37,326
David Pražák,ANO,A,37,326
Věra Procházková,ANO,A,37,326
Pavel Pustějovský,ANO,A,37,326
Karel Rais,ANO,A,37,326
Michal Ratiborský,ANO,A,37,326
Jan Richter,ANO,A,37,326
Miloslava Rutová,ANO,A,37,326
Pavel Růžička,ANO,Z,37,326
Jan Řehounek,ANO,A,37,326
Petr Sadovský,ANO,A,37,326
Jan Schiller,ANO,A,37,326
Pavel Staněk,ANO,Z,37,326
Jiří Strýček,ANO,A,37,326
Karla Šlechtová,ANO,A,37,326
Julius Špičák,ANO,A,37,326
David Štolpa,ANO,A,37,326
Karel Tureček,ANO,A,37,326
Helena Válková,ANO,A,37,326
Petr Venhoda,ANO,A,37,326
Adam Vojtěch,ANO,A,37,326
Jan Volný,ANO,A,37,326
Radek Vondráček,ANO,Z,37,326
Ivo Vondrák,ANO,A,37,326
Petr Vrána,ANO,A,37,326
Rostislav Vyzula,ANO,A,37,326
Radek Zlesák,ANO,A,37,326
Ivan Adamec,ODS,Z,37,326
Jan Bauer,ODS,Z,37,326
Martin Baxa,ODS,Z,37,326
Petr Beitl,ODS,Z,37,326
