Name,Party,Vote,Meeting,Proposal
Věra Adámková,ANO,Z,24,83
Andrej Babiš,ANO,M,24,83
Andrea Babišová,ANO,M,24,83
Margita Balaštíková,ANO,Z,24,83
Josef Bělica,ANO,Z,24,83
Stanislav Berkovec,ANO,Z,24,83
Jiří Bláha,ANO,Z,24,83
Richard Brabec,ANO,M,24,83
Milan Brázdil,ANO,Z,24,83
Andrea Brzobohatá,ANO,Z,24,83
Jaroslav Bžoch,ANO,Z,24,83
Monika Červíčková,ANO,Z,24,83
Klára Dostálová,ANO,Z,24,83
Lenka Dražilová,ANO,Z,24,83
Jaroslav Faltýnek,ANO,Z,24,83
Kamal Farhan,ANO,Z,24,83
Milan Feranec,ANO,Z,24,83
Eva Fialová,ANO,Z,24,83
Stanislav Fridrich,ANO,Z,24,83
Josef Hájek,ANO,Z,24,83
Milan Hnilička,ANO,Z,24,83
Ivan Jáč,ANO,M,24,83
Miloslav Janulík,ANO,M,24,83
Aleš Juchelka,ANO,Z,24,83
Pavel Juříček,ANO,Z,24,83
Adam Kalous,ANO,Z,24,83
David Kasal,ANO,Z,24,83
Tomáš Kohoutek,ANO,Z,24,83
Martin Kolovratník,ANO,M,24,83
Barbora Kořanová,ANO,Z,24,83
Josef Kott,ANO,Z,24,83
Robert Králíček,ANO,Z,24,83
Roman Kubíček,ANO,Z,24,83
Jan Kubík,ANO,Z,24,83
Jaroslav Kytýr,ANO,M,24,83
Taťána Malá,ANO,Z,24,83
Přemysl Mališ,ANO,N,24,83
Jiří Mašek,ANO,Z,24,83
Eva Matyášová,ANO,Z,24,83
Radka Maxová,ANO,Z,24,83
Marcela Melková,ANO,Z,24,83
Jana Mračková Vildumetzová,ANO,Z,24,83
Patrik Nacher,ANO,Z,24,83
Marek Novák,ANO,Z,24,83
Monika Oborná,ANO,Z,24,83
Ladislav Okleštěk,ANO,0,24,83
Zuzana Ožanová,ANO,Z,24,83
Jana Pastuchová,ANO,Z,24,83
František Petrtýl,ANO,Z,24,83
Pavel Plzák,ANO,Z,24,83
Milan Pour,ANO,Z,24,83
David Pražák,ANO,Z,24,83
Věra Procházková,ANO,Z,24,83
Pavel Pustějovský,ANO,Z,24,83
Karel Rais,ANO,Z,24,83
Michal Ratiborský,ANO,Z,24,83
Jan Richter,ANO,Z,24,83
Miloslava Rutová,ANO,Z,24,83
Pavel Růžička,ANO,Z,24,83
Jan Řehounek,ANO,M,24,83
Petr Sadovský,ANO,Z,24,83
Jan Schiller,ANO,Z,24,83
Pavel Staněk,ANO,Z,24,83
Jiří Strýček,ANO,Z,24,83
Karla Šlechtová,ANO,Z,24,83
Julius Špičák,ANO,Z,24,83
David Štolpa,ANO,Z,24,83
Dan Ťok,ANO,M,24,83
Karel Tureček,ANO,Z,24,83
Helena Válková,ANO,Z,24,83
Petr Venhoda,ANO,Z,24,83
Adam Vojtěch,ANO,0,24,83
Jan Volný,ANO,Z,24,83
Radek Vondráček,ANO,Z,24,83
Ivo Vondrák,ANO,Z,24,83
Petr Vrána,ANO,M,24,83
Rostislav Vyzula,ANO,Z,24,83
Radek Zlesák,ANO,Z,24,83
Ivan Adamec,ODS,A,24,83
Jan Bauer,ODS,Z,24,83
Martin Baxa,ODS,A,24,83
Petr Beitl,ODS,A,24,83
Marek Benda,ODS,Z,24,83
Stanislav Blaha,ODS,A,24,83
Pavel Blažek,ODS,A,24,83
Jana Černochová,ODS,A,24,83
Petr Fiala,ODS,Z,24,83
