Name,Party,Vote,Meeting,Proposal
Věra Adámková,ANO,N,29,558
Andrej Babiš,ANO,M,29,558
Andrea Babišová,ANO,N,29,558
Margita Balaštíková,ANO,N,29,558
Josef Bělica,ANO,N,29,558
Stanislav Berkovec,ANO,N,29,558
Jiří Bláha,ANO,M,29,558
Richard Brabec,ANO,N,29,558
Milan Brázdil,ANO,N,29,558
Andrea Brzobohatá,ANO,N,29,558
Jaroslav Bžoch,ANO,Z,29,558
Monika Červíčková,ANO,N,29,558
Klára Dostálová,ANO,N,29,558
Lenka Dražilová,ANO,N,29,558
Jaroslav Faltýnek,ANO,N,29,558
Kamal Farhan,ANO,N,29,558
Milan Feranec,ANO,N,29,558
Eva Fialová,ANO,Z,29,558
Stanislav Fridrich,ANO,N,29,558
Josef Hájek,ANO,Z,29,558
Milan Hnilička,ANO,N,29,558
Ivan Jáč,ANO,N,29,558
Miloslav Janulík,ANO,N,29,558
Aleš Juchelka,ANO,Z,29,558
Pavel Juříček,ANO,N,29,558
Iva Kalátová,ANO,N,29,558
Adam Kalous,ANO,N,29,558
David Kasal,ANO,N,29,558
Tomáš Kohoutek,ANO,N,29,558
Martin Kolovratník,ANO,Z,29,558
Barbora Kořanová,ANO,Z,29,558
Josef Kott,ANO,N,29,558
Robert Králíček,ANO,Z,29,558
Roman Kubíček,ANO,N,29,558
Jan Kubík,ANO,N,29,558
Jaroslav Kytýr,ANO,N,29,558
Taťána Malá,ANO,N,29,558
Přemysl Mališ,ANO,N,29,558
Jiří Mašek,ANO,N,29,558
Eva Matyášová,ANO,N,29,558
Radka Maxová,ANO,N,29,558
Marcela Melková,ANO,N,29,558
Jana Mračková Vildumetzová,ANO,N,29,558
Patrik Nacher,ANO,Z,29,558
Marek Novák,ANO,N,29,558
Monika Oborná,ANO,N,29,558
Ladislav Okleštěk,ANO,N,29,558
Zuzana Ožanová,ANO,N,29,558
Jana Pastuchová,ANO,N,29,558
František Petrtýl,ANO,N,29,558
Pavel Plzák,ANO,N,29,558
Milan Pour,ANO,N,29,558
David Pražák,ANO,N,29,558
Věra Procházková,ANO,N,29,558
Pavel Pustějovský,ANO,N,29,558
Karel Rais,ANO,M,29,558
Michal Ratiborský,ANO,N,29,558
Jan Richter,ANO,N,29,558
Miloslava Rutová,ANO,N,29,558
Pavel Růžička,ANO,N,29,558
Jan Řehounek,ANO,N,29,558
Petr Sadovský,ANO,N,29,558
Jan Schiller,ANO,N,29,558
Pavel Staněk,ANO,N,29,558
Jiří Strýček,ANO,N,29,558
Karla Šlechtová,ANO,N,29,558
Julius Špičák,ANO,N,29,558
David Štolpa,ANO,N,29,558
Karel Tureček,ANO,N,29,558
Helena Válková,ANO,N,29,558
Petr Venhoda,ANO,N,29,558
Adam Vojtěch,ANO,N,29,558
Jan Volný,ANO,N,29,558
Radek Vondráček,ANO,Z,29,558
Ivo Vondrák,ANO,Z,29,558
Petr Vrána,ANO,N,29,558
Rostislav Vyzula,ANO,N,29,558
Radek Zlesák,ANO,N,29,558
Ivan Adamec,ODS,A,29,558
Jan Bauer,ODS,A,29,558
Martin Baxa,ODS,A,29,558
Petr Beitl,ODS,A,29,558
Marek Benda,ODS,A,29,558
Stanislav Blaha,ODS,A,29,558
Pavel Blažek,ODS,Z,29,558
Jana Černochová,ODS,A,29,558
Petr Fiala,ODS,A,29,558
Jakub Janda,ODS,A,29,558
Karel Krejza,ODS,A,29,558
Martin Kupka,ODS,A,29,558
Jaroslav Martinů,ODS,A,29,558
Ilona Mauritzová,ODS,A,29,558
Vojtěch Munzar,ODS,A,29,558
Miroslava Němcová,ODS,Z,29,558
Jan Skopeček,ODS,A,29,558
Zbyněk Stanjura,ODS,A,29,558
Bohuslav Svoboda,ODS,A,29,558
