Party,N. repr.,A,N,0,Z,M,Meeting,Proposal
ANO,78,69,0,2,0,7,23,290
ODS,25,21,0,0,0,4,23,290
Piráti,22,21,0,1,0,0,23,290
SPD,22,19,0,0,0,3,23,290
ČSSD,15,10,0,1,2,2,23,290
KSČM,15,12,0,1,1,1,23,290
KDU-ČSL,10,7,0,0,0,3,23,290
TOP09,7,5,0,0,0,2,23,290
STAN,6,6,0,0,0,0,23,290
Celkem,200,170,0,5,3,22,23,290
