Name,Party,Vote,Meeting,Proposal
Věra Adámková,ANO,Z,34,350
Andrej Babiš,ANO,M,34,350
Andrea Babišová,ANO,M,34,350
Ondřej Babka,ANO,N,34,350
Margita Balaštíková,ANO,M,34,350
Josef Bělica,ANO,N,34,350
Stanislav Berkovec,ANO,N,34,350
Jiří Bláha,ANO,M,34,350
Richard Brabec,ANO,N,34,350
Milan Brázdil,ANO,N,34,350
Andrea Brzobohatá,ANO,N,34,350
Jaroslav Bžoch,ANO,N,34,350
Monika Červíčková,ANO,Z,34,350
Klára Dostálová,ANO,N,34,350
Lenka Dražilová,ANO,N,34,350
Jaroslav Faltýnek,ANO,N,34,350
Kamal Farhan,ANO,N,34,350
Milan Feranec,ANO,N,34,350
Eva Fialová,ANO,N,34,350
Stanislav Fridrich,ANO,N,34,350
Josef Hájek,ANO,N,34,350
Milan Hnilička,ANO,N,34,350
Ivan Jáč,ANO,N,34,350
Miloslav Janulík,ANO,N,34,350
Aleš Juchelka,ANO,N,34,350
Pavel Juříček,ANO,N,34,350
Iva Kalátová,ANO,N,34,350
Adam Kalous,ANO,N,34,350
David Kasal,ANO,N,34,350
Tomáš Kohoutek,ANO,N,34,350
Martin Kolovratník,ANO,N,34,350
Barbora Kořanová,ANO,N,34,350
Josef Kott,ANO,N,34,350
Robert Králíček,ANO,Z,34,350
Roman Kubíček,ANO,N,34,350
Jan Kubík,ANO,N,34,350
Jaroslav Kytýr,ANO,N,34,350
Taťána Malá,ANO,N,34,350
Přemysl Mališ,ANO,N,34,350
Jiří Mašek,ANO,N,34,350
Eva Matyášová,ANO,N,34,350
Marcela Melková,ANO,N,34,350
Jana Mračková Vildumetzová,ANO,N,34,350
Patrik Nacher,ANO,N,34,350
Marek Novák,ANO,N,34,350
Monika Oborná,ANO,N,34,350
Ladislav Okleštěk,ANO,M,34,350
Zuzana Ožanová,ANO,N,34,350
Jana Pastuchová,ANO,N,34,350
František Petrtýl,ANO,N,34,350
Pavel Plzák,ANO,N,34,350
Milan Pour,ANO,N,34,350
David Pražák,ANO,N,34,350
Věra Procházková,ANO,N,34,350
Pavel Pustějovský,ANO,N,34,350
Karel Rais,ANO,N,34,350
Michal Ratiborský,ANO,N,34,350
Jan Richter,ANO,N,34,350
Miloslava Rutová,ANO,N,34,350
Pavel Růžička,ANO,N,34,350
Jan Řehounek,ANO,N,34,350
Petr Sadovský,ANO,N,34,350
Jan Schiller,ANO,M,34,350
Pavel Staněk,ANO,Z,34,350
Jiří Strýček,ANO,N,34,350
Karla Šlechtová,ANO,N,34,350
Julius Špičák,ANO,N,34,350
David Štolpa,ANO,N,34,350
Karel Tureček,ANO,N,34,350
Helena Válková,ANO,N,34,350
Petr Venhoda,ANO,M,34,350
Adam Vojtěch,ANO,N,34,350
Jan Volný,ANO,M,34,350
Radek Vondráček,ANO,Z,34,350
Ivo Vondrák,ANO,N,34,350
Petr Vrána,ANO,N,34,350
Rostislav Vyzula,ANO,M,34,350
Radek Zlesák,ANO,N,34,350
Ivan Adamec,ODS,M,34,350
Jan Bauer,ODS,A,34,350
Martin Baxa,ODS,A,34,350
Petr Beitl,ODS,A,34,350
Marek Benda,ODS,Z,34,350
Petr Bendl,ODS,M,34,350
Stanislav Blaha,ODS,0,34,350
Pavel Blažek,ODS,A,34,350
Jana Černochová,ODS,M,34,350
Petr Fiala,ODS,A,34,350
Jakub Janda,ODS,A,34,350
Karel Krejza,ODS,A,34,350
Martin Kupka,ODS,A,34,350
Jaroslav Martinů,ODS,A,34,350
Ilona Mauritzová,ODS,A,34,350
Vojtěch Munzar,ODS,A,34,350
Miroslava Němcová,ODS,A,34,350
Jan Skopeček,ODS,A,34,350
Zbyněk Stanjura,ODS,A,34,350
Bohuslav Svoboda,ODS,M,34,350
Jiří Ventruba,ODS,M,34,350
Jan Zahradník,ODS,A,34,350
Pavel Žáček,ODS,A,34,350
Dana Balcarová,Piráti,N,34,350
Lukáš Bartoň,Piráti,N,34,350
Ivan Bartoš,Piráti,N,34,350
Lukáš Černohorský,Piráti,N,34,350
František Elfmark,Piráti,N,34,350
Mikuláš Ferjenčík,Piráti,Z,34,350
Radek Holomčík,Piráti,Z,34,350
Martin Jiránek,Piráti,N,34,350
Lukáš Kolářík,Piráti,M,34,350
František Kopřiva,Piráti,N,34,350
Lenka Kozlová,Piráti,N,34,350
Jan Lipavský,Piráti,N,34,350
Tomáš Martínek,Piráti,Z,34,350
Jakub Michálek,Piráti,N,34,350
František Navrkal,Piráti,N,34,350
Vojtěch Pikal,Piráti,Z,34,350
Ondřej Polanský,Piráti,Z,34,350
Jan Pošvář,Piráti,N,34,350
Ondřej Profant,Piráti,Z,34,350
Olga Richterová,Piráti,N,34,350
Petr Třešňák,Piráti,Z,34,350
Tomáš Vymazal,Piráti,N,34,350
Jaroslav Dvořák,SPD,M,34,350
Radim Fiala,SPD,Z,34,350
Jaroslav Holík,SPD,Z,34,350
Jan Hrnčíř,SPD,M,34,350
Tereza Hyťhová,SPD,Z,34,350
Monika Jarošová,SPD,Z,34,350
Pavel Jelínek,SPD,Z,34,350
Jiří Kobza,SPD,Z,34,350
Jiří Kohoutek,SPD,Z,34,350
Radek Koten,SPD,Z,34,350
Jana Levová,SPD,M,34,350
Karla Maříková,SPD,Z,34,350
Tomio Okamura,SPD,Z,34,350
Zdeněk Podal,SPD,M,34,350
Miloslav Rozner,SPD,Z,34,350
Radek Rozvoral,SPD,Z,34,350
Lucie Šafránková,SPD,Z,34,350
Lubomír Španěl,SPD,Z,34,350
Radovan Vích,SPD,Z,34,350
Jiří Běhounek,ČSSD,M,34,350
Jan Birke,ČSSD,M,34,350
Petr Dolínek,ČSSD,M,34,350
Jaroslav Foldyna,ČSSD,M,34,350
Alena Gajdůšková,ČSSD,N,34,350
Jan Hamáček,ČSSD,0,34,350
Tomáš Hanzel,ČSSD,M,34,350
Jan Chvojka,ČSSD,N,34,350
Roman Onderka,ČSSD,M,34,350
Roman Sklenák,ČSSD,N,34,350
Antonín Staněk,ČSSD,M,34,350
Kateřina Valachová,ČSSD,M,34,350
Ondřej Veselý,ČSSD,N,34,350
Václav Votava,ČSSD,N,34,350
Lubomír Zaorálek,ČSSD,M,34,350
Hana Aulická Jírovcová,KSČM,N,34,350
Alexander Černý,KSČM,N,34,350
Jiří Dolejš,KSČM,N,34,350
Vojtěch Filip,KSČM,M,34,350
Miroslav Grebeníček,KSČM,M,34,350
Stanislav Grospič,KSČM,0,34,350
Pavel Kováčik,KSČM,N,34,350
Leo Luzar,KSČM,N,34,350
Květa Matušovská,KSČM,M,34,350
Zdeněk Ondráček,KSČM,M,34,350
Daniel Pawlas,KSČM,N,34,350
Marie Pěnčíková,KSČM,M,34,350
Ivo Pojezný,KSČM,0,34,350
Jiří Valenta,KSČM,N,34,350
Miloslava Vostrá,KSČM,0,34,350
Jan Bartošek,KDU-ČSL,M,34,350
Pavel Bělobrádek,KDU-ČSL,M,34,350
Ondřej Benešík,KDU-ČSL,A,34,350
Jan Čižinský,KDU-ČSL,A,34,350
Pavla Golasowská,KDU-ČSL,M,34,350
Stanislav Juránek,KDU-ČSL,M,34,350
Marian Jurečka,KDU-ČSL,A,34,350
Vít Kaňkovský,KDU-ČSL,A,34,350
Jiří Mihola,KDU-ČSL,M,34,350
Marek Výborný,KDU-ČSL,A,34,350
Dominik Feri,TOP09,Z,34,350
Miroslav Kalousek,TOP09,Z,34,350
Helena Langšádlová,TOP09,Z,34,350
Markéta Pekarová Adamová,TOP09,M,34,350
Karel Schwarzenberg,TOP09,M,34,350
František Vácha,TOP09,M,34,350
Vlastimil Válek,TOP09,Z,34,350
Jan Farský,STAN,Z,34,350
Petr Gazdík,STAN,Z,34,350
Věra Kovářová,STAN,Z,34,350
Jana Krutáková,STAN,Z,34,350
Petr Pávek,STAN,Z,34,350
Vít Rakušan,STAN,Z,34,350
Marian Bojko,Nezařaz,M,34,350
Václav Klaus,Nezařaz,A,34,350
Zuzana Majerová Zahradníková,Nezařaz,M,34,350
Ivana Nevludová,Nezařaz,Z,34,350
Lubomír Volný,Nezařaz,M,34,350
