Party,N. repr.,A,N,0,Z,M,Meeting,Proposal
ANO,78,0,32,5,39,2,31,62
ODS,23,22,0,1,0,0,31,62
Piráti,22,19,0,1,0,2,31,62
SPD,19,13,0,3,0,3,31,62
ČSSD,15,0,9,2,3,1,31,62
KSČM,15,1,6,0,8,0,31,62
KDU-ČSL,10,9,0,0,0,1,31,62
TOP09,7,5,0,2,0,0,31,62
STAN,6,5,0,0,0,1,31,62
Nezařaz,5,4,0,0,0,1,31,62
Celkem,200,78,47,14,50,11,31,62
