Party,N. repr.,A,N,0,Z,M,Meeting,Proposal
ANO,78,67,0,1,0,10,34,199
ODS,23,0,0,1,21,1,34,199
Piráti,22,22,0,0,0,0,34,199
SPD,19,15,0,0,0,4,34,199
ČSSD,15,13,0,0,0,2,34,199
KSČM,15,15,0,0,0,0,34,199
KDU-ČSL,10,9,0,0,1,0,34,199
TOP09,7,4,0,1,1,1,34,199
STAN,6,6,0,0,0,0,34,199
Nezařaz,5,2,0,0,2,1,34,199
Celkem,200,153,0,3,25,19,34,199
