Party,N. repr.,A,N,0,Z,M,Meeting,Proposal
ANO,78,0,72,0,5,1,29,848
ODS,23,22,0,0,0,1,29,848
Piráti,22,22,0,0,0,0,29,848
SPD,19,19,0,0,0,0,29,848
ČSSD,15,13,0,1,0,1,29,848
KSČM,15,0,3,0,11,1,29,848
KDU-ČSL,10,9,0,0,0,1,29,848
TOP09,7,6,0,0,0,1,29,848
STAN,6,5,0,1,0,0,29,848
Nezařaz,5,5,0,0,0,0,29,848
Celkem,200,101,75,2,16,6,29,848
