Party,N. repr.,A,N,0,Z,M,Meeting,Proposal
ANO,78,0,69,0,6,3,29,750
ODS,23,23,0,0,0,0,29,750
Piráti,22,20,0,0,1,1,29,750
SPD,19,17,0,0,1,1,29,750
ČSSD,15,0,7,0,6,2,29,750
KSČM,15,0,8,0,7,0,29,750
KDU-ČSL,10,9,0,1,0,0,29,750
TOP09,7,4,0,1,0,2,29,750
STAN,6,5,0,0,1,0,29,750
Nezařaz,5,4,0,0,1,0,29,750
Celkem,200,82,84,2,23,9,29,750
