Party,N. repr.,A,N,0,Z,M,Meeting,Proposal
ANO,78,48,1,1,4,24,22,84
ODS,25,16,0,3,0,6,22,84
Piráti,22,18,0,0,0,4,22,84
SPD,22,16,0,0,1,5,22,84
ČSSD,15,6,0,3,1,5,22,84
KSČM,15,14,0,0,0,1,22,84
KDU-ČSL,10,6,0,3,0,1,22,84
TOP09,7,4,0,1,1,1,22,84
STAN,6,4,0,0,1,1,22,84
Celkem,200,132,1,11,8,48,22,84
