Party,N. repr.,A,N,0,Z,M,Meeting,Proposal
ANO,78,0,67,0,5,6,29,241
ODS,23,22,0,0,0,1,29,241
Piráti,22,21,0,0,0,1,29,241
SPD,19,14,0,0,1,4,29,241
ČSSD,15,0,8,0,6,1,29,241
KSČM,15,0,7,0,7,1,29,241
KDU-ČSL,10,10,0,0,0,0,29,241
TOP09,7,6,0,1,0,0,29,241
STAN,6,5,0,0,0,1,29,241
Nezařaz,5,3,0,0,1,1,29,241
Celkem,200,81,82,1,20,16,29,241
