Party,N. repr.,A,N,0,Z,M,Meeting,Proposal
ANO,78,56,0,7,3,12,37,88
ODS,23,11,0,5,3,4,37,88
Piráti,22,18,0,0,1,3,37,88
SPD,19,13,0,2,2,2,37,88
ČSSD,15,6,0,3,1,5,37,88
KSČM,15,12,0,2,1,0,37,88
KDU-ČSL,10,4,0,1,3,2,37,88
TOP09,7,3,0,0,0,4,37,88
STAN,6,0,0,3,2,1,37,88
Nezařaz,5,3,0,1,0,1,37,88
Celkem,200,126,0,24,16,34,37,88
