Party,N. repr.,A,N,0,Z,M,Meeting,Proposal
ANO,78,0,63,0,12,3,28,592
ODS,23,21,0,0,2,0,28,592
Piráti,22,21,0,0,0,1,28,592
SPD,19,15,0,0,2,2,28,592
ČSSD,15,0,3,0,11,1,28,592
KSČM,15,0,7,1,7,0,28,592
KDU-ČSL,10,9,0,0,0,1,28,592
TOP09,7,3,0,1,1,2,28,592
STAN,6,6,0,0,0,0,28,592
Nezařaz,5,4,0,0,1,0,28,592
Celkem,200,79,73,2,36,10,28,592
