Party,N. repr.,A,N,0,Z,M,Meeting,Proposal
ANO,78,2,60,0,16,0,38,201
ODS,23,19,0,1,1,2,38,201
Piráti,22,22,0,0,0,0,38,201
SPD,19,17,0,0,1,1,38,201
ČSSD,15,0,11,0,4,0,38,201
KSČM,15,0,14,0,1,0,38,201
KDU-ČSL,10,0,0,0,9,1,38,201
TOP09,7,6,0,1,0,0,38,201
STAN,6,6,0,0,0,0,38,201
Nezařaz,5,2,1,0,2,0,38,201
Celkem,200,74,86,2,34,4,38,201
