Party,N. repr.,A,N,0,Z,M,Meeting,Proposal
ANO,78,0,2,24,34,18,34,261
ODS,23,4,0,16,0,3,34,261
Piráti,22,15,0,2,0,5,34,261
SPD,19,7,0,6,0,6,34,261
ČSSD,15,0,0,5,1,9,34,261
KSČM,15,0,3,10,1,1,34,261
KDU-ČSL,10,2,0,2,0,6,34,261
TOP09,7,0,0,4,0,3,34,261
STAN,6,3,0,2,0,1,34,261
Nezařaz,5,0,0,1,2,2,34,261
Celkem,200,31,5,72,38,54,34,261
