Party,N. repr.,A,N,0,Z,M,Meeting,Proposal
ANO,78,58,0,4,1,15,12,227
ODS,25,14,0,8,0,3,12,227
Piráti,22,22,0,0,0,0,12,227
SPD,22,14,0,2,0,6,12,227
ČSSD,15,3,1,5,0,6,12,227
KSČM,15,8,0,4,0,3,12,227
KDU-ČSL,10,5,0,2,0,3,12,227
TOP09,7,5,0,1,1,0,12,227
STAN,6,2,0,1,1,2,12,227
Celkem,200,131,1,27,3,38,12,227
