Name,Party,Vote,Meeting,Proposal
Věra Adámková,ANO,Z,39,206
Andrej Babiš,ANO,M,39,206
Andrea Babišová,ANO,Z,39,206
Ondřej Babka,ANO,Z,39,206
Margita Balaštíková,ANO,Z,39,206
Josef Bělica,ANO,Z,39,206
Stanislav Berkovec,ANO,Z,39,206
Jiří Bláha,ANO,Z,39,206
Richard Brabec,ANO,Z,39,206
Milan Brázdil,ANO,Z,39,206
Andrea Brzobohatá,ANO,Z,39,206
Jaroslav Bžoch,ANO,Z,39,206
Monika Červíčková,ANO,Z,39,206
Klára Dostálová,ANO,M,39,206
Lenka Dražilová,ANO,Z,39,206
Jaroslav Faltýnek,ANO,Z,39,206
Kamal Farhan,ANO,Z,39,206
Milan Feranec,ANO,Z,39,206
Eva Fialová,ANO,Z,39,206
Stanislav Fridrich,ANO,Z,39,206
Josef Hájek,ANO,M,39,206
Milan Hnilička,ANO,Z,39,206
Ivan Jáč,ANO,Z,39,206
Miloslav Janulík,ANO,Z,39,206
Aleš Juchelka,ANO,Z,39,206
Pavel Juříček,ANO,Z,39,206
Iva Kalátová,ANO,Z,39,206
Adam Kalous,ANO,Z,39,206
David Kasal,ANO,M,39,206
Tomáš Kohoutek,ANO,Z,39,206
Martin Kolovratník,ANO,M,39,206
Barbora Kořanová,ANO,Z,39,206
Josef Kott,ANO,Z,39,206
Robert Králíček,ANO,Z,39,206
Roman Kubíček,ANO,Z,39,206
Jan Kubík,ANO,Z,39,206
Jaroslav Kytýr,ANO,Z,39,206
Taťána Malá,ANO,Z,39,206
Přemysl Mališ,ANO,Z,39,206
Jiří Mašek,ANO,Z,39,206
Eva Matyášová,ANO,Z,39,206
Marcela Melková,ANO,Z,39,206
Jana Mračková Vildumetzová,ANO,Z,39,206
Patrik Nacher,ANO,Z,39,206
Marek Novák,ANO,Z,39,206
Monika Oborná,ANO,Z,39,206
Ladislav Okleštěk,ANO,M,39,206
Zuzana Ožanová,ANO,Z,39,206
Jana Pastuchová,ANO,Z,39,206
František Petrtýl,ANO,Z,39,206
Pavel Plzák,ANO,Z,39,206
Milan Pour,ANO,Z,39,206
David Pražák,ANO,Z,39,206
Věra Procházková,ANO,M,39,206
Pavel Pustějovský,ANO,Z,39,206
Karel Rais,ANO,Z,39,206
Michal Ratiborský,ANO,Z,39,206
Jan Richter,ANO,Z,39,206
Miloslava Rutová,ANO,Z,39,206
Pavel Růžička,ANO,Z,39,206
Jan Řehounek,ANO,Z,39,206
Petr Sadovský,ANO,Z,39,206
Jan Schiller,ANO,Z,39,206
Pavel Staněk,ANO,Z,39,206
Jiří Strýček,ANO,Z,39,206
Karla Šlechtová,ANO,Z,39,206
Julius Špičák,ANO,Z,39,206
David Štolpa,ANO,Z,39,206
Karel Tureček,ANO,M,39,206
Helena Válková,ANO,Z,39,206
Petr Venhoda,ANO,0,39,206
Adam Vojtěch,ANO,Z,39,206
Jan Volný,ANO,Z,39,206
Radek Vondráček,ANO,N,39,206
Ivo Vondrák,ANO,Z,39,206
Petr Vrána,ANO,Z,39,206
Rostislav Vyzula,ANO,Z,39,206
Radek Zlesák,ANO,Z,39,206
Ivan Adamec,ODS,A,39,206
Jan Bauer,ODS,A,39,206
Martin Baxa,ODS,A,39,206
Petr Beitl,ODS,A,39,206
Marek Benda,ODS,A,39,206
Petr Bendl,ODS,A,39,206
Stanislav Blaha,ODS,A,39,206
Pavel Blažek,ODS,A,39,206
Jana Černochová,ODS,A,39,206
Petr Fiala,ODS,0,39,206
Jakub Janda,ODS,A,39,206
Karel Krejza,ODS,A,39,206
Martin Kupka,ODS,M,39,206
Jaroslav Martinů,ODS,A,39,206
Ilona Mauritzová,ODS,A,39,206
Vojtěch Munzar,ODS,A,39,206
Miroslava Němcová,ODS,A,39,206
Jan Skopeček,ODS,A,39,206
Zbyněk Stanjura,ODS,A,39,206
Bohuslav Svoboda,ODS,A,39,206
Jiří Ventruba,ODS,A,39,206
Jan Zahradník,ODS,A,39,206
Pavel Žáček,ODS,A,39,206
Dana Balcarová,Piráti,Z,39,206
Lukáš Bartoň,Piráti,Z,39,206
Ivan Bartoš,Piráti,Z,39,206
Lukáš Černohorský,Piráti,Z,39,206
František Elfmark,Piráti,Z,39,206
Mikuláš Ferjenčík,Piráti,Z,39,206
Radek Holomčík,Piráti,Z,39,206
Martin Jiránek,Piráti,Z,39,206
Lukáš Kolářík,Piráti,Z,39,206
František Kopřiva,Piráti,Z,39,206
Lenka Kozlová,Piráti,Z,39,206
