Party,N. repr.,A,N,0,Z,M,Meeting,Proposal
ANO,78,0,64,1,5,8,28,372
ODS,23,21,0,0,1,1,28,372
Piráti,22,20,0,1,1,0,28,372
SPD,19,17,0,0,0,2,28,372
ČSSD,15,0,9,1,2,3,28,372
KSČM,15,0,12,0,1,2,28,372
KDU-ČSL,10,9,0,0,0,1,28,372
TOP09,7,5,0,1,0,1,28,372
STAN,6,1,0,2,1,2,28,372
Nezařaz,5,3,0,0,1,1,28,372
Celkem,200,76,85,6,12,21,28,372
