Name,Party,Vote,Mtg n.,Proposal n.
Věra Adámková,ANO,Z,19,168
Andrej Babiš,ANO,N,19,168
Andrea Babišová,ANO,N,19,168
Margita Balaštíková,ANO,N,19,168
Josef Bělica,ANO,N,19,168
Stanislav Berkovec,ANO,N,19,168
Jiří Bláha,ANO,N,19,168
Richard Brabec,ANO,N,19,168
Milan Brázdil,ANO,N,19,168
Andrea Brzobohatá,ANO,N,19,168
Jaroslav Bžoch,ANO,N,19,168
Monika Červíčková,ANO,N,19,168
Klára Dostálová,ANO,Z,19,168
Lenka Dražilová,ANO,N,19,168
Jaroslav Faltýnek,ANO,N,19,168
Kamal Farhan,ANO,N,19,168
Milan Feranec,ANO,N,19,168
Eva Fialová,ANO,N,19,168
Stanislav Fridrich,ANO,N,19,168
Josef Hájek,ANO,N,19,168
Milan Hnilička,ANO,N,19,168
Ivan Jáč,ANO,N,19,168
Miloslav Janulík,ANO,N,19,168
Aleš Juchelka,ANO,N,19,168
Pavel Juříček,ANO,0,19,168
Adam Kalous,ANO,N,19,168
David Kasal,ANO,N,19,168
Tomáš Kohoutek,ANO,N,19,168
Martin Kolovratník,ANO,N,19,168
Barbora Kořanová,ANO,N,19,168
Josef Kott,ANO,N,19,168
Robert Králíček,ANO,N,19,168
Roman Kubíček,ANO,N,19,168
Jan Kubík,ANO,N,19,168
Jaroslav Kytýr,ANO,M,19,168
Taťána Malá,ANO,N,19,168
Přemysl Mališ,ANO,N,19,168
Jiří Mašek,ANO,N,19,168
Eva Matyášová,ANO,N,19,168
Radka Maxová,ANO,A,19,168
Marcela Melková,ANO,N,19,168
Jana Mračková Vildumetzová,ANO,N,19,168
Patrik Nacher,ANO,N,19,168
Marek Novák,ANO,N,19,168
Monika Oborná,ANO,N,19,168
Ladislav Okleštěk,ANO,N,19,168
Zuzana Ožanová,ANO,N,19,168
Jana Pastuchová,ANO,N,19,168
František Petrtýl,ANO,N,19,168
Pavel Plzák,ANO,N,19,168
Milan Pour,ANO,N,19,168
David Pražák,ANO,N,19,168
Věra Procházková,ANO,N,19,168
Pavel Pustějovský,ANO,N,19,168
Karel Rais,ANO,N,19,168
Michal Ratiborský,ANO,N,19,168
Jan Richter,ANO,N,19,168
Miloslava Rutová,ANO,N,19,168
Pavel Růžička,ANO,N,19,168
Jan Řehounek,ANO,N,19,168
Petr Sadovský,ANO,N,19,168
Jan Schiller,ANO,N,19,168
Pavel Staněk,ANO,N,19,168
Jiří Strýček,ANO,N,19,168
Karla Šlechtová,ANO,N,19,168
Julius Špičák,ANO,N,19,168
David Štolpa,ANO,N,19,168
Dan Ťok,ANO,N,19,168
Karel Tureček,ANO,N,19,168
Helena Válková,ANO,N,19,168
Petr Venhoda,ANO,N,19,168
Adam Vojtěch,ANO,N,19,168
Jan Volný,ANO,N,19,168
Radek Vondráček,ANO,N,19,168
Ivo Vondrák,ANO,N,19,168
Petr Vrána,ANO,N,19,168
Rostislav Vyzula,ANO,N,19,168
Radek Zlesák,ANO,N,19,168
Ivan Adamec,ODS,N,19,168
Jan Bauer,ODS,N,19,168
Martin Baxa,ODS,N,19,168
Petr Beitl,ODS,N,19,168
Marek Benda,ODS,N,19,168
Stanislav Blaha,ODS,N,19,168
Pavel Blažek,ODS,N,19,168
Jana Černochová,ODS,N,19,168
Petr Fiala,ODS,N,19,168
Jakub Janda,ODS,N,19,168
Václav Klaus,ODS,Z,19,168
Karel Krejza,ODS,N,19,168
Martin Kupka,ODS,N,19,168
Zuzana Majerová Zahradníková,ODS,N,19,168
Jaroslav Martinů,ODS,N,19,168
Ilona Mauritzová,ODS,N,19,168
Vojtěch Munzar,ODS,N,19,168
Miroslava Němcová,ODS,N,19,168
Jan Skopeček,ODS,N,19,168
Zbyněk Stanjura,ODS,N,19,168
Bohuslav Svoboda,ODS,N,19,168
Jiří Ventruba,ODS,N,19,168
Veronika Vrecionová,ODS,N,19,168
Jan Zahradník,ODS,N,19,168
Pavel Žáček,ODS,N,19,168
Dana Balcarová,Piráti,Z,19,168
Lukáš Bartoň,Piráti,Z,19,168
Ivan Bartoš,Piráti,Z,19,168
Lukáš Černohorský,Piráti,Z,19,168
František Elfmark,Piráti,Z,19,168
Mikuláš Ferjenčík,Piráti,Z,19,168
Radek Holomčík,Piráti,Z,19,168
Martin Jiránek,Piráti,Z,19,168
Lukáš Kolářík,Piráti,Z,19,168
František Kopřiva,Piráti,Z,19,168
Lenka Kozlová,Piráti,Z,19,168
Jan Lipavský,Piráti,Z,19,168
Tomáš Martínek,Piráti,Z,19,168
Jakub Michálek,Piráti,Z,19,168
Mikuláš Peksa,Piráti,Z,19,168
Vojtěch Pikal,Piráti,Z,19,168
Ondřej Polanský,Piráti,Z,19,168
Jan Pošvář,Piráti,Z,19,168
Ondřej Profant,Piráti,Z,19,168
Olga Richterová,Piráti,Z,19,168
Petr Třešňák,Piráti,Z,19,168
Tomáš Vymazal,Piráti,Z,19,168
Marian Bojko,SPD,A,19,168
Jaroslav Dvořák,SPD,A,19,168
Radim Fiala,SPD,A,19,168
Jaroslav Holík,SPD,A,19,168
Jan Hrnčíř,SPD,A,19,168
Tereza Hyťhová,SPD,M,19,168
Monika Jarošová,SPD,A,19,168
Pavel Jelínek,SPD,A,19,168
Jiří Kobza,SPD,A,19,168
Jiří Kohoutek,SPD,A,19,168
Radek Koten,SPD,A,19,168
Jana Levová,SPD,A,19,168
Karla Maříková,SPD,A,19,168
Ivana Nevludová,SPD,A,19,168
Tomio Okamura,SPD,A,19,168
Zdeněk Podal,SPD,A,19,168
Miloslav Rozner,SPD,A,19,168
Radek Rozvoral,SPD,A,19,168
Lucie Šafránková,SPD,A,19,168
Lubomír Španěl,SPD,A,19,168
Radovan Vích,SPD,A,19,168
Lubomír Volný,SPD,A,19,168
Jiří Běhounek,ČSSD,N,19,168
Jan Birke,ČSSD,N,19,168
Petr Dolínek,ČSSD,N,19,168
Jaroslav Foldyna,ČSSD,N,19,168
Alena Gajdůšková,ČSSD,N,19,168
Jan Hamáček,ČSSD,M,19,168
Tomáš Hanzel,ČSSD,N,19,168
