Name,Party,Vote,Meeting,Proposal
Věra Adámková,ANO,Z,44,145
Andrej Babiš,ANO,Z,44,145
Andrea Babišová,ANO,Z,44,145
Ondřej Babka,ANO,Z,44,145
Margita Balaštíková,ANO,Z,44,145
Josef Bělica,ANO,Z,44,145
Stanislav Berkovec,ANO,Z,44,145
Jiří Bláha,ANO,Z,44,145
Richard Brabec,ANO,Z,44,145
Milan Brázdil,ANO,Z,44,145
Andrea Brzobohatá,ANO,Z,44,145
Jaroslav Bžoch,ANO,Z,44,145
Monika Červíčková,ANO,Z,44,145
Klára Dostálová,ANO,Z,44,145
Lenka Dražilová,ANO,Z,44,145
Jaroslav Faltýnek,ANO,Z,44,145
Kamal Farhan,ANO,Z,44,145
Milan Feranec,ANO,Z,44,145
Eva Fialová,ANO,Z,44,145
Stanislav Fridrich,ANO,Z,44,145
Josef Hájek,ANO,Z,44,145
Milan Hnilička,ANO,Z,44,145
Ivan Jáč,ANO,Z,44,145
Miloslav Janulík,ANO,Z,44,145
Aleš Juchelka,ANO,Z,44,145
Pavel Juříček,ANO,Z,44,145
Iva Kalátová,ANO,Z,44,145
Adam Kalous,ANO,Z,44,145
David Kasal,ANO,N,44,145
Tomáš Kohoutek,ANO,Z,44,145
Martin Kolovratník,ANO,N,44,145
Barbora Kořanová,ANO,Z,44,145
Josef Kott,ANO,Z,44,145
Robert Králíček,ANO,Z,44,145
Roman Kubíček,ANO,Z,44,145
Jan Kubík,ANO,Z,44,145
Jaroslav Kytýr,ANO,N,44,145
Taťána Malá,ANO,Z,44,145
Přemysl Mališ,ANO,Z,44,145
Jiří Mašek,ANO,Z,44,145
Eva Matyášová,ANO,Z,44,145
Marcela Melková,ANO,Z,44,145
Jana Mračková Vildumetzová,ANO,Z,44,145
Patrik Nacher,ANO,Z,44,145
Marek Novák,ANO,Z,44,145
Monika Oborná,ANO,Z,44,145
Ladislav Okleštěk,ANO,Z,44,145
Zuzana Ožanová,ANO,Z,44,145
Jana Pastuchová,ANO,Z,44,145
František Petrtýl,ANO,Z,44,145
Pavel Plzák,ANO,Z,44,145
Milan Pour,ANO,Z,44,145
David Pražák,ANO,Z,44,145
Věra Procházková,ANO,Z,44,145
Pavel Pustějovský,ANO,Z,44,145
Karel Rais,ANO,Z,44,145
Michal Ratiborský,ANO,Z,44,145
Jan Richter,ANO,Z,44,145
Miloslava Rutová,ANO,Z,44,145
Pavel Růžička,ANO,Z,44,145
Jan Řehounek,ANO,Z,44,145
Petr Sadovský,ANO,Z,44,145
