Name,Party,Vote,Meeting,Proposal
Věra Adámková,ANO,M,37,118
Andrej Babiš,ANO,M,37,118
Andrea Babišová,ANO,A,37,118
Ondřej Babka,ANO,A,37,118
Margita Balaštíková,ANO,Z,37,118
Josef Bělica,ANO,A,37,118
Stanislav Berkovec,ANO,A,37,118
Jiří Bláha,ANO,A,37,118
Richard Brabec,ANO,A,37,118
Milan Brázdil,ANO,A,37,118
Andrea Brzobohatá,ANO,A,37,118
Jaroslav Bžoch,ANO,A,37,118
Monika Červíčková,ANO,A,37,118
Klára Dostálová,ANO,A,37,118
Lenka Dražilová,ANO,A,37,118
Jaroslav Faltýnek,ANO,A,37,118
Kamal Farhan,ANO,A,37,118
Milan Feranec,ANO,A,37,118
Eva Fialová,ANO,A,37,118
Stanislav Fridrich,ANO,A,37,118
Josef Hájek,ANO,A,37,118
Milan Hnilička,ANO,A,37,118
Ivan Jáč,ANO,A,37,118
Miloslav Janulík,ANO,M,37,118
Aleš Juchelka,ANO,A,37,118
Pavel Juříček,ANO,A,37,118
Iva Kalátová,ANO,A,37,118
Adam Kalous,ANO,A,37,118
David Kasal,ANO,A,37,118
Tomáš Kohoutek,ANO,A,37,118
Martin Kolovratník,ANO,A,37,118
Barbora Kořanová,ANO,A,37,118
Josef Kott,ANO,A,37,118
Robert Králíček,ANO,A,37,118
Roman Kubíček,ANO,A,37,118
Jan Kubík,ANO,A,37,118
Jaroslav Kytýr,ANO,A,37,118
Taťána Malá,ANO,Z,37,118
Přemysl Mališ,ANO,A,37,118
Jiří Mašek,ANO,A,37,118
Eva Matyášová,ANO,A,37,118
Marcela Melková,ANO,A,37,118
Jana Mračková Vildumetzová,ANO,A,37,118
Patrik Nacher,ANO,0,37,118
Marek Novák,ANO,A,37,118
Monika Oborná,ANO,A,37,118
Ladislav Okleštěk,ANO,A,37,118
Zuzana Ožanová,ANO,A,37,118
Jana Pastuchová,ANO,A,37,118
František Petrtýl,ANO,A,37,118
Pavel Plzák,ANO,A,37,118
Milan Pour,ANO,A,37,118
David Pražák,ANO,A,37,118
Věra Procházková,ANO,A,37,118
Pavel Pustějovský,ANO,A,37,118
Karel Rais,ANO,A,37,118
Michal Ratiborský,ANO,A,37,118
Jan Richter,ANO,A,37,118
Miloslava Rutová,ANO,A,37,118
Pavel Růžička,ANO,A,37,118
Jan Řehounek,ANO,A,37,118
Petr Sadovský,ANO,A,37,118
Jan Schiller,ANO,A,37,118
Pavel Staněk,ANO,A,37,118
Jiří Strýček,ANO,A,37,118
Karla Šlechtová,ANO,A,37,118
Julius Špičák,ANO,A,37,118
David Štolpa,ANO,A,37,118
Karel Tureček,ANO,Z,37,118
Helena Válková,ANO,A,37,118
Petr Venhoda,ANO,A,37,118
Adam Vojtěch,ANO,M,37,118
Jan Volný,ANO,A,37,118
Radek Vondráček,ANO,A,37,118
Ivo Vondrák,ANO,A,37,118
Petr Vrána,ANO,A,37,118
Rostislav Vyzula,ANO,Z,37,118
Radek Zlesák,ANO,A,37,118
Ivan Adamec,ODS,A,37,118
Jan Bauer,ODS,A,37,118
Martin Baxa,ODS,A,37,118
Petr Beitl,ODS,A,37,118
Marek Benda,ODS,Z,37,118
Petr Bendl,ODS,A,37,118
Stanislav Blaha,ODS,A,37,118
Pavel Blažek,ODS,A,37,118
Jana Černochová,ODS,A,37,118
Petr Fiala,ODS,A,37,118
Jakub Janda,ODS,A,37,118
Karel Krejza,ODS,A,37,118
Martin Kupka,ODS,A,37,118
Jaroslav Martinů,ODS,A,37,118
Ilona Mauritzová,ODS,A,37,118
Vojtěch Munzar,ODS,A,37,118
Miroslava Němcová,ODS,A,37,118
Jan Skopeček,ODS,A,37,118
Zbyněk Stanjura,ODS,A,37,118
Bohuslav Svoboda,ODS,A,37,118
Jiří Ventruba,ODS,A,37,118
