Name,Party,Vote,Meeting,Proposal
Věra Adámková,ANO,Z,24,160
Andrej Babiš,ANO,0,24,160
Andrea Babišová,ANO,M,24,160
Margita Balaštíková,ANO,N,24,160
Josef Bělica,ANO,N,24,160
Stanislav Berkovec,ANO,N,24,160
Jiří Bláha,ANO,N,24,160
Richard Brabec,ANO,N,24,160
Milan Brázdil,ANO,N,24,160
Andrea Brzobohatá,ANO,N,24,160
Jaroslav Bžoch,ANO,N,24,160
Monika Červíčková,ANO,N,24,160
Klára Dostálová,ANO,N,24,160
Lenka Dražilová,ANO,N,24,160
Jaroslav Faltýnek,ANO,N,24,160
Kamal Farhan,ANO,N,24,160
Milan Feranec,ANO,Z,24,160
Eva Fialová,ANO,N,24,160
Stanislav Fridrich,ANO,N,24,160
Josef Hájek,ANO,N,24,160
Milan Hnilička,ANO,N,24,160
Ivan Jáč,ANO,N,24,160
Miloslav Janulík,ANO,N,24,160
Aleš Juchelka,ANO,N,24,160
Pavel Juříček,ANO,N,24,160
Adam Kalous,ANO,Z,24,160
David Kasal,ANO,M,24,160
Tomáš Kohoutek,ANO,N,24,160
Martin Kolovratník,ANO,N,24,160
Barbora Kořanová,ANO,N,24,160
Josef Kott,ANO,Z,24,160
Robert Králíček,ANO,Z,24,160
Roman Kubíček,ANO,N,24,160
Jan Kubík,ANO,N,24,160
Jaroslav Kytýr,ANO,N,24,160
Taťána Malá,ANO,N,24,160
Přemysl Mališ,ANO,N,24,160
Jiří Mašek,ANO,N,24,160
Eva Matyášová,ANO,N,24,160
Radka Maxová,ANO,N,24,160
Marcela Melková,ANO,N,24,160
Jana Mračková Vildumetzová,ANO,Z,24,160
Patrik Nacher,ANO,Z,24,160
Marek Novák,ANO,N,24,160
Monika Oborná,ANO,N,24,160
Ladislav Okleštěk,ANO,N,24,160
Zuzana Ožanová,ANO,N,24,160
Jana Pastuchová,ANO,N,24,160
František Petrtýl,ANO,N,24,160
Pavel Plzák,ANO,N,24,160
Milan Pour,ANO,N,24,160
David Pražák,ANO,N,24,160
Věra Procházková,ANO,M,24,160
Pavel Pustějovský,ANO,N,24,160
Karel Rais,ANO,N,24,160
Michal Ratiborský,ANO,N,24,160
Jan Richter,ANO,N,24,160
Miloslava Rutová,ANO,N,24,160
Pavel Růžička,ANO,N,24,160
Jan Řehounek,ANO,N,24,160
Petr Sadovský,ANO,N,24,160
Jan Schiller,ANO,N,24,160
Pavel Staněk,ANO,Z,24,160
Jiří Strýček,ANO,N,24,160
Karla Šlechtová,ANO,N,24,160
Julius Špičák,ANO,M,24,160
David Štolpa,ANO,N,24,160
Dan Ťok,ANO,M,24,160
Karel Tureček,ANO,N,24,160
Helena Válková,ANO,N,24,160
Petr Venhoda,ANO,N,24,160
Adam Vojtěch,ANO,N,24,160
Jan Volný,ANO,N,24,160
Radek Vondráček,ANO,M,24,160
Ivo Vondrák,ANO,M,24,160
Petr Vrána,ANO,N,24,160
Rostislav Vyzula,ANO,N,24,160
Radek Zlesák,ANO,N,24,160
Ivan Adamec,ODS,N,24,160
Jan Bauer,ODS,0,24,160
Martin Baxa,ODS,N,24,160
Petr Beitl,ODS,N,24,160
Marek Benda,ODS,M,24,160
Stanislav Blaha,ODS,N,24,160
Pavel Blažek,ODS,M,24,160
Jana Černochová,ODS,N,24,160
Petr Fiala,ODS,N,24,160
Jakub Janda,ODS,N,24,160
Václav Klaus,ODS,N,24,160
Karel Krejza,ODS,N,24,160
Martin Kupka,ODS,N,24,160
Zuzana Majerová Zahradníková,ODS,N,24,160
Jaroslav Martinů,ODS,N,24,160
Ilona Mauritzová,ODS,N,24,160
Vojtěch Munzar,ODS,N,24,160
Miroslava Němcová,ODS,N,24,160
Jan Skopeček,ODS,N,24,160
Zbyněk Stanjura,ODS,M,24,160
Bohuslav Svoboda,ODS,N,24,160
Jiří Ventruba,ODS,N,24,160
Veronika Vrecionová,ODS,N,24,160
Jan Zahradník,ODS,N,24,160
Pavel Žáček,ODS,N,24,160
Dana Balcarová,Piráti,A,24,160
Lukáš Bartoň,Piráti,A,24,160
Ivan Bartoš,Piráti,A,24,160
Lukáš Černohorský,Piráti,A,24,160
František Elfmark,Piráti,A,24,160
Mikuláš Ferjenčík,Piráti,A,24,160
Radek Holomčík,Piráti,A,24,160
