Party,N. repr.,A,N,0,Z,M,Meeting,Proposal
ANO,78,0,1,0,38,39,59,15
ODS,23,11,0,0,0,12,59,15
Piráti,22,11,0,1,0,10,59,15
SPD,19,10,0,0,0,9,59,15
ČSSD,14,0,0,0,7,7,59,15
KSČM,15,0,0,0,8,7,59,15
KDU-ČSL,10,5,0,0,0,5,59,15
TOP09,7,3,0,0,0,4,59,15
STAN,6,2,0,1,1,2,59,15
Nezařaz,6,2,0,0,1,3,59,15
Celkem,200,44,1,2,55,98,59,15
