Name,Party,Vote,Meeting,Proposal
Věra Adámková,ANO,0,39,169
Andrej Babiš,ANO,M,39,169
Andrea Babišová,ANO,0,39,169
Ondřej Babka,ANO,Z,39,169
Margita Balaštíková,ANO,0,39,169
Josef Bělica,ANO,Z,39,169
Stanislav Berkovec,ANO,0,39,169
Jiří Bláha,ANO,M,39,169
Richard Brabec,ANO,M,39,169
Milan Brázdil,ANO,M,39,169
Andrea Brzobohatá,ANO,0,39,169
Jaroslav Bžoch,ANO,Z,39,169
Monika Červíčková,ANO,0,39,169
Klára Dostálová,ANO,M,39,169
Lenka Dražilová,ANO,0,39,169
Jaroslav Faltýnek,ANO,0,39,169
Kamal Farhan,ANO,Z,39,169
Milan Feranec,ANO,Z,39,169
Eva Fialová,ANO,M,39,169
Stanislav Fridrich,ANO,Z,39,169
Josef Hájek,ANO,0,39,169
Milan Hnilička,ANO,M,39,169
Ivan Jáč,ANO,Z,39,169
Miloslav Janulík,ANO,0,39,169
Aleš Juchelka,ANO,Z,39,169
Pavel Juříček,ANO,0,39,169
Iva Kalátová,ANO,Z,39,169
Adam Kalous,ANO,Z,39,169
David Kasal,ANO,0,39,169
Tomáš Kohoutek,ANO,M,39,169
Martin Kolovratník,ANO,0,39,169
Barbora Kořanová,ANO,Z,39,169
Josef Kott,ANO,Z,39,169
Robert Králíček,ANO,Z,39,169
Roman Kubíček,ANO,Z,39,169
Jan Kubík,ANO,A,39,169
Jaroslav Kytýr,ANO,M,39,169
Taťána Malá,ANO,Z,39,169
Přemysl Mališ,ANO,0,39,169
Jiří Mašek,ANO,M,39,169
Eva Matyášová,ANO,M,39,169
Marcela Melková,ANO,Z,39,169
Jana Mračková Vildumetzová,ANO,0,39,169
Patrik Nacher,ANO,M,39,169
Marek Novák,ANO,Z,39,169
Monika Oborná,ANO,Z,39,169
Ladislav Okleštěk,ANO,M,39,169
Zuzana Ožanová,ANO,0,39,169
Jana Pastuchová,ANO,0,39,169
František Petrtýl,ANO,Z,39,169
Pavel Plzák,ANO,Z,39,169
Milan Pour,ANO,M,39,169
David Pražák,ANO,Z,39,169
Věra Procházková,ANO,Z,39,169
Pavel Pustějovský,ANO,Z,39,169
Karel Rais,ANO,Z,39,169
Michal Ratiborský,ANO,Z,39,169
Jan Richter,ANO,M,39,169
Miloslava Rutová,ANO,0,39,169
Pavel Růžička,ANO,Z,39,169
Jan Řehounek,ANO,0,39,169
Petr Sadovský,ANO,Z,39,169
Jan Schiller,ANO,0,39,169
Pavel Staněk,ANO,0,39,169
Jiří Strýček,ANO,Z,39,169
Karla Šlechtová,ANO,A,39,169
Julius Špičák,ANO,0,39,169
David Štolpa,ANO,Z,39,169
Karel Tureček,ANO,N,39,169
Helena Válková,ANO,M,39,169
Petr Venhoda,ANO,M,39,169
Adam Vojtěch,ANO,0,39,169
Jan Volný,ANO,0,39,169
Radek Vondráček,ANO,0,39,169
Ivo Vondrák,ANO,Z,39,169
Petr Vrána,ANO,M,39,169
