Name,Party,Vote,Meeting,Proposal
Věra Adámková,ANO,A,4,39
Andrej Babiš,ANO,M,4,39
Andrea Babišová,ANO,0,4,39
Margita Balaštíková,ANO,A,4,39
Josef Bělica,ANO,A,4,39
Stanislav Berkovec,ANO,A,4,39
Jiří Bláha,ANO,M,4,39
Richard Brabec,ANO,A,4,39
Milan Brázdil,ANO,M,4,39
Andrea Brzobohatá,ANO,M,4,39
Jaroslav Bžoch,ANO,M,4,39
Klára Dostálová,ANO,A,4,39
Lenka Dražilová,ANO,A,4,39
Jaroslav Faltýnek,ANO,A,4,39
Kamal Farhan,ANO,A,4,39
Milan Feranec,ANO,A,4,39
Eva Fialová,ANO,A,4,39
Stanislav Fridrich,ANO,A,4,39
Josef Hájek,ANO,A,4,39
Milan Hnilička,ANO,M,4,39
Ivan Jáč,ANO,A,4,39
Miloslav Janulík,ANO,A,4,39
Aleš Juchelka,ANO,A,4,39
Pavel Juříček,ANO,A,4,39
Adam Kalous,ANO,A,4,39
David Kasal,ANO,A,4,39
Tomáš Kohoutek,ANO,A,4,39
Martin Kolovratník,ANO,A,4,39
Barbora Kořanová,ANO,A,4,39
Josef Kott,ANO,A,4,39
Robert Králíček,ANO,M,4,39
Roman Kubíček,ANO,A,4,39
Jan Kubík,ANO,A,4,39
Jaroslav Kytýr,ANO,A,4,39
Taťána Malá,ANO,A,4,39
Přemysl Mališ,ANO,A,4,39
Jiří Mašek,ANO,A,4,39
Eva Matyášová,ANO,0,4,39
Radka Maxová,ANO,0,4,39
Marcela Melková,ANO,A,4,39
Jana Mračková Vildumetzová,ANO,A,4,39
Patrik Nacher,ANO,A,4,39
Marek Novák,ANO,A,4,39
Monika Oborná,ANO,A,4,39
Ladislav Okleštěk,ANO,0,4,39
Zuzana Ožanová,ANO,A,4,39
Jana Pastuchová,ANO,A,4,39
Robert Pelikán,ANO,M,4,39
František Petrtýl,ANO,A,4,39
Pavel Plzák,ANO,0,4,39
Milan Pour,ANO,A,4,39
David Pražák,ANO,A,4,39
Věra Procházková,ANO,A,4,39
Pavel Pustějovský,ANO,A,4,39
Karel Rais,ANO,A,4,39
Michal Ratiborský,ANO,A,4,39
Jan Richter,ANO,M,4,39
Miloslava Rutová,ANO,A,4,39
Pavel Růžička,ANO,A,4,39
Jan Řehounek,ANO,A,4,39
Petr Sadovský,ANO,A,4,39
Jan Schiller,ANO,A,4,39
Pavel Staněk,ANO,A,4,39
Martin Stropnický,ANO,M,4,39
Jiří Strýček,ANO,A,4,39
Karla Šlechtová,ANO,0,4,39
Julius Špičák,ANO,A,4,39
David Štolpa,ANO,A,4,39
Dan Ťok,ANO,M,4,39
Karel Tureček,ANO,A,4,39
Helena Válková,ANO,A,4,39
Adam Vojtěch,ANO,A,4,39
Jan Volný,ANO,A,4,39
Radek Vondráček,ANO,0,4,39
Ivo Vondrák,ANO,A,4,39
Petr Vrána,ANO,A,4,39
Rostislav Vyzula,ANO,A,4,39
Radek Zlesák,ANO,A,4,39
Ivan Adamec,ODS,Z,4,39
Jan Bauer,ODS,0,4,39
Martin Baxa,ODS,A,4,39
Petr Beitl,ODS,A,4,39
Marek Benda,ODS,M,4,39
Stanislav Blaha,ODS,0,4,39
Pavel Blažek,ODS,0,4,39
Jana Černochová,ODS,A,4,39
Petr Fiala,ODS,0,4,39
Jakub Janda,ODS,A,4,39
Václav Klaus,ODS,0,4,39
Karel Krejza,ODS,0,4,39
Martin Kupka,ODS,0,4,39
Zuzana Majerová Zahradníková,ODS,0,4,39
Jaroslav Martinů,ODS,A,4,39
Ilona Mauritzová,ODS,A,4,39
Vojtěch Munzar,ODS,A,4,39
Miroslava Němcová,ODS,0,4,39
Jan Skopeček,ODS,A,4,39
Zbyněk Stanjura,ODS,0,4,39
Bohuslav Svoboda,ODS,0,4,39
Jiří Ventruba,ODS,0,4,39
Veronika Vrecionová,ODS,A,4,39
Jan Zahradník,ODS,M,4,39
Pavel Žáček,ODS,Z,4,39
Dana Balcarová,Piráti,A,4,39
Lukáš Bartoň,Piráti,A,4,39
Ivan Bartoš,Piráti,0,4,39
Lukáš Černohorský,Piráti,A,4,39
František Elfmark,Piráti,M,4,39
Mikuláš Ferjenčík,Piráti,A,4,39
Radek Holomčík,Piráti,A,4,39
Martin Jiránek,Piráti,A,4,39
Lukáš Kolářík,Piráti,A,4,39
František Kopřiva,Piráti,A,4,39
Lenka Kozlová,Piráti,A,4,39
Jan Lipavský,Piráti,A,4,39
Tomáš Martínek,Piráti,A,4,39
Jakub Michálek,Piráti,0,4,39
Mikuláš Peksa,Piráti,A,4,39
Vojtěch Pikal,Piráti,A,4,39
Ondřej Polanský,Piráti,A,4,39
Jan Pošvář,Piráti,A,4,39
Ondřej Profant,Piráti,A,4,39
Olga Richterová,Piráti,A,4,39
Petr Třešňák,Piráti,M,4,39
Tomáš Vymazal,Piráti,A,4,39
Marian Bojko,SPD,A,4,39
Jaroslav Dvořák,SPD,A,4,39
Radim Fiala,SPD,A,4,39
Jaroslav Holík,SPD,A,4,39
Jan Hrnčíř,SPD,A,4,39
Tereza Hyťhová,SPD,A,4,39
Monika Jarošová,SPD,0,4,39
Pavel Jelínek,SPD,A,4,39
Jiří Kobza,SPD,A,4,39
Jiří Kohoutek,SPD,A,4,39
Radek Koten,SPD,A,4,39
Jana Levová,SPD,0,4,39
Karla Maříková,SPD,A,4,39
Ivana Nevludová,SPD,A,4,39
Tomio Okamura,SPD,0,4,39
Zdeněk Podal,SPD,A,4,39
Miloslav Rozner,SPD,A,4,39
Radek Rozvoral,SPD,A,4,39
Lucie Šafránková,SPD,A,4,39
Lubomír Španěl,SPD,A,4,39
Radovan Vích,SPD,A,4,39
Lubomír Volný,SPD,A,4,39
Jiří Běhounek,ČSSD,A,4,39
Jan Birke,ČSSD,0,4,39
Petr Dolínek,ČSSD,0,4,39
Jaroslav Foldyna,ČSSD,0,4,39
Alena Gajdůšková,ČSSD,A,4,39
Jan Hamáček,ČSSD,A,4,39
Tomáš Hanzel,ČSSD,A,4,39
Milan Chovanec,ČSSD,0,4,39
Jan Chvojka,ČSSD,A,4,39
Roman Onderka,ČSSD,A,4,39
Bohuslav Sobotka,ČSSD,0,4,39
Antonín Staněk,ČSSD,A,4,39
Kateřina Valachová,ČSSD,A,4,39
Ondřej Veselý,ČSSD,A,4,39
Lubomír Zaorálek,ČSSD,A,4,39
Hana Aulická Jírovcová,KSČM,A,4,39
Alexander Černý,KSČM,A,4,39
Jiří Dolejš,KSČM,A,4,39
Vojtěch Filip,KSČM,0,4,39
Miroslav Grebeníček,KSČM,M,4,39
Stanislav Grospič,KSČM,A,4,39
Vladimír Koníček,KSČM,0,4,39
Pavel Kováčik,KSČM,0,4,39
Leo Luzar,KSČM,A,4,39
Květa Matušovská,KSČM,A,4,39
Zdeněk Ondráček,KSČM,0,4,39
Daniel Pawlas,KSČM,A,4,39
Ivo Pojezný,KSČM,A,4,39
Jiří Valenta,KSČM,A,4,39
