Party,N. repr.,A,N,0,Z,M,Meeting,Proposal
ANO,78,66,0,1,4,7,34,297
ODS,23,18,0,0,1,4,34,297
Piráti,22,19,0,0,2,1,34,297
SPD,19,15,0,0,0,4,34,297
ČSSD,15,8,0,0,0,7,34,297
KSČM,15,12,0,1,1,1,34,297
KDU-ČSL,10,5,0,0,0,5,34,297
TOP09,7,6,0,0,0,1,34,297
STAN,6,5,0,0,1,0,34,297
Nezařaz,5,2,0,0,1,2,34,297
Celkem,200,156,0,2,10,32,34,297
