Name,Party,Vote,Mtg n.,Proposal n.
Věra Adámková,ANO,M,22,80
Andrej Babiš,ANO,M,22,80
Andrea Babišová,ANO,0,22,80
Margita Balaštíková,ANO,M,22,80
Josef Bělica,ANO,A,22,80
Stanislav Berkovec,ANO,A,22,80
Jiří Bláha,ANO,M,22,80
Richard Brabec,ANO,0,22,80
Milan Brázdil,ANO,0,22,80
Andrea Brzobohatá,ANO,0,22,80
Jaroslav Bžoch,ANO,Z,22,80
Monika Červíčková,ANO,A,22,80
Klára Dostálová,ANO,M,22,80
Lenka Dražilová,ANO,M,22,80
Jaroslav Faltýnek,ANO,M,22,80
Kamal Farhan,ANO,A,22,80
Milan Feranec,ANO,0,22,80
Eva Fialová,ANO,M,22,80
Stanislav Fridrich,ANO,A,22,80
Josef Hájek,ANO,0,22,80
Milan Hnilička,ANO,A,22,80
Ivan Jáč,ANO,A,22,80
Miloslav Janulík,ANO,M,22,80
Aleš Juchelka,ANO,A,22,80
Pavel Juříček,ANO,M,22,80
Adam Kalous,ANO,M,22,80
David Kasal,ANO,M,22,80
Tomáš Kohoutek,ANO,0,22,80
Martin Kolovratník,ANO,A,22,80
Barbora Kořanová,ANO,Z,22,80
Josef Kott,ANO,Z,22,80
Robert Králíček,ANO,A,22,80
Roman Kubíček,ANO,A,22,80
Jan Kubík,ANO,A,22,80
Jaroslav Kytýr,ANO,A,22,80
Taťána Malá,ANO,0,22,80
Přemysl Mališ,ANO,A,22,80
Jiří Mašek,ANO,M,22,80
Eva Matyášová,ANO,0,22,80
Radka Maxová,ANO,0,22,80
Marcela Melková,ANO,0,22,80
Jana Mračková Vildumetzová,ANO,M,22,80
Patrik Nacher,ANO,A,22,80
Marek Novák,ANO,A,22,80
Monika Oborná,ANO,M,22,80
Ladislav Okleštěk,ANO,N,22,80
Zuzana Ožanová,ANO,A,22,80
Jana Pastuchová,ANO,0,22,80
František Petrtýl,ANO,A,22,80
Pavel Plzák,ANO,Z,22,80
Milan Pour,ANO,A,22,80
David Pražák,ANO,A,22,80
Věra Procházková,ANO,A,22,80
Pavel Pustějovský,ANO,A,22,80
Karel Rais,ANO,A,22,80
Michal Ratiborský,ANO,M,22,80
Jan Richter,ANO,M,22,80
Miloslava Rutová,ANO,A,22,80
Pavel Růžička,ANO,N,22,80
Jan Řehounek,ANO,0,22,80
Petr Sadovský,ANO,A,22,80
Jan Schiller,ANO,0,22,80
Pavel Staněk,ANO,M,22,80
Jiří Strýček,ANO,A,22,80
Karla Šlechtová,ANO,0,22,80
Julius Špičák,ANO,M,22,80
David Štolpa,ANO,A,22,80
Dan Ťok,ANO,M,22,80
Karel Tureček,ANO,0,22,80
Helena Válková,ANO,M,22,80
Petr Venhoda,ANO,A,22,80
Adam Vojtěch,ANO,M,22,80
Jan Volný,ANO,M,22,80
Radek Vondráček,ANO,M,22,80
Ivo Vondrák,ANO,0,22,80
Petr Vrána,ANO,M,22,80
Rostislav Vyzula,ANO,M,22,80
Radek Zlesák,ANO,A,22,80
Ivan Adamec,ODS,M,22,80
Jan Bauer,ODS,0,22,80
Martin Baxa,ODS,0,22,80
Petr Beitl,ODS,A,22,80
Marek Benda,ODS,0,22,80
Stanislav Blaha,ODS,A,22,80
Pavel Blažek,ODS,0,22,80
Jana Černochová,ODS,M,22,80
Petr Fiala,ODS,0,22,80
Jakub Janda,ODS,A,22,80
Václav Klaus,ODS,0,22,80
Karel Krejza,ODS,0,22,80
