Party,N. repr.,A,N,0,Z,M,Meeting,Proposal
ANO,78,36,0,1,3,38,56,262
ODS,23,3,1,0,7,12,56,262
Piráti,22,0,1,1,10,10,56,262
SPD,19,8,0,1,1,9,56,262
ČSSD,14,8,0,0,0,6,56,262
KSČM,15,4,1,0,1,9,56,262
KDU-ČSL,10,3,0,1,1,5,56,262
TOP09,7,0,0,0,2,5,56,262
STAN,6,1,0,1,1,3,56,262
Nezařaz,6,1,0,0,2,3,56,262
Celkem,200,64,3,5,28,100,56,262
